TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0009888	tissue development	2.74698702432142e-10	-22.01534624642	1601	81	0.199017199017199	407	16441	56647,2016,5087,1474,1026,891,1475,92737,182,26154,255743,220,5290,6935,7414,1266,3976,7071,5468,6275,7832,79971,57822,23314,7431,5588,133,4488,817,2934,3912,6772,3200,4048,1948,860,122786,6662,677,7546,2125,4000,57534,3725,135228,650,3675,10529,25945,23767,1291,1471,8313,581,223117,9646,3913,23554,51384,960,7050,2254,30061,4487,1308,157506,4781,2296,1956,301,847,2263,6926,317,3685,3691,7026,10611,37,10371,2810	BCCIP,EMX1,PBX1,CST6,CDKN1A,CCNB1,CSTA,DNER,JAG1,ABCA12,NPNT,ALDH1A3,PIK3CA,ZEB1,VCL,CNN3,LIF,KLF10,PPARG,S100A4,BTG2,WLS,GRHL3,SATB2,VIM,PRKCQ,ADM,MSX2,CAMK2D,GSN,LAMB1,STAT1,HOXA3,LTA4H,EFNB2,RUNX2,FRMD6,SOX9,ZFP36L1,ZIC2,EVPL,LMNA,MIB1,JUN,CD109,BMP2,ITGA3,NEBL,PVRL3,FLRT3,COL6A1,CST3,AXIN2,BAX,SEMA3D,CTR9,LAMB2,TSPAN12,WNT16,CD44,TGIF1,FGF9,SLC40A1,MSX1,COL17A1,RDH10,NFIB,FOXC1,EGFR,ANXA1,CAT,FGFR2,TBX3,APAF1,ITGAV,ITGB4,NR2F2,PDLIM5,ACADVL,SEMA3A,SFN
GO:0043067	regulation of programmed cell death	2.55900299550742e-09	-19.7836481091921	1414	72	0.176904176904177	407	16441	3397,28971,3635,27242,8737,5720,1026,22809,5139,9722,2152,4193,220,5290,112399,7074,5468,7832,665,64798,5588,672,5447,837,9262,133,4488,2934,817,10550,6772,7088,64393,23043,9344,94241,9748,1326,6662,10763,9518,4000,3725,7153,650,1471,581,6446,79156,960,25946,3156,30061,4487,54556,9564,2296,51129,1956,3304,301,847,50484,138151,2263,6926,3685,11040,317,3875,10114,2810	ID1,AAMDC,INPP5D,TNFRSF21,RIPK1,PSME1,CDKN1A,ATF5,PDE3A,NOS1AP,F3,MDM2,ALDH1A3,PIK3CA,EGLN3,TIAM1,PPARG,BTG2,BNIP3L,DEPTOR,PRKCQ,BRCA1,POR,CASP4,STK17B,ADM,MSX2,GSN,CAMK2D,ARL6IP5,STAT1,TLE1,ZMAT3,TNIK,TAOK2,TP53INP1,SLK,MAP3K8,SOX9,NES,GDF15,LMNA,JUN,TOP2A,BMP2,CST3,BAX,SGK1,PLEKHF1,CD44,ZNF385A,HMGCR,SLC40A1,MSX1,ING3,BCAR1,FOXC1,ANGPTL4,EGFR,HSPA1B,ANXA1,CAT,RRM2B,NACC2,FGFR2,TBX3,ITGAV,PIM2,APAF1,KRT18,HIPK3,SFN
GO:0042981	regulation of apoptotic process	4.51440062130302e-09	-19.2159934116467	1404	71	0.174447174447174	407	16441	3397,28971,3635,27242,8737,5720,1026,22809,5139,9722,2152,4193,220,5290,112399,7074,5468,7832,665,64798,5588,672,5447,837,9262,133,4488,2934,817,10550,6772,7088,64393,23043,9344,94241,9748,1326,6662,10763,9518,4000,3725,7153,650,581,6446,79156,960,25946,3156,30061,4487,54556,9564,2296,51129,1956,3304,301,847,50484,138151,2263,6926,3685,11040,317,3875,10114,2810	ID1,AAMDC,INPP5D,TNFRSF21,RIPK1,PSME1,CDKN1A,ATF5,PDE3A,NOS1AP,F3,MDM2,ALDH1A3,PIK3CA,EGLN3,TIAM1,PPARG,BTG2,BNIP3L,DEPTOR,PRKCQ,BRCA1,POR,CASP4,STK17B,ADM,MSX2,GSN,CAMK2D,ARL6IP5,STAT1,TLE1,ZMAT3,TNIK,TAOK2,TP53INP1,SLK,MAP3K8,SOX9,NES,GDF15,LMNA,JUN,TOP2A,BMP2,BAX,SGK1,PLEKHF1,CD44,ZNF385A,HMGCR,SLC40A1,MSX1,ING3,BCAR1,FOXC1,ANGPTL4,EGFR,HSPA1B,ANXA1,CAT,RRM2B,NACC2,FGFR2,TBX3,ITGAV,PIM2,APAF1,KRT18,HIPK3,SFN
GO:0010941	regulation of cell death	5.47202900955962e-09	-19.0236163551856	1498	74	0.181818181818182	407	16441	3397,28971,3635,27242,8737,5720,1026,22809,5139,9722,2152,4193,220,5290,112399,7074,5468,7832,665,64798,5588,672,5447,837,9262,133,4488,2934,817,10550,6772,7088,64393,23043,9344,94241,9748,1326,6662,10763,9518,4000,3725,7153,650,1471,581,8313,6446,79156,51384,960,25946,3156,30061,4487,54556,9564,2296,51129,1956,3304,301,847,50484,138151,2263,6926,3685,11040,317,3875,10114,2810	ID1,AAMDC,INPP5D,TNFRSF21,RIPK1,PSME1,CDKN1A,ATF5,PDE3A,NOS1AP,F3,MDM2,ALDH1A3,PIK3CA,EGLN3,TIAM1,PPARG,BTG2,BNIP3L,DEPTOR,PRKCQ,BRCA1,POR,CASP4,STK17B,ADM,MSX2,GSN,CAMK2D,ARL6IP5,STAT1,TLE1,ZMAT3,TNIK,TAOK2,TP53INP1,SLK,MAP3K8,SOX9,NES,GDF15,LMNA,JUN,TOP2A,BMP2,CST3,BAX,AXIN2,SGK1,PLEKHF1,WNT16,CD44,ZNF385A,HMGCR,SLC40A1,MSX1,ING3,BCAR1,FOXC1,ANGPTL4,EGFR,HSPA1B,ANXA1,CAT,RRM2B,NACC2,FGFR2,TBX3,ITGAV,PIM2,APAF1,KRT18,HIPK3,SFN
GO:0060429	epithelium development	6.26660068099033e-08	-16.5854466924692	979	53	0.13022113022113	407	16441	56647,1948,2016,122786,6662,5087,7546,677,1474,1026,2125,1475,57534,3725,135228,650,182,26154,255743,23767,220,1471,581,8313,3913,51384,960,7414,1266,7050,30061,4487,1308,5468,157506,57822,7431,2296,4781,1956,133,301,847,4488,2263,6926,6772,317,7026,4048,37,10371,2810	BCCIP,EFNB2,EMX1,FRMD6,SOX9,PBX1,ZIC2,ZFP36L1,CST6,CDKN1A,EVPL,CSTA,MIB1,JUN,CD109,BMP2,JAG1,ABCA12,NPNT,FLRT3,ALDH1A3,CST3,BAX,AXIN2,LAMB2,WNT16,CD44,VCL,CNN3,TGIF1,SLC40A1,MSX1,COL17A1,PPARG,RDH10,GRHL3,VIM,FOXC1,NFIB,EGFR,ADM,ANXA1,CAT,MSX2,FGFR2,TBX3,STAT1,APAF1,NR2F2,LTA4H,ACADVL,SEMA3A,SFN
GO:0048518	positive regulation of biological process	1.37820665357283e-07	-15.7973125233024	5310	181	0.444717444717445	407	16441	28971,196513,27242,5720,1026,891,22809,23580,9722,2152,57568,85441,6281,255743,7105,220,10766,347735,5290,6935,7074,2115,3976,7071,5468,79971,7039,23526,665,7447,9638,672,5447,9262,58480,2934,1535,10550,51719,64393,823,1948,7433,2896,10808,3927,860,79142,9748,94241,6662,1660,7546,3337,5997,6505,4000,57534,3725,650,3675,55103,23767,223117,9646,6386,51384,8204,9475,25946,4907,3156,1690,221937,54556,26999,51129,4781,1956,9636,7025,55357,3667,847,3656,10371,10140,29085,2810,3659,3397,3635,57214,8737,5087,5139,64787,282991,4193,182,26154,2905,51434,5874,112399,64065,56180,22875,7941,6275,7832,23224,57822,5734,1153,65010,7431,360,5588,23314,8507,133,4488,817,3912,6772,3200,51495,7088,10531,5570,256987,23043,9344,1326,5142,10763,64084,9518,136,28951,27286,965,119392,10788,64207,7153,3038,1471,23025,10010,581,8313,6446,79156,79659,960,154796,6277,30061,2254,7050,5865,4487,9564,2296,301,3304,2263,138151,51,6926,23220,3685,317,11040,7026,4325,7162,196,201176	AAMDC,DCP1B,TNFRSF21,PSME1,CDKN1A,CCNB1,ATF5,CDC42EP4,NOS1AP,F3,SIPA1L2,HELZ2,S100A10,NPNT,TSPAN6,ALDH1A3,TOB2,SERINC2,PIK3CA,ZEB1,TIAM1,ETV1,LIF,KLF10,PPARG,WLS,TGFA,HMHA1,BNIP3L,VSNL1,FEZ1,BRCA1,POR,STK17B,RHOU,GSN,CYBA,ARL6IP5,CAB39,ZMAT3,CAPN1,EFNB2,VIPR1,GRN,HSPH1,LASP1,RUNX2,PHF23,SLK,TP53INP1,SOX9,DHX9,ZIC2,DNAJB1,RGS2,SLC1A1,LMNA,MIB1,JUN,BMP2,ITGA3,RALGPS2,FLRT3,SEMA3D,CTR9,SDCBP,WNT16,NRIP1,ROCK2,ZNF385A,NT5E,HMGCR,COCH,FOXK1,ING3,CYFIP2,ANGPTL4,NFIB,EGFR,ISG15,NR2F1,TBC1D2,IRS1,CAT,IRAK2,SEMA3A,TOB1,PHPT1,SFN,IRF1,ID1,INPP5D,CEMIP,RIPK1,PBX1,PDE3A,EPS8L2,BLOC1S2,MDM2,JAG1,ABCA12,GRIN2C,ANAPC7,RAB27B,EGLN3,PERP,MOSPD1,ENPP4,PLA2G7,S100A4,BTG2,SYNE2,GRHL3,PTGER4,CIRBP,SLC26A6,VIM,AQP3,PRKCQ,SATB2,ENC1,ADM,MSX2,CAMK2D,LAMB1,STAT1,HOXA3,HACD3,TLE1,PITRM1,PKIB,SERINC5,TNIK,TAOK2,MAP3K8,PDE4B,NES,CLSTN2,GDF15,ADORA2B,TRIB2,SRPX2,CD58,SFR1,IQGAP2,IRF2BPL,TOP2A,HAS3,CST3,UNC13A,TANK,BAX,AXIN2,SGK1,PLEKHF1,DYNC2H1,CD44,AMOT,S100A6,SLC40A1,FGF9,TGIF1,RAB3B,MSX1,BCAR1,FOXC1,ANXA1,HSPA1B,FGFR2,NACC2,ACOX1,TBX3,DTX4,ITGAV,APAF1,PIM2,NR2F2,MMP16,TPBG,AHR,ARHGAP27
GO:0042127	regulation of cell proliferation	1.84138561274655e-07	-15.5075773123319	1479	69	0.16953316953317	407	16441	2016,3397,3635,27242,5087,2495,1026,891,22809,2152,282991,182,4193,10766,6935,112399,3976,7071,5468,7039,7832,6303,5588,672,27244,5447,133,4488,817,1535,3912,6772,3200,823,2896,7433,1948,860,3489,94241,6662,10763,3725,650,135228,1471,581,8313,6446,6277,3156,7050,2254,4487,23371,4781,1956,301,3667,138151,2263,6926,11040,3685,7026,196,10140,2810,3659	EMX1,ID1,INPP5D,TNFRSF21,PBX1,FTH1,CDKN1A,CCNB1,ATF5,F3,BLOC1S2,JAG1,MDM2,TOB2,ZEB1,EGLN3,LIF,KLF10,PPARG,TGFA,BTG2,SAT1,PRKCQ,BRCA1,SESN1,POR,ADM,MSX2,CAMK2D,CYBA,LAMB1,STAT1,HOXA3,CAPN1,GRN,VIPR1,EFNB2,RUNX2,IGFBP6,TP53INP1,SOX9,NES,JUN,BMP2,CD109,CST3,BAX,AXIN2,SGK1,S100A6,HMGCR,TGIF1,FGF9,MSX1,TNS2,NFIB,EGFR,ANXA1,IRS1,NACC2,FGFR2,TBX3,PIM2,ITGAV,NR2F2,AHR,TOB1,SFN,IRF1
GO:0050896	response to stimulus	6.67421919437254e-07	-14.2198434281399	7571	236	0.57985257985258	407	16441	1591,2016,27242,54894,5720,8938,1026,891,121457,767,92737,23580,442213,2152,1890,143686,255743,7105,220,313,5290,6935,64129,7074,2115,60489,64167,3920,3976,7071,132671,5468,6628,79971,23526,266977,475,665,64798,9638,672,23406,27244,5447,9262,58480,2934,1535,197342,10550,113146,51719,64393,1948,7433,2896,10808,860,283987,9748,94241,6662,1660,3337,9249,9600,4000,57534,1119,3725,650,3675,55103,8824,6170,10846,23767,1291,223117,3913,9646,23554,6386,51384,3107,9961,8204,5551,9475,25946,4907,3156,171392,1643,1690,157506,9786,10577,26999,51129,4781,1956,7025,9636,3667,847,50484,160,3656,4190,85365,10371,37,3875,66002,10140,2810,3659,56647,3397,79867,523,3635,6513,9123,4935,8737,2495,54509,5139,64787,282991,9582,23683,4193,182,92305,2905,5825,64428,2941,4940,5874,112399,379,7414,64065,22875,140564,7390,7832,57822,5734,1153,65010,7431,360,5588,23314,2189,214,837,6773,133,54331,123,4488,6892,817,3912,8821,6772,51495,7088,4048,5429,256987,23043,9344,3489,6819,3856,1326,10123,5142,9518,136,4189,965,119392,10788,7153,6118,9077,63901,1471,23025,2232,10010,581,8313,6446,50808,960,154796,6277,30061,2254,7050,5236,10678,5865,53,4487,26509,55173,54492,9564,2296,23371,301,3304,2263,6926,5243,23220,64782,3685,317,11040,3691,7026,57537,132864,196,201176	CYP24A1,EMX1,TNFRSF21,RNF43,PSME1,BAIAP3,CDKN1A,CCNB1,IKBIP,CA8,DNER,CDC42EP4,PTCHD4,F3,TYMP,SESN3,NPNT,TSPAN6,ALDH1A3,AOAH,PIK3CA,ZEB1,TINAGL1,TIAM1,ETV1,APOBEC3G,ERAP2,LAMP2,LIF,KLF10,SPATA18,PPARG,SNRPB,WLS,HMHA1,ADGRF1,ATOX1,BNIP3L,DEPTOR,FEZ1,BRCA1,COTL1,SESN1,POR,STK17B,RHOU,GSN,CYBA,EME2,ARL6IP5,AHNAK2,CAB39,ZMAT3,EFNB2,VIPR1,GRN,HSPH1,RUNX2,HID1,SLK,TP53INP1,SOX9,DHX9,DNAJB1,DHRS3,PITPNM1,LMNA,MIB1,CHKA,JUN,BMP2,ITGA3,RALGPS2,CES2,RPL39,PDE10A,FLRT3,COL6A1,SEMA3D,LAMB2,CTR9,TSPAN12,SDCBP,WNT16,HLA-C,MVP,NRIP1,PRF1,ROCK2,ZNF385A,NT5E,HMGCR,ZNF675,DDB2,COCH,RDH10,KIAA0586,NPC2,CYFIP2,ANGPTL4,NFIB,EGFR,NR2F1,ISG15,IRS1,CAT,RRM2B,AP2A1,IRAK2,MDH1,ALG2,SEMA3A,ACADVL,KRT18,CYP4F12,TOB1,SFN,IRF1,BCCIP,ID1,TCTN2,ATP6V1A,INPP5D,SLC2A1,SLC16A3,GPR143,RIPK1,FTH1,RHOF,PDE3A,EPS8L2,BLOC1S2,APOBEC3B,PRKD3,MDM2,JAG1,TMEM129,GRIN2C,ABCD3,NARFL,GSTA4,OAS3,RAB27B,EGLN3,ARL4D,VCL,PERP,ENPP4,APOBEC3D,UROS,BTG2,GRHL3,PTGER4,CIRBP,SLC26A6,VIM,AQP3,PRKCQ,SATB2,FANCG,ALCAM,CASP4,STAT2,ADM,GNG2,PLIN2,MSX2,TAPBP,CAMK2D,LAMB1,INPP4B,STAT1,HACD3,TLE1,LTA4H,POLH,SERINC5,TNIK,TAOK2,IGFBP6,SULT1C2,KRT8,MAP3K8,ARL4C,PDE4B,GDF15,ADORA2B,DNAJB9,CD58,SFR1,IQGAP2,TOP2A,RPA2,DIRAS3,FAM111A,CST3,UNC13A,FDXR,TANK,BAX,AXIN2,SGK1,AK3,CD44,AMOT,S100A6,SLC40A1,FGF9,TGIF1,PGM1,B3GNT2,RAB3B,ACP2,MSX1,MYOF,MRPS10,NEURL1B,BCAR1,FOXC1,TNS2,ANXA1,HSPA1B,FGFR2,TBX3,ABCB1,DTX4,AEN,ITGAV,APAF1,PIM2,ITGB4,NR2F2,SORCS2,CPEB2,AHR,ARHGAP27
GO:0048583	regulation of response to stimulus	7.69724259393227e-07	-14.0772334909176	3566	130	0.319410319410319	407	16441	27242,54894,5720,1026,9722,2152,57568,143686,255743,7105,5290,6935,7074,60489,3976,5468,6628,79971,7039,23526,665,7447,64798,9638,126282,672,27244,5447,55608,58480,2934,1535,10550,1948,10808,3927,860,79142,94241,6662,84803,7546,3337,5997,9249,4000,3725,650,3675,55103,10846,223117,6386,51384,3107,25946,4907,3156,171392,1308,1690,26999,1956,3667,847,50484,160,3656,4190,10371,10140,29085,2810,3659,3635,4935,8737,54509,64787,4193,182,55603,2905,22875,7941,6275,5734,5588,837,6773,133,817,4488,6772,8821,51495,7088,5429,23043,9344,3489,1326,5142,9518,136,28951,6118,135228,10010,8313,581,79156,79659,960,154796,7050,2254,4487,26509,50861,55173,9564,3304,301,138151,2263,11040,317,3685,10114	TNFRSF21,RNF43,PSME1,CDKN1A,NOS1AP,F3,SIPA1L2,SESN3,NPNT,TSPAN6,PIK3CA,ZEB1,TIAM1,APOBEC3G,LIF,PPARG,SNRPB,WLS,TGFA,HMHA1,BNIP3L,VSNL1,DEPTOR,FEZ1,TNFAIP8L1,BRCA1,SESN1,POR,ANKRD10,RHOU,GSN,CYBA,ARL6IP5,EFNB2,HSPH1,LASP1,RUNX2,PHF23,TP53INP1,SOX9,GPAT3,ZIC2,DNAJB1,RGS2,DHRS3,LMNA,JUN,BMP2,ITGA3,RALGPS2,PDE10A,SEMA3D,SDCBP,WNT16,HLA-C,ZNF385A,NT5E,HMGCR,ZNF675,COL17A1,COCH,CYFIP2,EGFR,IRS1,CAT,RRM2B,AP2A1,IRAK2,MDH1,SEMA3A,TOB1,PHPT1,SFN,IRF1,INPP5D,GPR143,RIPK1,RHOF,EPS8L2,MDM2,JAG1,FAM46A,GRIN2C,ENPP4,PLA2G7,S100A4,PTGER4,PRKCQ,CASP4,STAT2,ADM,CAMK2D,MSX2,STAT1,INPP4B,HACD3,TLE1,POLH,TNIK,TAOK2,IGFBP6,MAP3K8,PDE4B,GDF15,ADORA2B,TRIB2,RPA2,CD109,TANK,AXIN2,BAX,PLEKHF1,DYNC2H1,CD44,AMOT,TGIF1,FGF9,MSX1,MYOF,STMN3,MRPS10,BCAR1,HSPA1B,ANXA1,NACC2,FGFR2,PIM2,APAF1,ITGAV,HIPK3
GO:0009653	anatomical structure morphogenesis	1.13991731013628e-06	-13.6845548331568	2356	94	0.230958230958231	407	16441	2016,3397,79867,5087,1474,5720,1890,182,2905,255743,220,5290,6935,7414,7074,2115,64065,3976,79971,6275,6303,57822,9638,23314,5588,360,214,133,2934,4488,817,3912,3200,7088,823,1948,23043,860,3856,122786,6662,10763,677,7546,9249,27286,57534,3725,650,135228,3675,10529,25945,23767,1291,581,8313,3913,9646,6446,23554,6386,79659,51384,960,154796,9475,56912,6277,25946,7050,2254,30061,4487,10678,221937,157506,9786,29070,2296,51129,4781,1956,3667,2263,160,6926,317,3685,3691,7026,10371,3875,4325	EMX1,ID1,TCTN2,PBX1,CST6,PSME1,TYMP,JAG1,GRIN2C,NPNT,ALDH1A3,PIK3CA,ZEB1,VCL,TIAM1,ETV1,PERP,LIF,WLS,S100A4,SAT1,GRHL3,FEZ1,SATB2,PRKCQ,AQP3,ALCAM,ADM,GSN,MSX2,CAMK2D,LAMB1,HOXA3,TLE1,CAPN1,EFNB2,TNIK,RUNX2,KRT8,FRMD6,SOX9,NES,ZFP36L1,ZIC2,DHRS3,SRPX2,MIB1,JUN,BMP2,CD109,ITGA3,NEBL,PVRL3,FLRT3,COL6A1,BAX,AXIN2,LAMB2,CTR9,SGK1,TSPAN12,SDCBP,DYNC2H1,WNT16,CD44,AMOT,ROCK2,IFT46,S100A6,ZNF385A,TGIF1,FGF9,SLC40A1,MSX1,B3GNT2,FOXK1,RDH10,KIAA0586,CCDC113,FOXC1,ANGPTL4,NFIB,EGFR,IRS1,FGFR2,AP2A1,TBX3,APAF1,ITGAV,ITGB4,NR2F2,SEMA3A,KRT18,MMP16
