TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
JOHNSTONE_PARVB_TARGETS_3_UP	JOHNSTONE_PARVB_TARGETS_3_UP	7.87790007959782e-22	-48.592810664874	410	50	0.119331742243437	419	17758	2896,7433,23043,64761,6819,55766,10123,79710,10162,6273,23580,965,119392,182,84910,3675,1471,3107,9961,3976,7050,26509,10957,7071,79971,6275,7108,360,7431,26503,10577,6641,23510,1891,301,123,11322,847,2934,54884,6892,54502,3656,113146,8714,3691,7026,37,10140,823	GRN,VIPR1,TNIK,PARP12,SULT1C2,H2AFJ,ARL4C,MORC4,LPCAT3,S100A2,CDC42EP4,CD58,SFR1,JAG1,TMEM87B,ITGA3,CST3,HLA-C,MVP,LIF,TGIF1,MYOF,PNRC1,KLF10,WLS,S100A4,TM7SF2,AQP3,VIM,SLC17A5,NPC2,SNTB1,KCTD2,ECH1,ANXA1,PLIN2,TMC6,CAT,GSN,RETSAT,TAPBP,RBM47,IRAK2,AHNAK2,ABCC3,ITGB4,NR2F2,ACADVL,TOB1,CAPN1
NUYTTEN_EZH2_TARGETS_UP	NUYTTEN_EZH2_TARGETS_UP	5.49338621928136e-18	-39.7429868108296	985	72	0.171837708830549	419	17758	5655,523,6513,9123,1026,92737,85456,22809,23580,1890,92305,55603,5290,4940,5874,51522,64167,56180,3920,10957,23670,6275,6303,114294,360,133,6773,58480,55608,6892,6772,113146,51719,5570,23043,860,64761,54625,122786,10123,9518,677,54809,27286,4189,4121,965,3725,5480,23767,25945,10010,1291,8313,6446,223117,3107,9961,960,4907,55279,57169,51129,301,54884,10447,7026,57537,10371,7162,132864,3659	KLK10,ATP6V1A,SLC2A1,SLC16A3,CDKN1A,DNER,TNKS1BP1,ATF5,CDC42EP4,TYMP,TMEM129,FAM46A,PIK3CA,OAS3,RAB27B,TMEM14C,ERAP2,MOSPD1,LAMP2,PNRC1,TMEM2,S100A4,SAT1,LACTB,AQP3,ADM,STAT2,RHOU,ANKRD10,TAPBP,STAT1,AHNAK2,CAB39,PKIB,TNIK,RUNX2,PARP12,PARP14,FRMD6,ARL4C,GDF15,ZFP36L1,SAMD9,SRPX2,DNAJB9,MAN1A1,CD58,JUN,PPIC,FLRT3,PVRL3,TANK,COL6A1,AXIN2,SGK1,SEMA3D,HLA-C,MVP,CD44,NT5E,ZNF654,ZNFX1,ANGPTL4,ANXA1,RETSAT,FAM3C,NR2F2,SORCS2,SEMA3A,TPBG,CPEB2,IRF1
GOZGIT_ESR1_TARGETS_DN	GOZGIT_ESR1_TARGETS_DN	5.09843807829771e-16	-35.2124272542387	691	56	0.133651551312649	419	17758	1948,860,3489,122786,6662,9123,54894,2495,9518,54809,28951,1475,9249,6505,4000,4121,3725,135228,57568,143686,182,79083,55603,26154,10529,255743,9120,23767,6446,960,112399,5874,9961,6277,7039,79971,6303,64798,50861,10577,214,55357,3667,2934,2263,92689,6772,8821,283209,7088,7026,10611,4325,132864,196,5570	EFNB2,RUNX2,IGFBP6,FRMD6,SOX9,SLC16A3,RNF43,FTH1,GDF15,SAMD9,TRIB2,CSTA,DHRS3,SLC1A1,LMNA,MAN1A1,JUN,CD109,SIPA1L2,SESN3,JAG1,MLPH,FAM46A,ABCA12,NEBL,NPNT,SLC16A6,FLRT3,SGK1,CD44,EGLN3,RAB27B,MVP,S100A6,TGFA,WLS,SAT1,DEPTOR,STMN3,NPC2,ALCAM,TBC1D2,IRS1,GSN,FGFR2,FAM114A1,STAT1,INPP4B,PGM2L1,TLE1,NR2F2,PDLIM5,MMP16,CPEB2,AHR,PKIB
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	9.2337056859552e-16	-34.6185010371939	487	46	0.109785202863962	419	17758	1948,64761,54625,122786,94241,27242,1326,10123,677,2495,9518,1026,79962,3725,143686,6281,220,23554,112399,5874,9475,56180,81607,10957,5468,7832,55279,5734,57822,360,26503,8507,214,123,4488,3912,113146,283209,51719,7088,8714,3685,10611,4325,132864,196	EFNB2,PARP12,PARP14,FRMD6,TP53INP1,TNFRSF21,MAP3K8,ARL4C,ZFP36L1,FTH1,GDF15,CDKN1A,DNAJC22,JUN,SESN3,S100A10,ALDH1A3,TSPAN12,EGLN3,RAB27B,ROCK2,MOSPD1,PVRL4,PNRC1,PPARG,BTG2,ZNF654,PTGER4,GRHL3,AQP3,SLC17A5,ENC1,ALCAM,PLIN2,MSX2,LAMB1,AHNAK2,PGM2L1,CAB39,TLE1,ABCC3,ITGAV,PDLIM5,MMP16,CPEB2,AHR
SMIRNOV_RESPONSE_TO_IR_6HR_UP	SMIRNOV_RESPONSE_TO_IR_6HR_UP	2.84792490448192e-15	-33.4921857695169	154	26	0.0620525059665871	419	17758	1643,55279,7832,5142,9638,9518,900,1026,27244,4000,23580,2517,9582,54884,4193,55603,8824,26154,25840,2232,64782,317,5429,64393,10140,56180	DDB2,ZNF654,BTG2,PDE4B,FEZ1,GDF15,CCNG1,CDKN1A,SESN1,LMNA,CDC42EP4,FUCA1,APOBEC3B,RETSAT,MDM2,FAM46A,CES2,ABCA12,METTL7A,FDXR,AEN,APAF1,POLH,ZMAT3,TOB1,MOSPD1
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	3.38680643386162e-15	-33.318888972439	198	29	0.0692124105011933	419	17758	3976,1643,7832,6275,7039,6303,55766,677,900,1026,26999,27244,64787,2517,650,3725,54884,4193,6281,2232,581,64782,317,3691,5429,64393,10140,2810,64065	LIF,DDB2,BTG2,S100A4,TGFA,SAT1,H2AFJ,ZFP36L1,CCNG1,CDKN1A,CYFIP2,SESN1,EPS8L2,FUCA1,BMP2,JUN,RETSAT,MDM2,S100A10,FDXR,BAX,AEN,APAF1,ITGB4,POLH,ZMAT3,TOB1,SFN,PERP
P53_DN.V1_UP	P53_DN.V1_UP	3.77432706662576e-15	-33.2105542885965	184	28	0.0668257756563246	419	17758	7433,1948,22875,1266,1308,5655,26509,3489,5468,6662,1474,136,9249,133,1956,7025,1119,2152,301,847,10529,3913,3691,7026,3875,7162,196,3659	VIPR1,EFNB2,ENPP4,CNN3,COL17A1,KLK10,MYOF,IGFBP6,PPARG,SOX9,CST6,ADORA2B,DHRS3,ADM,EGFR,NR2F1,CHKA,F3,ANXA1,CAT,NEBL,LAMB2,ITGB4,NR2F2,KRT18,TPBG,AHR,IRF1
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	1.24126297867069e-14	-32.0200619094646	791	58	0.138424821002387	419	17758	8728,3397,3856,79937,122786,91404,677,54809,1026,9249,6273,2152,119392,282991,64207,9582,135228,84910,3675,6281,347735,64129,960,7414,64065,4907,7050,1308,3855,7071,26509,23670,7832,7039,23224,6303,1153,57822,7431,23406,8507,214,133,1956,1891,55357,55608,84263,51,6926,3200,23119,7088,64782,3685,37,196,2810	ADAM19,ID1,KRT8,CNTNAP3,FRMD6,SESTD1,ZFP36L1,SAMD9,CDKN1A,DHRS3,S100A2,F3,SFR1,BLOC1S2,IRF2BPL,APOBEC3B,CD109,TMEM87B,ITGA3,S100A10,SERINC2,TINAGL1,CD44,VCL,PERP,NT5E,TGIF1,COL17A1,KRT7,KLF10,MYOF,TMEM2,BTG2,TGFA,SYNE2,SAT1,CIRBP,GRHL3,VIM,COTL1,ENC1,ALCAM,ADM,EGFR,ECH1,TBC1D2,ANKRD10,HSDL2,ACOX1,TBX3,HOXA3,HIC2,TLE1,AEN,ITGAV,ACADVL,AHR,SFN
PEREZ_TP53_TARGETS	PEREZ_TP53_TARGETS	1.5082043538396e-14	-31.8252715283557	1067	69	0.164677804295943	419	17758	79937,3635,4935,10162,1026,8938,64787,9582,57568,4193,26154,255743,64129,51257,56180,22875,132671,7832,7447,126282,360,899,133,123,54331,4488,197342,113146,23119,80818,5429,64393,7433,2896,3856,94241,7546,89890,2125,4125,116362,9249,4121,1119,650,64207,55806,8824,80131,10846,57692,1291,1471,2232,25946,81607,4487,55279,57169,26999,2296,9636,1462,5243,26020,317,10114,201176,3659	CNTNAP3,INPP5D,GPR143,LPCAT3,CDKN1A,BAIAP3,EPS8L2,APOBEC3B,SIPA1L2,MDM2,ABCA12,NPNT,TINAGL1,MARCH2,MOSPD1,ENPP4,SPATA18,BTG2,VSNL1,TNFAIP8L1,AQP3,CCNF,ADM,PLIN2,GNG2,MSX2,EME2,AHNAK2,HIC2,ZNF436,POLH,ZMAT3,VIPR1,GRN,KRT8,TP53INP1,ZIC2,KBTBD6,EVPL,MAN2B1,RBP7,DHRS3,MAN1A1,CHKA,BMP2,IRF2BPL,HR,CES2,LRRC8E,PDE10A,MAGEE1,COL6A1,CST3,FDXR,ZNF385A,PVRL4,MSX1,ZNF654,ZNFX1,CYFIP2,FOXC1,ISG15,VCAN,ABCB1,LRP10,APAF1,HIPK3,ARHGAP27,IRF1
ERB2_UP.V1_UP	ERB2_UP.V1_UP	2.96895685376183e-14	-31.1479806384865	184	27	0.0644391408114559	419	17758	7433,8760,10957,7390,3855,27242,57037,6303,6662,5142,665,5734,9518,360,10577,1475,767,51129,9582,4488,3913,8714,6386,3691,112399,5631,6277	VIPR1,CDS2,PNRC1,UROS,KRT7,TNFRSF21,ANKMY2,SAT1,SOX9,PDE4B,BNIP3L,PTGER4,GDF15,AQP3,NPC2,CSTA,CA8,ANGPTL4,APOBEC3B,MSX2,LAMB2,ABCC3,SDCBP,ITGB4,EGLN3,PRPS1,S100A6
