TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa03010	Ribosome	1.20788122375154e-09	-20.534398066977	133	36	0.0570522979397781	631	6908	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,6222,6228,6207,6159,7311,6133,6160,6144,6129,55173,6232,6142,4736,6157,6189,6130,10573,6210,6158,6201,6208,6146,51021	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,MRPS10,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,MRPL28,RPS15A,RPL28,RPS7,RPS14,RPL22,MRPS16
ko03010	Ribosome	1.20788122375154e-09	-20.534398066977	133	36	0.0570522979397781	631	6908	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,6222,6228,6207,6159,7311,6133,6160,6144,6129,55173,6232,6142,4736,6157,6189,6130,10573,6210,6158,6201,6208,6146,51021	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,MRPS10,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,MRPL28,RPS15A,RPL28,RPS7,RPS14,RPL22,MRPS16
hsa04115	p53 signaling pathway	2.34015840688942e-09	-19.8730472146161	68	24	0.0380348652931854	631	6908	9134,836,1643,3732,8795,8493,900,1026,891,27244,983,9540,355,595,4193,143686,50484,581,27113,5268,317,64393,2810,64065	CCNE2,CASP3,DDB2,CD82,TNFRSF10B,PPM1D,CCNG1,CDKN1A,CCNB1,SESN1,CDK1,TP53I3,FAS,CCND1,MDM2,SESN3,RRM2B,BAX,BBC3,SERPINB5,APAF1,ZMAT3,SFN,PERP
ko04115	p53 signaling pathway	2.34015840688942e-09	-19.8730472146161	68	24	0.0380348652931854	631	6908	9134,836,1643,3732,8795,8493,900,1026,891,27244,983,9540,355,595,4193,143686,50484,581,27113,5268,317,64393,2810,64065	CCNE2,CASP3,DDB2,CD82,TNFRSF10B,PPM1D,CCNG1,CDKN1A,CCNB1,SESN1,CDK1,TP53I3,FAS,CCND1,MDM2,SESN3,RRM2B,BAX,BBC3,SERPINB5,APAF1,ZMAT3,SFN,PERP
hsa01130	Biosynthesis of antibiotics	4.64299703830105e-06	-12.2801504868115	210	40	0.063391442155309	631	6908	9945,4598,9060,55276,7086,51477,130589,4942,6389,3422,6307,5211,65263,9061,3032,51449,5238,501,50808,1738,5631,223,3156,2222,5236,7941,4597,48,1892,7108,4832,5162,847,4047,3033,283871,6713,38,4190,5223	GFPT2,MVK,PAPSS2,PGM2,TKT,ISYNA1,GALM,OAT,SDHA,IDI1,MSMO1,PFKL,PYCRL,PAPSS1,HADHB,PCYOX1,PGM3,ALDH7A1,AK3,DLD,PRPS1,ALDH9A1,HMGCR,FDFT1,PGM1,PLA2G7,MVD,ACO1,ECHS1,TM7SF2,NME3,PDHB,CAT,LSS,HADH,PGP,SQLE,ACAT1,MDH1,PGAM1
hsa05200	Pathways in cancer	2.59211080553855e-05	-10.5604529383436	397	61	0.0966719492868463	631	6908	1030,9134,836,2308,2335,6513,2064,1026,2950,2783,5331,650,3725,595,2261,4193,3909,998,3675,581,8313,5290,1163,112,3913,1027,51384,112399,6774,2149,9475,1164,3910,2254,5468,8322,7039,5295,5734,2353,1956,8324,2260,355,572,5228,54331,1398,332,3091,2263,8453,4792,3912,6772,5371,3065,3685,7855,5594,405	CDKN2B,CCNE2,CASP3,FOXO1,FN1,SLC2A1,ERBB2,CDKN1A,GSTP1,GNB2,PLCB3,BMP2,JUN,CCND1,FGFR3,MDM2,LAMA3,CDC42,ITGA3,BAX,AXIN2,PIK3CA,CKS1B,ADCY6,LAMB2,CDKN1B,WNT16,EGLN3,STAT3,F2R,ROCK2,CKS2,LAMA4,FGF9,PPARG,FZD4,TGFA,PIK3R1,PTGER4,FOS,EGFR,FZD7,FGFR1,FAS,BAD,PGF,GNG2,CRK,BIRC5,HIF1A,FGFR2,CUL2,NFKBIA,LAMB1,STAT1,PML,HDAC1,ITGAV,FZD5,MAPK1,ARNT
hsa04141	Protein processing in endoplasmic reticulum	0.000548954610208829	-7.50749479708794	168	29	0.045958795562599	631	6908	10484,10808,80331,10952,23480,5611,11253,3312,80267,3337,55741,6748,10483,3303,3304,4121,6745,9601,1650,3703,9632,6238,6400,581,3998,10130,3306,823,91445	SEC23A,HSPH1,DNAJC5,SEC61B,SEC61G,DNAJC3,MAN1B1,HSPA8,EDEM3,DNAJB1,EDEM2,SSR4,SEC23B,HSPA1A,HSPA1B,MAN1A1,SSR1,PDIA4,DDOST,STT3A,SEC24C,RRBP1,SEL1L,BAX,LMAN1,PDIA6,HSPA2,CAPN1,RNF185
ko04141	Protein processing in endoplasmic reticulum	0.000548954610208829	-7.50749479708794	168	29	0.045958795562599	631	6908	10484,10808,80331,10952,23480,5611,11253,3312,80267,3337,55741,6748,10483,3303,3304,4121,6745,9601,1650,3703,9632,6238,6400,581,3998,10130,3306,823,91445	SEC23A,HSPH1,DNAJC5,SEC61B,SEC61G,DNAJC3,MAN1B1,HSPA8,EDEM3,DNAJB1,EDEM2,SSR4,SEC23B,HSPA1A,HSPA1B,MAN1A1,SSR1,PDIA4,DDOST,STT3A,SEC24C,RRBP1,SEL1L,BAX,LMAN1,PDIA6,HSPA2,CAPN1,RNF185
ko05162	Measles	0.000946849058588703	-6.96237086651186	134	24	0.0380348652931854	631	6908	23586,9134,8795,3312,5295,5588,3303,6773,3304,355,4179,595,4792,6772,5290,1027,27113,103,4940,8793,3459,64135,6774,3306	DDX58,CCNE2,TNFRSF10B,HSPA8,PIK3R1,PRKCQ,HSPA1A,STAT2,HSPA1B,FAS,CD46,CCND1,NFKBIA,STAT1,PIK3CA,CDKN1B,BBC3,ADAR,OAS3,TNFRSF10D,IFNGR1,IFIH1,STAT3,HSPA2
hsa05162	Measles	0.000946849058588703	-6.96237086651186	134	24	0.0380348652931854	631	6908	23586,9134,8795,3312,5295,5588,3303,6773,3304,355,4179,595,4792,6772,5290,1027,27113,103,4940,8793,3459,64135,6774,3306	DDX58,CCNE2,TNFRSF10B,HSPA8,PIK3R1,PRKCQ,HSPA1A,STAT2,HSPA1B,FAS,CD46,CCND1,NFKBIA,STAT1,PIK3CA,CDKN1B,BBC3,ADAR,OAS3,TNFRSF10D,IFNGR1,IFIH1,STAT3,HSPA2
hsa01212	Fatty acid metabolism	0.000975668311393024	-6.93238787419574	48	12	0.0190174326465927	631	6908	51703,3992,35,60481,3033,1376,51,1892,3032,38,51495,37	ACSL5,FADS1,ACADS,ELOVL5,HADH,CPT2,ACOX1,ECHS1,HADHB,ACAT1,HACD3,ACADVL
ko01212	Fatty acid metabolism	0.000975668311393024	-6.93238787419574	48	12	0.0190174326465927	631	6908	51703,3992,35,60481,3033,1376,51,1892,3032,38,51495,37	ACSL5,FADS1,ACADS,ELOVL5,HADH,CPT2,ACOX1,ECHS1,HADHB,ACAT1,HACD3,ACADVL
hsa04146	Peroxisome	0.00113163121841167	-6.78409513106686	83	17	0.0269413629160063	631	6908	51703,4598,8800,6648,2053,1891,5264,5189,847,373156,196743,5825,55670,1384,51,25824,5194	ACSL5,MVK,PEX11A,SOD2,EPHX2,ECH1,PHYH,PEX1,CAT,GSTK1,PAOX,ABCD3,PEX26,CRAT,ACOX1,PRDX5,PEX13
ko04146	Peroxisome	0.00113163121841167	-6.78409513106686	83	17	0.0269413629160063	631	6908	51703,4598,8800,6648,2053,1891,5264,5189,847,373156,196743,5825,55670,1384,51,25824,5194	ACSL5,MVK,PEX11A,SOD2,EPHX2,ECH1,PHYH,PEX1,CAT,GSTK1,PAOX,ABCD3,PEX26,CRAT,ACOX1,PRDX5,PEX13
hsa05161	Hepatitis B	0.0014582663924352	-6.53050695122436	146	25	0.0396196513470681	631	6908	23586,9134,836,1643,5295,1026,2353,6773,355,572,3725,595,5111,332,6778,4792,6772,581,5290,1027,317,64135,5594,6774,4214	DDX58,CCNE2,CASP3,DDB2,PIK3R1,CDKN1A,FOS,STAT2,FAS,BAD,JUN,CCND1,PCNA,BIRC5,STAT6,NFKBIA,STAT1,BAX,PIK3CA,CDKN1B,APAF1,IFIH1,MAPK1,STAT3,MAP3K1
ko00071	Fatty acid degradation	0.00157449583614111	-6.45382016198617	44	11	0.01743264659271	631	6908	35,51703,3033,51,1376,1892,3032,38,501,37,223	ACADS,ACSL5,HADH,ACOX1,CPT2,ECHS1,HADHB,ACAT1,ALDH7A1,ACADVL,ALDH9A1
hsa00071	Fatty acid degradation	0.00157449583614111	-6.45382016198617	44	11	0.01743264659271	631	6908	51703,35,3033,1376,51,1892,3032,38,501,37,223	ACSL5,ACADS,HADH,CPT2,ACOX1,ECHS1,HADHB,ACAT1,ALDH7A1,ACADVL,ALDH9A1
hsa05222	Small cell lung cancer	0.00170628393213983	-6.37343741226035	86	17	0.0269413629160063	631	6908	1030,9134,3910,2335,5295,595,3909,3675,3912,4792,5290,1163,1027,3913,3685,317,1164	CDKN2B,CCNE2,LAMA4,FN1,PIK3R1,CCND1,LAMA3,ITGA3,LAMB1,NFKBIA,PIK3CA,CKS1B,CDKN1B,LAMB2,ITGAV,APAF1,CKS2
ko05222	Small cell lung cancer	0.00170628393213983	-6.37343741226035	86	17	0.0269413629160063	631	6908	1030,9134,3910,2335,5295,595,3909,3675,3912,4792,5290,1163,1027,3913,3685,317,1164	CDKN2B,CCNE2,LAMA4,FN1,PIK3R1,CCND1,LAMA3,ITGA3,LAMB1,NFKBIA,PIK3CA,CKS1B,CDKN1B,LAMB2,ITGAV,APAF1,CKS2
hsa04066	HIF-1 signaling pathway	0.00219404988875929	-6.12200617866415	103	19	0.0301109350237718	631	6908	6513,5295,2064,3570,1026,5162,1956,817,7076,3091,5211,8453,5290,1027,3459,112399,5594,6774,405	SLC2A1,PIK3R1,ERBB2,IL6R,CDKN1A,PDHB,EGFR,CAMK2D,TIMP1,HIF1A,PFKL,CUL2,PIK3CA,CDKN1B,IFNGR1,EGLN3,MAPK1,STAT3,ARNT
ko05230	Central carbon metabolism in cancer	0.00248051910449576	-5.99928742437992	67	14	0.0221870047543582	631	6908	2261,5211,2263,3091,6513,5295,9123,5290,2064,5594,5223,5162,1956,2260	FGFR3,PFKL,FGFR2,HIF1A,SLC2A1,PIK3R1,SLC16A3,PIK3CA,ERBB2,MAPK1,PGAM1,PDHB,EGFR,FGFR1
hsa05230	Central carbon metabolism in cancer	0.00248051910449576	-5.99928742437992	67	14	0.0221870047543582	631	6908	2261,5211,2263,3091,6513,5295,9123,5290,2064,5594,5223,5162,1956,2260	FGFR3,PFKL,FGFR2,HIF1A,SLC2A1,PIK3R1,SLC16A3,PIK3CA,ERBB2,MAPK1,PGAM1,PDHB,EGFR,FGFR1
hsa05215	Prostate cancer	0.00250893724093458	-5.98789602548799	89	17	0.0269413629160063	631	6908	9134,2308,7039,5295,2064,1026,2950,1956,2260,572,595,4193,2263,4792,5290,1027,5594	CCNE2,FOXO1,TGFA,PIK3R1,ERBB2,CDKN1A,GSTP1,EGFR,FGFR1,BAD,CCND1,MDM2,FGFR2,NFKBIA,PIK3CA,CDKN1B,MAPK1
ko05215	Prostate cancer	0.00250893724093458	-5.98789602548799	89	17	0.0269413629160063	631	6908	9134,2308,7039,5295,2064,1026,2950,1956,2260,572,595,4193,2263,4792,5290,1027,5594	CCNE2,FOXO1,TGFA,PIK3R1,ERBB2,CDKN1A,GSTP1,EGFR,FGFR1,BAD,CCND1,MDM2,FGFR2,NFKBIA,PIK3CA,CDKN1B,MAPK1
