TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00408	PGM_PMM_IV	4.09969058092053e-05	-10.102013962176	4	4	0.003003003003003	1332	16629	283209,5236,55276,5238	PGM2L1,PGM1,PGM2,PGM3
PF02878	PGM_PMM_I	0.000191885247018385	-8.55861303639271	5	4	0.003003003003003	1332	16629	283209,5236,55276,5238	PGM2L1,PGM1,PGM2,PGM3
PF01017	STAT_alpha	0.00117768846121317	-6.74420169289494	7	4	0.003003003003003	1332	16629	6774,6778,6773,6772	STAT3,STAT6,STAT2,STAT1
PF01532	Glyco_hydro_47	0.00117768846121317	-6.74420169289494	7	4	0.003003003003003	1332	16629	55741,11253,4121,80267	EDEM2,MAN1B1,MAN1A1,EDEM3
PF02864	STAT_bind	0.00117768846121317	-6.74420169289494	7	4	0.003003003003003	1332	16629	6774,6778,6773,6772	STAT3,STAT6,STAT2,STAT1
PF02865	STAT_int	0.00117768846121317	-6.74420169289494	7	4	0.003003003003003	1332	16629	6774,6778,6773,6772	STAT3,STAT6,STAT2,STAT1
PF06623	MHC_I_C	0.00192852036152758	-6.25100222215157	4	3	0.00225225225225225	1332	16629	3106,3107,3105	HLA-B,HLA-C,HLA-A
PF03348	Serinc	0.00192852036152758	-6.25100222215157	4	3	0.00225225225225225	1332	16629	256987,57515,347735	SERINC5,SERINC1,SERINC2
PF02879	PGM_PMM_II	0.00192852036152758	-6.25100222215157	4	3	0.00225225225225225	1332	16629	283209,5236,55276	PGM2L1,PGM1,PGM2
PF02880	PGM_PMM_III	0.00192852036152758	-6.25100222215157	4	3	0.00225225225225225	1332	16629	283209,5236,55276	PGM2L1,PGM1,PGM2
PF00270	DEAD	0.00196085813711767	-6.2343730764971	66	13	0.00975975975975976	1332	16629	10973,9401,57647,1656,54505,164045,55308,1660,55601,79665,90957,10521,11325	ASCC3,RECQL4,DHX37,DDX6,DHX29,HFM1,DDX19A,DHX9,DDX60,DHX40,DHX57,DDX17,DDX42
PF01433	Peptidase_M1	0.00243992041047213	-6.01578985886799	13	5	0.00375375375375375	1332	16629	51752,9520,6051,4048,64167	ERAP1,NPEPPS,RNPEP,LTA4H,ERAP2
PF00191	Annexin	0.00243992041047213	-6.01578985886799	13	5	0.00375375375375375	1332	16629	308,302,307,311,301	ANXA5,ANXA2,ANXA4,ANXA11,ANXA1
PF00171	Aldedh	0.00284980767136279	-5.86050377071106	19	6	0.0045045045045045	1332	16629	501,221,7915,8854,220,223	ALDH7A1,ALDH3B1,ALDH5A1,ALDH1A2,ALDH1A3,ALDH9A1
PF00173	Cyt-b5	0.00354717772059498	-5.64160299996459	14	5	0.00375375375375375	1332	16629	3992,29937,6821,80777,10857	FADS1,NENF,SUOX,CYB5B,PGRMC1
PF00012	HSP70	0.00354717772059498	-5.64160299996459	14	5	0.00375375375375375	1332	16629	10808,3306,3303,3312,3304	HSPH1,HSPA2,HSPA1A,HSPA8,HSPA1B
PF00271	Helicase_C	0.00441062615338908	-5.4237386147068	106	17	0.0127627627627628	1332	16629	23586,54505,6594,55308,164045,1660,54821,55601,79665,90957,10521,10973,9401,57647,1656,64135,11325	DDX58,DHX29,SMARCA1,DDX19A,HFM1,DHX9,ERCC6L,DDX60,DHX40,DHX57,DDX17,ASCC3,RECQL4,DHX37,DDX6,IFIH1,DDX42
PF02825	WWE	0.00580979189808043	-5.14821052664612	10	4	0.003003003003003	1332	16629	113878,64761,54625,23220	DTX2,PARP12,PARP14,DTX4
PF01111	CKS	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	1163,1164	CKS1B,CKS2
PF16575	CLP1_P	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	79707,10978	NOL9,CLP1
PF10587	EF-1_beta_acid	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	1936,1933	EEF1D,EEF1B2
PF01120	Alpha_L_fucos	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	2517,2519	FUCA1,FUCA2
PF16757	Fucosidase_C	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	2517,2519	FUCA1,FUCA2
PF12474	PKK	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	6793,9748	STK10,SLK
PF01747	ATP-sulfurylase	0.00641174336635945	-5.04962406899722	2	2	0.0015015015015015	1332	16629	9060,9061	PAPSS2,PAPSS1
