TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00092	Rosuvastatin Action Pathway	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00508	Cholesteryl ester storage disease	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00510	Mevalonic aciduria	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00387	CHILD Syndrome	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00095	Alendronate Action Pathway	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00107	Zoledronate Action Pathway	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00389	Smith-Lemli-Opitz Syndrome (SLOS)	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00112	Risedronate Action Pathway	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00119	Fluvastatin Action Pathway	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00079	Ibandronate Action Pathway	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
SMP00209	Hypercholesterolemia	0.000528008673790218	-7.54639784675996	21	9	0.072	125	978	4047,3422,4598,6307,4597,6713,7108,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,TM7SF2,FDFT1,HMGCR
