TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0023051	regulation of signaling	5.2471617603797e-06	-12.1578232446174	2886	112	0.26046511627907	430	16441	5599,6712,2736,91942,58504,9542,3606,4916,79094,5366,79876,1739,55486,1889,5144,23089,23228,25924,11343,1604,7077,63979,7879,287,4914,494470,1894,6310,467,5577,857,27230,285315,29,26084,8660,6498,2534,4616,55764,25937,129293,2887,8829,9575,27128,10098,4208,59352,57221,54800,10160,6536,64411,5504,1958,9175,5922,6507,2047,4976,7048,26038,9965,10666,5523,2122,84144,10019,1123,11235,3480,3491,2624,23263,5062,9678,84632,545,5742,776,6812,1761,27185,8738,2247,23101,27032,55638,84033,9743,83939,7784,27031,8631,6857,5140,5291,64854,9901,22943,57761,387849,55435,143098,81831,6478,6259,84166,55785,2863,1649	MAPK8,SPTBN2,GLI2,NDUFAF2,ARHGAP22,NRG2,IL18,NTRK3,CHAC1,PMAIP1,UBA5,DLG1,PARL,ECE1,PDE4D,PEG10,PLCL2,MYRIP,MGLL,CD55,TIMP2,FIGNL1,RAB7A,ANK2,NTRK1,RNF165,ECT2,ATXN1,ATF3,PRKAR2B,CAV1,SERP1,C3orf33,ABR,ARHGEF26,IRS2,SKIL,FYN,GADD45B,IFT122,WWTR1,TRABD2A,GRB10,NRP1,CLOCK,CYTH4,TSPAN5,MEF2C,LGR6,ARFGEF3,KLHL24,FARP1,SLC6A9,ARAP3,PPP1R2,EGR1,MAP3K13,RASA2,SLC1A3,EPHB1,OPA1,TGFBR2,CHD5,FGF19,CD226,PPP2R3A,MECOM,SYDE2,SH2B3,CHN1,PDCD10,IGF1R,CYR61,GATA2,MCF2L,PAK2,PHF14,AFAP1L2,ATR,PTGS1,CACNA1D,STXBP1,DMRT1,DISC1,CRADD,FGF2,MCF2L2,ATP2C1,SYBU,OBSCN,ARHGAP32,EIF2A,ZP3,NPHP3,SKAP1,SYT1,PDE3B,PIK3CB,USP46,SRGAP3,DKK1,TRIB3,REP15,AP1AR,MPP7,NETO2,SIAH2,RYK,NLRC5,FGD6,GPR39,DDIT3
GO:0010646	regulation of cell communication	1.08163236187807e-05	-11.4344541187358	2931	112	0.26046511627907	430	16441	5599,6712,2736,91942,58504,9542,3606,4916,79094,5366,79876,1739,55486,9711,5144,23089,23228,25924,11343,1604,7077,63979,7879,287,4914,494470,1894,6310,467,5577,857,27230,285315,29,26084,8660,6498,2534,8607,4616,55764,25937,129293,2887,8829,9575,27128,86,10098,4208,59352,57221,54800,10160,6536,64411,5504,1958,9175,5922,6507,2047,4976,7048,26038,9965,10666,5523,2122,84144,10019,1123,11235,3480,3491,2624,23263,5062,9678,84632,545,5742,776,6812,1761,27185,8738,2247,23101,27032,55638,84033,9743,83939,7784,27031,8631,6857,5140,5291,64854,9901,22943,57761,143098,81831,6478,6259,84166,55785,2863,1649	MAPK8,SPTBN2,GLI2,NDUFAF2,ARHGAP22,NRG2,IL18,NTRK3,CHAC1,PMAIP1,UBA5,DLG1,PARL,RUBCN,PDE4D,PEG10,PLCL2,MYRIP,MGLL,CD55,TIMP2,FIGNL1,RAB7A,ANK2,NTRK1,RNF165,ECT2,ATXN1,ATF3,PRKAR2B,CAV1,SERP1,C3orf33,ABR,ARHGEF26,IRS2,SKIL,FYN,RUVBL1,GADD45B,IFT122,WWTR1,TRABD2A,GRB10,NRP1,CLOCK,CYTH4,ACTL6A,TSPAN5,MEF2C,LGR6,ARFGEF3,KLHL24,FARP1,SLC6A9,ARAP3,PPP1R2,EGR1,MAP3K13,RASA2,SLC1A3,EPHB1,OPA1,TGFBR2,CHD5,FGF19,CD226,PPP2R3A,MECOM,SYDE2,SH2B3,CHN1,PDCD10,IGF1R,CYR61,GATA2,MCF2L,PAK2,PHF14,AFAP1L2,ATR,PTGS1,CACNA1D,STXBP1,DMRT1,DISC1,CRADD,FGF2,MCF2L2,ATP2C1,SYBU,OBSCN,ARHGAP32,EIF2A,ZP3,NPHP3,SKAP1,SYT1,PDE3B,PIK3CB,USP46,SRGAP3,DKK1,TRIB3,MPP7,NETO2,SIAH2,RYK,NLRC5,FGD6,GPR39,DDIT3
GO:0065009	regulation of molecular function	1.47223362985194e-05	-11.1261447413256	2753	106	0.246511627906977	430	16441	5599,23145,6712,79977,84254,58504,9542,51726,4916,57018,57118,22898,785,54843,23527,5366,1739,9711,5144,26577,23228,10188,7077,83667,902,287,56704,4914,1894,5577,857,80005,285315,29,26084,8660,2534,64215,3755,4616,25937,23129,5522,8829,9779,9575,27128,4208,57221,54800,306,7273,10160,64411,5504,9175,5922,6695,30849,151242,9252,7048,9965,5523,1293,153769,84144,1123,11235,3480,3491,2644,50807,23263,5062,5584,84632,545,776,5292,5330,8893,8738,2247,51232,23101,84159,1974,84033,9743,91947,7784,5291,9901,57761,81831,6478,1054,54165,84166,55785,5799,1800,27347,483,1649	MAPK8,SSPO,SPTBN2,GRHL2,CAMKK1,ARHGAP22,NRG2,DNAJB11,NTRK3,CCNL1,CAMK1D,DENND3,CACNB4,SYTL2,ACAP2,PMAIP1,DLG1,RUBCN,PDE4D,PCOLCE2,PLCL2,TNK2,TIMP2,SESN2,CCNH,ANK2,JPH1,NTRK1,ECT2,PRKAR2B,CAV1,DOCK5,C3orf33,ABR,ARHGEF26,IRS2,FYN,DNAJC1,KCNG1,GADD45B,WWTR1,PLXND1,PPP2R2C,NRP1,TBC1D5,CLOCK,CYTH4,MEF2C,ARFGEF3,KLHL24,ANXA3,TTN,FARP1,ARAP3,PPP1R2,MAP3K13,RASA2,SPOCK1,PIK3R4,PPP1R1C,RPS6KA5,TGFBR2,FGF19,PPP2R3A,COL6A3,SH3RF2,SYDE2,CHN1,PDCD10,IGF1R,CYR61,GCHFR,ASAP1,MCF2L,PAK2,PRKCI,AFAP1L2,ATR,CACNA1D,PIM1,PLCB2,EIF2B5,CRADD,FGF2,CRIM1,MCF2L2,ARID5B,EIF4A2,OBSCN,ARHGAP32,ARRDC4,ZP3,PIK3CB,SRGAP3,TRIB3,NETO2,SIAH2,CEBPG,DCUN1D1,NLRC5,FGD6,PTPRN2,DPEP1,STK39,ATP1B3,DDIT3
GO:0009893	positive regulation of metabolic process	2.66653389870283e-05	-10.5321460011844	3495	127	0.295348837209302	430	16441	5599,6712,9658,2736,79977,116496,84254,58504,9542,51726,3606,4916,6596,57018,57118,22898,23175,23527,5366,8543,1739,1889,26577,4233,4129,10188,7077,902,79364,7879,287,4914,4774,1894,6310,467,5577,92370,857,80005,27230,29,26084,8660,2534,64215,4616,25937,28999,165918,2887,7029,8829,9779,9575,27128,4208,57221,8975,306,10160,64411,1958,9175,152503,5922,122953,2119,30849,5090,9586,9252,7048,9965,84236,5523,2122,84144,80853,1123,11235,3480,3491,2624,50807,23263,5062,84969,5584,84632,5292,5330,23034,1761,27185,8893,4241,8738,10274,2247,79718,3164,23101,84159,84033,9743,83939,7784,91947,8631,5291,9901,283078,8464,57761,131870,84166,1054,54165,6259,55785,22916,27347,483,30812,170506,1649	MAPK8,SPTBN2,ZNF516,GLI2,GRHL2,FAM129A,CAMKK1,ARHGAP22,NRG2,DNAJB11,IL18,NTRK3,HLTF,CCNL1,CAMK1D,DENND3,LPIN1,ACAP2,PMAIP1,LMO4,DLG1,ECE1,PCOLCE2,MET,MAOB,TNK2,TIMP2,CCNH,ZXDC,RAB7A,ANK2,NTRK1,NFIA,ECT2,ATXN1,ATF3,PRKAR2B,PXYLP1,CAV1,DOCK5,SERP1,ABR,ARHGEF26,IRS2,FYN,DNAJC1,GADD45B,WWTR1,KLF15,RNF168,GRB10,TFDP2,NRP1,TBC1D5,CLOCK,CYTH4,MEF2C,ARFGEF3,USP13,ANXA3,FARP1,ARAP3,EGR1,MAP3K13,SH3D19,RASA2,JDP2,ETV5,PIK3R4,PBX3,CREB5,RPS6KA5,TGFBR2,FGF19,RHBDD1,PPP2R3A,MECOM,SYDE2,KDM7A,CHN1,PDCD10,IGF1R,CYR61,GATA2,ASAP1,MCF2L,PAK2,TOX2,PRKCI,AFAP1L2,PIM1,PLCB2,SAMD4A,DMRT1,DISC1,EIF2B5,MFI2,CRADD,STAG1,FGF2,TBL1XR1,NR4A1,MCF2L2,ARID5B,OBSCN,ARHGAP32,EIF2A,ZP3,ARRDC4,SKAP1,PIK3CB,SRGAP3,MKX,SUPT3H,TRIB3,NUDT16,NLRC5,CEBPG,DCUN1D1,RYK,FGD6,NCBP2,STK39,ATP1B3,SOX8,DHX36,DDIT3
GO:0044093	positive regulation of molecular function	3.67696409812774e-05	-10.210838026602	1782	74	0.172093023255814	430	16441	5599,6712,79977,84254,58504,9542,51726,4916,57018,57118,22898,23527,5366,1739,26577,23228,7077,902,287,4914,1894,5577,857,80005,29,26084,8660,2534,64215,4616,23129,8829,9779,9575,27128,4208,57221,306,64411,10160,9175,5922,30849,7048,9252,9965,84144,1123,11235,3491,50807,23263,5062,5584,84632,5292,5330,8893,8738,2247,23101,84159,84033,9743,91947,7784,5291,9901,57761,1054,54165,55785,27347,483	MAPK8,SPTBN2,GRHL2,CAMKK1,ARHGAP22,NRG2,DNAJB11,NTRK3,CCNL1,CAMK1D,DENND3,ACAP2,PMAIP1,DLG1,PCOLCE2,PLCL2,TIMP2,CCNH,ANK2,NTRK1,ECT2,PRKAR2B,CAV1,DOCK5,ABR,ARHGEF26,IRS2,FYN,DNAJC1,GADD45B,PLXND1,NRP1,TBC1D5,CLOCK,CYTH4,MEF2C,ARFGEF3,ANXA3,ARAP3,FARP1,MAP3K13,RASA2,PIK3R4,TGFBR2,RPS6KA5,FGF19,SYDE2,CHN1,PDCD10,CYR61,ASAP1,MCF2L,PAK2,PRKCI,AFAP1L2,PIM1,PLCB2,EIF2B5,CRADD,FGF2,MCF2L2,ARID5B,OBSCN,ARHGAP32,ARRDC4,ZP3,PIK3CB,SRGAP3,TRIB3,CEBPG,DCUN1D1,FGD6,STK39,ATP1B3
GO:0007399	nervous system development	3.84837236888976e-05	-10.1652751673866	2292	90	0.209302325581395	430	16441	8448,83943,6712,2736,79977,3339,89927,9542,4916,5361,79094,57118,785,84894,84002,8543,54221,1739,7220,4233,4129,4139,7077,287,4914,494470,1894,4774,6310,857,29,8660,6498,2534,4133,55764,3673,23129,8829,86,4208,200933,306,10160,1958,5922,2119,6695,10319,5090,1287,26047,6507,2047,26227,7048,9252,26038,4154,9965,1293,5523,576,2122,80853,387755,1123,6696,3480,23657,50807,2624,5062,5584,166336,776,6812,1608,27185,8893,51232,2247,6857,4131,22943,8140,6259,6478,1822,30812	DOC2A,IMMP2L,SPTBN2,GLI2,GRHL2,HSPG2,C16orf45,NRG2,NTRK3,PLXNA1,CHAC1,CAMK1D,CACNB4,LINGO1,B3GNT5,LMO4,SNTG2,DLG1,TRPC1,MET,MAOB,MARK1,TIMP2,ANK2,NTRK1,RNF165,ECT2,NFIA,ATXN1,CAV1,ABR,IRS2,SKIL,FYN,MAP2,IFT122,ITGA2,PLXND1,NRP1,ACTL6A,MEF2C,FBXO45,ANXA3,FARP1,EGR1,RASA2,ETV5,SPOCK1,LAMC3,PBX3,COL4A5,CNTNAP2,SLC1A3,EPHB1,PHGDH,TGFBR2,RPS6KA5,CHD5,MBNL1,FGF19,COL6A3,PPP2R3A,ADGRB2,MECOM,KDM7A,INSC,CHN1,SPP1,IGF1R,SLC7A11,ASAP1,GATA2,PAK2,PRKCI,PRICKLE2,CACNA1D,STXBP1,DGKG,DISC1,EIF2B5,CRIM1,FGF2,SYT1,MAP1B,DKK1,SLC7A5,RYK,SIAH2,ATN1,SOX8
GO:0051246	regulation of protein metabolic process	4.17121122711176e-05	-10.0847190091984	2557	98	0.227906976744186	430	16441	5599,23145,6712,116496,84254,4194,9542,3606,4916,79094,57018,54843,5366,1739,55486,1889,2272,5144,26577,23228,10188,1604,7077,83667,902,84063,7879,4914,1894,467,5577,92370,857,27230,285315,3364,8660,2534,64215,60678,4616,25937,28999,5522,8829,4208,57221,8975,7273,10160,5504,1958,9175,152503,5922,122953,6695,10644,151242,2047,7048,9252,9965,84236,5523,1293,153769,2122,11235,3480,3491,2624,5062,84632,51714,5292,23034,27185,8893,8738,4241,2247,51232,1974,83939,8087,91947,7784,5291,22943,57761,6478,6259,54165,1054,1800,22916,27347	MAPK8,SSPO,SPTBN2,FAM129A,CAMKK1,MDM4,NRG2,IL18,NTRK3,CHAC1,CCNL1,SYTL2,PMAIP1,DLG1,PARL,ECE1,FHIT,PDE4D,PCOLCE2,PLCL2,TNK2,CD55,TIMP2,SESN2,CCNH,KIRREL2,RAB7A,NTRK1,ECT2,ATF3,PRKAR2B,PXYLP1,CAV1,SERP1,C3orf33,HUS1,IRS2,FYN,DNAJC1,EEFSEC,GADD45B,WWTR1,KLF15,PPP2R2C,NRP1,MEF2C,ARFGEF3,USP13,TTN,FARP1,PPP1R2,EGR1,MAP3K13,SH3D19,RASA2,JDP2,SPOCK1,IGF2BP2,PPP1R1C,EPHB1,TGFBR2,RPS6KA5,FGF19,RHBDD1,PPP2R3A,COL6A3,SH3RF2,MECOM,PDCD10,IGF1R,CYR61,GATA2,PAK2,AFAP1L2,SELT,PIM1,SAMD4A,DISC1,EIF2B5,CRADD,MFI2,FGF2,CRIM1,EIF4A2,EIF2A,FXR1,ARRDC4,ZP3,PIK3CB,DKK1,TRIB3,SIAH2,RYK,DCUN1D1,CEBPG,DPEP1,NCBP2,STK39
GO:0048583	regulation of response to stimulus	4.41425824327213e-05	-10.0280856533482	3566	128	0.297674418604651	430	16441	6712,2736,9542,3606,5361,79094,57118,785,55120,5366,1739,23228,51435,1604,83667,4914,494470,857,7462,29,26084,6498,165918,8829,27128,86,4208,64411,5504,1958,5922,30849,6507,7048,26038,10666,2122,84467,10019,1123,6696,3480,3491,2624,5062,9678,23180,545,80216,285,27185,8738,84033,83939,27031,131870,6478,1054,84166,55785,27347,5599,91942,58504,4916,53833,10225,79876,55486,9711,5144,4233,23089,11343,7077,63979,7879,1894,6310,467,285315,8660,2534,8607,25937,55764,4616,129293,2887,23129,9575,10098,8975,57221,59352,54800,10160,9175,4976,2047,9252,9965,5523,84144,11235,23263,84632,1761,2247,3164,23101,55638,27032,9743,7784,5140,8631,5291,9901,22943,8464,387849,57761,143098,6259,81831,2863,1649	SPTBN2,GLI2,NRG2,IL18,PLXNA1,CHAC1,CAMK1D,CACNB4,FANCL,PMAIP1,DLG1,PLCL2,SCARA3,CD55,SESN2,NTRK1,RNF165,CAV1,LAT2,ABR,ARHGEF26,SKIL,RNF168,NRP1,CYTH4,ACTL6A,MEF2C,ARAP3,PPP1R2,EGR1,RASA2,PIK3R4,SLC1A3,TGFBR2,CHD5,CD226,MECOM,FBN3,SH2B3,CHN1,SPP1,IGF1R,CYR61,GATA2,PAK2,PHF14,RFTN1,ATR,ALPK1,ANGPT2,DISC1,CRADD,OBSCN,EIF2A,NPHP3,NUDT16,SIAH2,CEBPG,NLRC5,FGD6,STK39,MAPK8,NDUFAF2,ARHGAP22,NTRK3,IL20RB,CD96,UBA5,PARL,RUBCN,PDE4D,MET,PEG10,MGLL,TIMP2,FIGNL1,RAB7A,ECT2,ATXN1,ATF3,C3orf33,IRS2,FYN,RUVBL1,WWTR1,IFT122,GADD45B,TRABD2A,GRB10,PLXND1,CLOCK,TSPAN5,USP13,ARFGEF3,LGR6,KLHL24,FARP1,MAP3K13,OPA1,EPHB1,RPS6KA5,FGF19,PPP2R3A,SYDE2,PDCD10,MCF2L,AFAP1L2,DMRT1,FGF2,NR4A1,MCF2L2,SYBU,ATP2C1,ARHGAP32,ZP3,PDE3B,SKAP1,PIK3CB,SRGAP3,DKK1,SUPT3H,REP15,TRIB3,MPP7,RYK,NETO2,GPR39,DDIT3
GO:0051056	regulation of small GTPase mediated signal transduction	5.2978272766777e-05	-9.84562867626038	281	20	0.0465116279069767	430	16441	7077,10160,64411,23101,5922,58504,4914,1894,84033,9743,9901,29,26084,84144,1123,11235,23263,55785,27128,57221	TIMP2,FARP1,ARAP3,MCF2L2,RASA2,ARHGAP22,NTRK1,ECT2,OBSCN,ARHGAP32,SRGAP3,ABR,ARHGEF26,SYDE2,CHN1,PDCD10,MCF2L,FGD6,CYTH4,ARFGEF3
GO:0032879	regulation of localization	6.24834383123108e-05	-9.6806090233402	2322	90	0.209302325581395	430	16441	5599,8448,23086,91942,89927,55171,3606,4916,5361,57118,785,54843,23317,127018,5366,1739,7220,55486,9711,89978,5144,4233,25924,4129,8514,5796,10188,7879,287,56704,1894,5577,857,1181,80005,27230,29,8660,2534,8607,64215,3755,25937,2887,23129,57586,8829,9575,9779,86,4208,59352,54800,306,64411,9965,84236,5523,11235,3480,3491,2624,8614,5584,5742,776,6812,285,2247,55638,5357,10699,7784,5140,6857,5291,9901,4131,22943,57761,55435,55733,81831,3099,1800,22916,2863,27347,483,1649	MAPK8,DOC2A,EXPH5,NDUFAF2,C16orf45,TBCCD1,IL18,NTRK3,PLXNA1,CAMK1D,CACNB4,SYTL2,DNAJC13,LYPLAL1,PMAIP1,DLG1,TRPC1,PARL,RUBCN,DPH6,PDE4D,MET,MYRIP,MAOB,KCNAB2,PTPRK,TNK2,RAB7A,ANK2,JPH1,ECT2,PRKAR2B,CAV1,CLCN2,DOCK5,SERP1,ABR,IRS2,FYN,RUVBL1,DNAJC1,KCNG1,WWTR1,GRB10,PLXND1,SYT13,NRP1,CLOCK,TBC1D5,ACTL6A,MEF2C,LGR6,KLHL24,ANXA3,ARAP3,FGF19,RHBDD1,PPP2R3A,PDCD10,IGF1R,CYR61,GATA2,STC2,PRKCI,PTGS1,CACNA1D,STXBP1,ANGPT2,FGF2,SYBU,PLS1,CORIN,ZP3,PDE3B,SYT1,PIK3CB,SRGAP3,MAP1B,DKK1,TRIB3,AP1AR,HHAT,NETO2,HK2,DPEP1,NCBP2,GPR39,STK39,ATP1B3,DDIT3
