TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005737	cytoplasm	1.84408607188245e-05	-10.9009416641993	10396	308	0.685968819599109	449	17570	8448,6712,3339,1831,3606,5361,79094,6596,2992,57118,23175,5366,137994,89978,8309,23228,4129,8514,84859,7277,7378,5577,4171,7462,1303,29,6498,146754,8829,9779,27128,51068,152002,4208,4026,833,1958,1962,6480,4291,4810,30849,256356,6507,7048,1293,9276,11199,2122,10019,387755,1123,6184,23657,50807,622,157638,776,1608,6812,114793,27185,84343,10274,92369,11073,5095,1974,5357,27031,91947,8087,84168,10150,50940,55435,55785,27347,11222,5599,25914,55573,80321,9914,4711,4753,440,23527,64789,79876,5144,80254,23089,79929,6820,11343,1894,92370,23331,27230,4144,3669,8660,54927,2534,27295,29927,55764,25937,2887,9575,57129,59352,8975,51397,10160,23621,10079,2047,4976,9252,80723,51319,4154,55186,11235,23263,5742,23034,10051,51421,5096,217,29968,56895,10335,7784,8631,5140,9901,2591,57761,5352,28976,6259,339983,1822,138429,84665,170506,1649,23086,83943,384,349565,2736,84254,116496,9197,56922,51726,785,78991,55120,58477,51122,221895,1739,7220,51435,25924,374378,1825,10188,1604,4139,83667,80790,84056,287,56704,4914,9194,494470,283455,857,4919,55341,3364,199221,55083,10195,23007,4482,64215,4133,60678,1803,165918,54464,84706,7273,64411,5504,5922,26047,26227,84236,6696,8706,2624,5062,5584,8833,23180,545,5292,57552,2762,2571,5330,84186,8738,84033,83939,6857,55289,85476,131870,55733,3099,84166,6478,5799,483,1288,81609,91942,58504,57520,55171,4916,125228,51313,54843,79098,84002,23200,23317,152137,127018,55277,54221,55486,9711,2272,1889,285195,118429,83989,63979,26136,7879,79669,6310,80005,89782,8607,4616,57586,57221,54800,306,9175,152503,7095,6695,10644,1287,151242,26235,84144,56945,6509,2644,8614,166336,84632,5106,1761,8893,3164,27032,55638,7328,9743,79623,5291,84303,11342,22943,4131,387849,3840,8140,22916,30812,23355	DOC2A,SPTBN2,HSPG2,TSC22D3,IL18,PLXNA1,CHAC1,HLTF,GYG1,CAMK1D,LPIN1,PMAIP1,LETM2,DPH6,ACOX2,PLCL2,MAOB,KCNAB2,LRCH3,TUBA4A,UPP1,PRKAR2B,MCM2,LAT2,COL12A1,ABR,SKIL,DNAH2,NRP1,TBC1D5,CYTH4,NMD3,XXYLT1,MEF2C,LPP,CARS,EGR1,EHHADH,ST6GAL1,MLF1,NHS,PIK3R4,GK5,SLC1A3,TGFBR2,COL6A3,COPB2,ANXA10,MECOM,SH2B3,INSC,CHN1,RPN1,SLC7A11,ASAP1,BDH1,FAM84B,CACNA1D,DGKG,STXBP1,FMNL2,DISC1,HPS3,STAG1,SPSB4,TOPBP1,PCCA,EIF4A2,PLS1,NPHP3,ARRDC4,FXR1,ANTXR1,MBNL2,PDE11A,AP1AR,FGD6,STK39,MRPL3,MAPK8,RTTN,CDV3,CEP70,ATP2C2,NDUFB5,NELL2,ASNS,ACAP2,EXO5,UBA5,PDE4D,CEP63,PEG10,MAP6D1,SULT2B1,MGLL,ECT2,PXYLP1,TTC28,SERP1,MAT2A,ISG20,IRS2,CHCHD3,FYN,PDLIM3,SEC61A1,IFT122,WWTR1,GRB10,CLOCK,MRPL47,LGR6,USP13,COMMD10,FARP1,BACE1,ATP9A,EPHB1,OPA1,RPS6KA5,SLC35G2,RSRC1,MBNL1,SLC25A36,PDCD10,MCF2L,PTGS1,SAMD4A,SMC4,AMOTL2,PCCB,ALDH2,PSAT1,AGPAT4,MRVI1,ZP3,SKAP1,PDE3B,SRGAP3,GALNT3,TRIB3,PLOD2,ACAD9,RYK,NAT8L,ATN1,PIP5KL1,MYPN,DHX36,DDIT3,EXPH5,IMMP2L,ARG2,NMNAT3,GLI2,CAMKK1,FAM129A,SLC33A1,MCCC1,DNAJB11,CACNB4,PCYOX1L,FANCL,SRPRB,COMMD2,JAZF1,DLG1,TRPC1,SCARA3,MYRIP,GALNT18,DSC3,TNK2,CD55,MARK1,SESN2,CMIP,KATNAL1,ANK2,JPH1,NTRK1,SLC16A7,RNF165,KSR2,CAV1,ROR1,LSG1,HUS1,DZIP1L,KIF26B,ALG3,PLCH1,MSRA,DNAJC1,MAP2,EEFSEC,DPP4,RNF168,XRN1,GPT2,TTN,ARAP3,PPP1R2,RASA2,CNTNAP2,PHGDH,RHBDD1,SPP1,B3GALNT1,GATA2,PAK2,PRKCI,GMPS,RFTN1,ATR,PIM1,NCEH1,GMDS,GAD1,PLCB2,ZCCHC7,CRADD,OBSCN,EIF2A,SYT1,ACOXL,GFM1,NUDT16,HHAT,HK2,NLRC5,SIAH2,PTPRN2,ATP1B3,COL4A6,SNX27,NDUFAF2,ARHGAP22,HECW2,TBCCD1,NTRK3,FAM210A,FAM198B,SYTL2,C1orf116,B3GNT5,ATP11B,DNAJC13,CCDC50,LYPLAL1,FGGY,SNTG2,PARL,RUBCN,FHIT,ECE1,SLC9A9,ANTXR2,FAM172A,FIGNL1,TES,RAB7A,C3orf52,ATXN1,DOCK5,LMLN,RUVBL1,GADD45B,SYT13,ARFGEF3,KLHL24,ANXA3,MAP3K13,SH3D19,SEC62,SPOCK1,IGF2BP2,COL4A5,PPP1R1C,FBXL4,SYDE2,MRPS22,SLC1A4,GCHFR,STC2,PRICKLE2,AFAP1L2,PCK2,DMRT1,EIF2B5,NR4A1,ATP2C1,SYBU,UBE2H,ARHGAP32,GALNT14,PIK3CB,CHCHD6,RNF13,DKK1,MAP1B,REP15,KPNA4,SLC7A5,NCBP2,SOX8,VPS8
GO:0097546	ciliary base	0.000370997402788814	-7.89931549595058	25	5	0.0111358574610245	449	17570	27185,5577,2736,27031,55764	DISC1,PRKAR2B,GLI2,NPHP3,IFT122
GO:0044420	extracellular matrix component	0.000417775742079506	-7.78056577161046	127	11	0.0244988864142539	449	17570	7077,3339,80144,1739,10319,1287,6507,1288,1303,1293,3914	TIMP2,HSPG2,FRAS1,DLG1,LAMC3,COL4A5,SLC1A3,COL4A6,COL12A1,COL6A3,LAMB3
GO:0044444	cytoplasmic part	0.000432997231789102	-7.74477922307898	7817	235	0.523385300668151	449	17570	384,8448,83943,23086,6712,349565,2736,3339,1831,84254,56922,9197,51726,3606,79094,2992,785,23175,78991,58477,5366,137994,1739,7220,89978,8309,51435,25924,4129,374378,8514,7277,10188,1604,83667,7378,287,56704,4914,5577,857,55341,7462,1303,29,199221,10195,6498,23007,4482,64215,4133,60678,1803,146754,54464,8829,9779,27128,152002,833,84706,7273,64411,5504,1962,6480,5922,30849,256356,6507,26047,26227,7048,84236,1293,9276,11199,2122,10019,1123,6184,6696,8706,23657,50807,2624,5062,622,5584,8833,23180,545,776,57552,5330,2571,6812,114793,27185,84343,10274,11073,5095,1974,84033,5357,83939,91947,8087,27031,6857,84168,55289,50940,85476,55435,55733,6478,84166,3099,55785,5799,483,1288,11222,5599,81609,80321,91942,58504,9914,4711,125228,51313,54843,84002,23200,23317,440,23527,127018,64789,79876,55486,9711,1889,2272,5144,80254,79929,6820,11343,285195,118429,83989,7879,79669,1894,92370,27230,4144,8660,54927,2534,27295,8607,29927,25937,2887,57586,9575,57129,59352,8975,57221,306,10160,9175,23621,10079,152503,7095,1287,10644,2047,4976,80723,26235,4154,55186,84144,56945,11235,6509,2644,23263,8614,5742,5106,10051,51421,5096,217,8893,29968,56895,27032,55638,10335,9743,7784,8631,5140,79623,5291,84303,9901,11342,4131,22943,2591,57761,387849,3840,5352,28976,8140,1822,339983,22916,84665,170506,23355,1649	ARG2,DOC2A,IMMP2L,EXPH5,SPTBN2,NMNAT3,GLI2,HSPG2,TSC22D3,CAMKK1,MCCC1,SLC33A1,DNAJB11,IL18,CHAC1,GYG1,CACNB4,LPIN1,PCYOX1L,SRPRB,PMAIP1,LETM2,DLG1,TRPC1,DPH6,ACOX2,SCARA3,MYRIP,MAOB,GALNT18,KCNAB2,TUBA4A,TNK2,CD55,SESN2,UPP1,ANK2,JPH1,NTRK1,PRKAR2B,CAV1,LSG1,LAT2,COL12A1,ABR,DZIP1L,ALG3,SKIL,PLCH1,MSRA,DNAJC1,MAP2,EEFSEC,DPP4,DNAH2,XRN1,NRP1,TBC1D5,CYTH4,XXYLT1,CARS,GPT2,TTN,ARAP3,PPP1R2,EHHADH,ST6GAL1,RASA2,PIK3R4,GK5,SLC1A3,CNTNAP2,PHGDH,TGFBR2,RHBDD1,COL6A3,COPB2,ANXA10,MECOM,SH2B3,CHN1,RPN1,SPP1,B3GALNT1,SLC7A11,ASAP1,GATA2,PAK2,BDH1,PRKCI,GMPS,RFTN1,ATR,CACNA1D,NCEH1,PLCB2,GAD1,STXBP1,FMNL2,DISC1,HPS3,STAG1,TOPBP1,PCCA,EIF4A2,OBSCN,PLS1,EIF2A,ARRDC4,FXR1,NPHP3,SYT1,ANTXR1,ACOXL,PDE11A,GFM1,AP1AR,HHAT,SIAH2,NLRC5,HK2,FGD6,PTPRN2,ATP1B3,COL4A6,MRPL3,MAPK8,SNX27,CEP70,NDUFAF2,ARHGAP22,ATP2C2,NDUFB5,FAM210A,FAM198B,SYTL2,B3GNT5,ATP11B,DNAJC13,ASNS,ACAP2,LYPLAL1,EXO5,UBA5,PARL,RUBCN,ECE1,FHIT,PDE4D,CEP63,MAP6D1,SULT2B1,MGLL,SLC9A9,ANTXR2,FAM172A,RAB7A,C3orf52,ECT2,PXYLP1,SERP1,MAT2A,IRS2,CHCHD3,FYN,PDLIM3,RUVBL1,SEC61A1,WWTR1,GRB10,SYT13,CLOCK,MRPL47,LGR6,USP13,ARFGEF3,ANXA3,FARP1,MAP3K13,BACE1,ATP9A,SH3D19,SEC62,COL4A5,IGF2BP2,EPHB1,OPA1,SLC35G2,FBXL4,MBNL1,SLC25A36,SYDE2,MRPS22,PDCD10,SLC1A4,GCHFR,MCF2L,STC2,PTGS1,PCK2,SMC4,AMOTL2,PCCB,ALDH2,EIF2B5,PSAT1,AGPAT4,ATP2C1,SYBU,MRVI1,ARHGAP32,ZP3,SKAP1,PDE3B,GALNT14,PIK3CB,CHCHD6,SRGAP3,RNF13,MAP1B,DKK1,GALNT3,TRIB3,REP15,KPNA4,PLOD2,ACAD9,SLC7A5,ATN1,NAT8L,NCBP2,MYPN,DHX36,VPS8,DDIT3
GO:0044424	intracellular part	0.000578078759662375	-7.45580043618312	13357	370	0.824053452115813	449	17570	8448,6712,3339,1831,4194,3606,5361,79094,6596,2992,57118,23175,5366,137994,79572,89978,8309,23228,4129,114818,8514,84859,7277,7378,4774,5577,4171,7462,1303,29,6498,146754,3097,7029,8829,9779,27128,51068,152002,4208,4026,833,1958,1962,6480,4291,4810,30849,256356,6507,7048,26038,1293,9276,11199,153769,2122,10019,387755,1123,6184,23657,50807,622,9678,157638,776,1608,6812,114793,285,27185,84343,10274,92369,11073,5095,84159,1974,5357,27031,91947,8087,84168,10150,50940,55435,1054,55785,27347,11222,5599,25914,55573,9658,80321,79977,9914,89927,4711,84940,152485,4753,440,23527,64789,79876,5144,80254,23089,79929,6820,11343,5984,902,1894,467,92370,23331,27230,114991,4144,3669,8660,54927,2534,27295,29927,55764,25937,28999,2887,9575,55689,730755,57129,59352,8975,51397,10160,23621,10079,5090,55892,9586,2047,4976,9252,80723,51319,4154,55186,80853,11235,23263,5742,23034,116931,10051,89795,51421,5096,217,55167,29968,56895,51163,10335,7784,8631,5140,9901,8464,2591,57761,80012,5352,28976,6259,339983,1822,138429,84665,170506,1649,384,23086,83943,349565,2736,84254,116496,56922,9197,51726,22982,785,78991,55120,58477,51122,221895,1739,7220,256979,51435,25924,374378,1825,10188,1604,4139,83667,79364,80790,84056,287,56704,4914,9194,494470,283455,857,4919,55341,3364,199221,55083,10195,4482,23007,64215,4133,60678,23350,1803,165918,54464,5522,86,84706,7273,64411,5504,5922,122953,2119,26047,26227,84236,9668,6696,8706,3480,2624,5062,5584,8833,23180,545,5292,57552,2762,2571,5330,84186,8738,84033,83939,6857,55289,85476,131870,79915,55733,54165,3099,84166,6478,5799,483,1288,81609,91942,58504,57520,55171,4916,57018,125228,51313,9656,54843,79098,84002,23200,23317,152137,127018,55277,8543,54221,55486,9711,2272,1889,205564,55084,285195,118429,83989,63979,7879,26136,79669,6310,80005,89782,8607,3755,4616,57586,57221,54800,306,9175,152503,7095,6695,10644,1287,151242,26235,5523,84144,56945,6509,2644,8614,84969,166336,84632,57101,5106,1761,8893,2247,79718,3164,27032,55638,7328,9743,55628,79623,5291,84303,11342,4131,22943,283078,387849,3840,339778,84456,8140,22916,114785,30812,23355	DOC2A,SPTBN2,HSPG2,TSC22D3,MDM4,IL18,PLXNA1,CHAC1,HLTF,GYG1,CAMK1D,LPIN1,PMAIP1,LETM2,ATP13A3,DPH6,ACOX2,PLCL2,MAOB,KLHL29,KCNAB2,LRCH3,TUBA4A,UPP1,NFIA,PRKAR2B,MCM2,LAT2,COL12A1,ABR,SKIL,DNAH2,HIVEP2,TFDP2,NRP1,TBC1D5,CYTH4,NMD3,XXYLT1,MEF2C,LPP,CARS,EGR1,EHHADH,ST6GAL1,MLF1,NHS,PIK3R4,GK5,SLC1A3,TGFBR2,CHD5,COL6A3,COPB2,ANXA10,SH3RF2,MECOM,SH2B3,INSC,CHN1,RPN1,SLC7A11,ASAP1,BDH1,PHF14,FAM84B,CACNA1D,DGKG,STXBP1,FMNL2,ANGPT2,DISC1,HPS3,STAG1,SPSB4,TOPBP1,PCCA,ARID5B,EIF4A2,PLS1,NPHP3,ARRDC4,FXR1,ANTXR1,MBNL2,PDE11A,AP1AR,CEBPG,FGD6,STK39,MRPL3,MAPK8,RTTN,CDV3,ZNF516,CEP70,GRHL2,ATP2C2,C16orf45,NDUFB5,CORO6,ZNF827,NELL2,ASNS,ACAP2,EXO5,UBA5,PDE4D,CEP63,PEG10,MAP6D1,SULT2B1,MGLL,RFC4,CCNH,ECT2,ATF3,PXYLP1,TTC28,SERP1,ZNF618,MAT2A,ISG20,IRS2,CHCHD3,FYN,PDLIM3,SEC61A1,IFT122,WWTR1,KLF15,GRB10,CLOCK,YEATS2,KRTAP2-3,MRPL47,LGR6,USP13,COMMD10,FARP1,BACE1,ATP9A,PBX3,MYNN,CREB5,EPHB1,OPA1,RPS6KA5,SLC35G2,RSRC1,MBNL1,SLC25A36,KDM7A,PDCD10,MCF2L,PTGS1,SAMD4A,MED12L,SMC4,NAV3,AMOTL2,PCCB,ALDH2,MSL2,PSAT1,AGPAT4,DBR1,MRVI1,ZP3,SKAP1,PDE3B,SRGAP3,SUPT3H,GALNT3,TRIB3,PHC3,PLOD2,ACAD9,RYK,NAT8L,ATN1,PIP5KL1,MYPN,DHX36,DDIT3,ARG2,EXPH5,IMMP2L,NMNAT3,GLI2,CAMKK1,FAM129A,MCCC1,SLC33A1,DNAJB11,DIP2C,CACNB4,PCYOX1L,FANCL,SRPRB,COMMD2,JAZF1,DLG1,TRPC1,SUN3,SCARA3,MYRIP,GALNT18,DSC3,TNK2,CD55,MARK1,SESN2,ZXDC,CMIP,KATNAL1,ANK2,JPH1,NTRK1,SLC16A7,RNF165,KSR2,CAV1,ROR1,LSG1,HUS1,DZIP1L,KIF26B,ALG3,MSRA,PLCH1,DNAJC1,MAP2,EEFSEC,U2SURP,DPP4,RNF168,XRN1,PPP2R2C,ACTL6A,GPT2,TTN,ARAP3,PPP1R2,RASA2,JDP2,ETV5,CNTNAP2,PHGDH,RHBDD1,ZNF432,SPP1,B3GALNT1,IGF1R,GATA2,PAK2,PRKCI,GMPS,RFTN1,ATR,PIM1,NCEH1,GMDS,GAD1,PLCB2,ZCCHC7,CRADD,OBSCN,EIF2A,SYT1,ACOXL,GFM1,NUDT16,ATAD5,HHAT,DCUN1D1,HK2,NLRC5,SIAH2,PTPRN2,ATP1B3,COL4A6,SNX27,NDUFAF2,ARHGAP22,HECW2,TBCCD1,NTRK3,CCNL1,FAM210A,FAM198B,MDC1,SYTL2,C1orf116,B3GNT5,ATP11B,DNAJC13,CCDC50,LYPLAL1,FGGY,LMO4,SNTG2,PARL,RUBCN,FHIT,ECE1,SENP5,SOBP,SLC9A9,ANTXR2,FAM172A,FIGNL1,RAB7A,TES,C3orf52,ATXN1,DOCK5,LMLN,RUVBL1,KCNG1,GADD45B,SYT13,ARFGEF3,KLHL24,ANXA3,MAP3K13,SH3D19,SEC62,SPOCK1,IGF2BP2,COL4A5,PPP1R1C,FBXL4,PPP2R3A,SYDE2,MRPS22,SLC1A4,GCHFR,STC2,TOX2,PRICKLE2,AFAP1L2,ANO2,PCK2,DMRT1,EIF2B5,FGF2,TBL1XR1,NR4A1,ATP2C1,SYBU,UBE2H,ARHGAP32,ZNF407,GALNT14,PIK3CB,CHCHD6,RNF13,MAP1B,DKK1,MKX,REP15,KPNA4,C2orf70,L3MBTL3,SLC7A5,NCBP2,MBD6,SOX8,VPS8
GO:1990622	CHOP-ATF3 complex	0.000651636722498784	-7.3360233253984	2	2	0.0044543429844098	449	17570	467,1649	ATF3,DDIT3
GO:0005768	endosome	0.000922339724424105	-6.98859693760589	780	35	0.0779510022271715	449	17570	23086,81609,23621,10079,30849,26047,2047,23200,23317,23527,5584,23180,9711,1889,285195,51421,118429,10188,7879,4914,9743,857,91947,7784,84168,11342,22943,55435,387849,2534,6478,8829,9779,23355,1649	EXPH5,SNX27,BACE1,ATP9A,PIK3R4,CNTNAP2,EPHB1,ATP11B,DNAJC13,ACAP2,PRKCI,RFTN1,RUBCN,ECE1,SLC9A9,AMOTL2,ANTXR2,TNK2,RAB7A,NTRK1,ARHGAP32,CAV1,ARRDC4,ZP3,ANTXR1,RNF13,DKK1,AP1AR,REP15,FYN,SIAH2,NRP1,TBC1D5,VPS8,DDIT3
GO:0005622	intracellular	0.00113104261247341	-6.78461540574675	13688	376	0.837416481069042	449	17570	8448,6712,3339,1831,4194,9542,3606,5361,79094,6596,2992,57118,23175,5366,137994,79572,89978,8309,23228,4129,114818,8514,84859,7277,7378,4774,5577,4171,7462,1303,29,6498,146754,3097,7029,8829,9779,27128,51068,152002,4208,4026,833,1958,1962,6480,4291,4810,30849,256356,6507,7048,26038,1293,9276,11199,153769,2122,10019,387755,1123,6184,23657,50807,622,9678,157638,776,1608,6812,114793,285,27185,84343,10274,92369,11073,5095,84159,1974,5357,27031,91947,8087,84168,10150,50940,55435,1054,55785,27347,11222,5599,25914,55573,9658,80321,79977,9914,89927,4711,84940,152485,4753,440,23527,64789,79876,5144,80254,23089,79929,6820,11343,5984,902,1894,467,92370,23331,27230,114991,4144,3669,8660,54927,2534,27295,29927,55764,25937,28999,2887,9575,55689,730755,57129,59352,8975,51397,10160,23621,10079,5090,55892,9586,79668,2047,4976,9252,80723,51319,4154,9965,55186,80853,11235,23263,5742,23034,116931,10051,89795,51421,5096,217,55167,29968,56895,51163,10335,7784,8631,5140,9901,8464,2591,57761,80012,5352,28976,6259,339983,1822,138429,84665,170506,1649,384,23086,83943,349565,2736,84254,116496,56922,9197,51726,22982,785,84894,78991,55120,58477,51122,221895,1739,7220,256979,51435,25924,374378,1825,10188,1604,4139,83667,79364,80790,84056,287,56704,4914,9194,494470,283455,857,4919,55341,3364,199221,55083,10195,4482,23007,64215,4133,60678,23350,1803,165918,54464,5522,86,84706,7273,64411,5504,5922,122953,2119,26047,26227,84236,9668,6696,8706,3480,2624,5062,5584,8833,23180,545,5292,57552,2762,2571,5330,84186,8738,84033,83939,6857,55289,85476,131870,79915,55733,6478,54165,3099,84166,5799,483,1288,81609,91942,58504,57520,55171,4916,22808,57018,125228,51313,9656,22898,54843,79098,84002,23200,23317,152137,127018,55277,8543,54221,55486,9711,2272,1889,205564,55084,285195,118429,83989,63979,7879,26136,79669,6310,80005,89782,8607,3755,4616,57586,57221,54800,306,9175,152503,7095,6695,1287,10644,151242,26235,5523,84144,56945,6509,2644,8614,84969,166336,84632,57101,5106,1761,8893,2247,79718,3164,27032,55638,7328,9743,55628,79623,5291,84303,11342,4131,22943,283078,387849,3840,339778,84456,8140,22916,114785,30812,23355	DOC2A,SPTBN2,HSPG2,TSC22D3,MDM4,NRG2,IL18,PLXNA1,CHAC1,HLTF,GYG1,CAMK1D,LPIN1,PMAIP1,LETM2,ATP13A3,DPH6,ACOX2,PLCL2,MAOB,KLHL29,KCNAB2,LRCH3,TUBA4A,UPP1,NFIA,PRKAR2B,MCM2,LAT2,COL12A1,ABR,SKIL,DNAH2,HIVEP2,TFDP2,NRP1,TBC1D5,CYTH4,NMD3,XXYLT1,MEF2C,LPP,CARS,EGR1,EHHADH,ST6GAL1,MLF1,NHS,PIK3R4,GK5,SLC1A3,TGFBR2,CHD5,COL6A3,COPB2,ANXA10,SH3RF2,MECOM,SH2B3,INSC,CHN1,RPN1,SLC7A11,ASAP1,BDH1,PHF14,FAM84B,CACNA1D,DGKG,STXBP1,FMNL2,ANGPT2,DISC1,HPS3,STAG1,SPSB4,TOPBP1,PCCA,ARID5B,EIF4A2,PLS1,NPHP3,ARRDC4,FXR1,ANTXR1,MBNL2,PDE11A,AP1AR,CEBPG,FGD6,STK39,MRPL3,MAPK8,RTTN,CDV3,ZNF516,CEP70,GRHL2,ATP2C2,C16orf45,NDUFB5,CORO6,ZNF827,NELL2,ASNS,ACAP2,EXO5,UBA5,PDE4D,CEP63,PEG10,MAP6D1,SULT2B1,MGLL,RFC4,CCNH,ECT2,ATF3,PXYLP1,TTC28,SERP1,ZNF618,MAT2A,ISG20,IRS2,CHCHD3,FYN,PDLIM3,SEC61A1,IFT122,WWTR1,KLF15,GRB10,CLOCK,YEATS2,KRTAP2-3,MRPL47,LGR6,USP13,COMMD10,FARP1,BACE1,ATP9A,PBX3,MYNN,CREB5,PARP8,EPHB1,OPA1,RPS6KA5,SLC35G2,RSRC1,MBNL1,FGF19,SLC25A36,KDM7A,PDCD10,MCF2L,PTGS1,SAMD4A,MED12L,SMC4,NAV3,AMOTL2,PCCB,ALDH2,MSL2,PSAT1,AGPAT4,DBR1,MRVI1,ZP3,SKAP1,PDE3B,SRGAP3,SUPT3H,GALNT3,TRIB3,PHC3,PLOD2,ACAD9,RYK,NAT8L,ATN1,PIP5KL1,MYPN,DHX36,DDIT3,ARG2,EXPH5,IMMP2L,NMNAT3,GLI2,CAMKK1,FAM129A,MCCC1,SLC33A1,DNAJB11,DIP2C,CACNB4,LINGO1,PCYOX1L,FANCL,SRPRB,COMMD2,JAZF1,DLG1,TRPC1,SUN3,SCARA3,MYRIP,GALNT18,DSC3,TNK2,CD55,MARK1,SESN2,ZXDC,CMIP,KATNAL1,ANK2,JPH1,NTRK1,SLC16A7,RNF165,KSR2,CAV1,ROR1,LSG1,HUS1,DZIP1L,KIF26B,ALG3,MSRA,PLCH1,DNAJC1,MAP2,EEFSEC,U2SURP,DPP4,RNF168,XRN1,PPP2R2C,ACTL6A,GPT2,TTN,ARAP3,PPP1R2,RASA2,JDP2,ETV5,CNTNAP2,PHGDH,RHBDD1,ZNF432,SPP1,B3GALNT1,IGF1R,GATA2,PAK2,PRKCI,GMPS,RFTN1,ATR,PIM1,NCEH1,GMDS,GAD1,PLCB2,ZCCHC7,CRADD,OBSCN,EIF2A,SYT1,ACOXL,GFM1,NUDT16,ATAD5,HHAT,SIAH2,DCUN1D1,HK2,NLRC5,PTPRN2,ATP1B3,COL4A6,SNX27,NDUFAF2,ARHGAP22,HECW2,TBCCD1,NTRK3,MRAS,CCNL1,FAM210A,FAM198B,MDC1,DENND3,SYTL2,C1orf116,B3GNT5,ATP11B,DNAJC13,CCDC50,LYPLAL1,FGGY,LMO4,SNTG2,PARL,RUBCN,FHIT,ECE1,SENP5,SOBP,SLC9A9,ANTXR2,FAM172A,FIGNL1,RAB7A,TES,C3orf52,ATXN1,DOCK5,LMLN,RUVBL1,KCNG1,GADD45B,SYT13,ARFGEF3,KLHL24,ANXA3,MAP3K13,SH3D19,SEC62,SPOCK1,COL4A5,IGF2BP2,PPP1R1C,FBXL4,PPP2R3A,SYDE2,MRPS22,SLC1A4,GCHFR,STC2,TOX2,PRICKLE2,AFAP1L2,ANO2,PCK2,DMRT1,EIF2B5,FGF2,TBL1XR1,NR4A1,ATP2C1,SYBU,UBE2H,ARHGAP32,ZNF407,GALNT14,PIK3CB,CHCHD6,RNF13,MAP1B,DKK1,MKX,REP15,KPNA4,C2orf70,L3MBTL3,SLC7A5,NCBP2,MBD6,SOX8,VPS8
GO:0005791	rough endoplasmic reticulum	0.00144188318079681	-6.54180525533112	66	7	0.0155902004454343	449	17570	339983,6184,29927,23657,5352,4133,7095	NAT8L,RPN1,SEC61A1,SLC7A11,PLOD2,MAP2,SEC62
GO:0002116	semaphorin receptor complex	0.00234734909990891	-6.05446863013694	11	3	0.0066815144766147	449	17570	23129,5361,8829	PLXND1,PLXNA1,NRP1
