TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr3q29	human chr3q29	1.23858792088459e-26	-59.6532404606036	69	28	0.0412979351032448	678	26250	200933,220729,100507391,10188,255812,93109,5504,727956,4976,348840,55341,7037,6165,89782,84223,23527,5062,79572,622,1739,348793,22916,9711,165918,151963,205564,152002,84859	FBXO45,LOC220729,LOC100507391,TNK2,SDHAP1,TMEM44,PPP1R2,SDHAP2,OPA1,ANKRD18DP,LSG1,TFRC,RPL35A,LMLN,IQCG,ACAP2,PAK2,ATP13A3,BDH1,DLG1,WDR53,NCBP2,RUBCN,RNF168,MB21D2,SENP5,XXYLT1,LRCH3
human chr3q23	human chr3q23	1.34928865842678e-17	-38.8443690470033	32	16	0.023598820058997	678	26250	349565,100507291,5359,92369,256356,5357,92370,9276,55186,56945,23350,7220,545,54464,483,7029	NMNAT3,LOC100507291,PLSCR1,SPSB4,GK5,PLS1,PXYLP1,COPB2,SLC25A36,MRPS22,U2SURP,TRPC1,ATR,XRN1,ATP1B3,TFDP2
human chr3q21.3	human chr3q21.3	4.57100659142515e-15	-33.0190429535527	43	16	0.023598820058997	678	26250	90288,79364,7879,79825,5361,132241,84303,6184,29927,2624,60678,28976,645840,28999,11343,56941	EFCAB12,ZXDC,RAB7A,EFCC1,PLXNA1,RPL32P3,CHCHD6,RPN1,SEC61A1,GATA2,EEFSEC,ACAD9,TXNRD3NB,KLF15,MGLL,HMCES
human chr3q22.1	human chr3q22.1	2.68097057626187e-14	-31.2500124176347	33	14	0.0206489675516224	678	26250	339874,58477,152195,23317,131870,55573,11073,27032,79876,30849,23129,27031,5523,23023	LOC339874,SRPRB,NUDT16P1,DNAJC13,NUDT16,CDV3,TOPBP1,ATP2C1,UBA5,PIK3R4,PLXND1,NPHP3,PPP2R3A,TMCC1
human chr3q22.3	human chr3q22.3	8.61634808471461e-13	-27.7799448700802	16	10	0.0147492625368732	678	26250	55167,80321,10274,51163,22808,53833,80723,25852,5291,199221	MSL2,CEP70,STAG1,DBR1,MRAS,IL20RB,SLC35G2,ARMC8,PIK3CB,DZIP1L
human chr3q25.1	human chr3q25.1	2.15997497368693e-08	-17.6505841085795	28	9	0.0132743362831858	678	26250	51122,4291,51714,83939,5217,27230,11342,116931,389161	COMMD2,MLF1,SELT,EIF2A,PFN2,SERP1,RNF13,MED12L,ANKUB1
human chr3q27.1	human chr3q27.1	4.4133112984842e-08	-16.9360554749147	22	8	0.0117994100294985	678	26250	54800,10195,8893,23101,55486,79929,1181,55689	KLHL24,ALG3,EIF2B5,MCF2L2,PARL,MAP6D1,CLCN2,YEATS2
human chr3q25.31	human chr3q25.31	2.35030374046266e-07	-15.2635510798938	12	6	0.00884955752212389	678	26250	389170,6747,23007,57018,285315,9197	LEKR1,SSR3,PLCH1,CCNL1,C3orf33,SLC33A1
human chr3q26.2	human chr3q26.2	2.81847699509618e-06	-12.779313891567	17	6	0.00884955752212389	678	26250	55892,27333,80012,7095,56648,2122	MYNN,GOLIM4,PHC3,SEC62,EIF5A2,MECOM
human chr3q25	human chr3q25	5.01213764480183e-05	-9.90106296526446	9	4	0.00589970501474926	678	26250	85476,8706,4154,6478	GFM1,B3GALNT1,MBNL1,SIAH2
human chr3q28	human chr3q28	6.73333730764658e-05	-9.60585455898681	28	6	0.00884955752212389	678	26250	8087,152137,1974,2119,4026,84002	FXR1,CCDC50,EIF4A2,ETV5,LPP,B3GNT5
human chr4q21.21	human chr4q21.21	8.18267622978427e-05	-9.41090620040788	10	4	0.00589970501474926	678	26250	306,118429,80144,101928942	ANXA3,ANTXR2,FRAS1,LOC101928942
human chr3q27	human chr3q27	9.74849127024156e-05	-9.23581293344786	19	5	0.00737463126843658	678	26250	23200,5984,9175,10057,56922	ATP11B,RFC4,MAP3K13,ABCC5,MCCC1
human chr3q24	human chr3q24	9.74849127024156e-05	-9.23581293344786	19	5	0.00737463126843658	678	26250	285195,8833,84343,5352,205428	SLC9A9,GMPS,HPS3,PLOD2,C3orf58
human chr6q23.1	human chr6q23.1	0.000165013988483033	-8.70948030897215	5	3	0.00442477876106195	678	26250	1490,154075,114801	CTGF,SAMD3,TMEM200A
human chr3q27.3	human chr3q27.3	0.000479783685959992	-7.6421752098875	15	4	0.00589970501474926	678	26250	55171,51726,102724699,6480	TBCCD1,DNAJB11,LOC102724699,ST6GAL1
human chr3q26.33	human chr3q26.33	0.000479783685959992	-7.6421752098875	15	4	0.00589970501474926	678	26250	86,151613,57129,4711	ACTL6A,TTC14,MRPL47,NDUFB5
human chr3q21-q22	human chr3q21-q22	0.0006661565338612	-7.31398587921285	2	2	0.00294985250737463	678	26250	51421,5096	AMOTL2,PCCB
human chr3q21-q23	human chr3q21-q23	0.0006661565338612	-7.31398587921285	2	2	0.00294985250737463	678	26250	2047,11222	EPHB1,MRPL3
human chr3q27.2	human chr3q27.2	0.000871831035878721	-7.04491491902452	8	3	0.00442477876106195	678	26250	10644,90407,23355	IGF2BP2,TMEM41A,VPS8
human chr3q26.31	human chr3q26.31	0.00317045223440489	-5.75388104057247	12	3	0.00442477876106195	678	26250	64778,57552,254827	FNDC3B,NCEH1,NAALADL2
human chr3q26	human chr3q26	0.00386101145788439	-5.55682609410942	4	2	0.00294985250737463	678	26250	6498,5337	SKIL,PLD1
human chr3q26.3	human chr3q26.3	0.00386101145788439	-5.55682609410942	4	2	0.00294985250737463	678	26250	54165,5584	DCUN1D1,PRKCI
human chr7q31.1	human chr7q31.1	0.0040430242734007	-5.5107622845323	13	3	0.00442477876106195	678	26250	3475,857,858	IFRD1,CAV1,CAV2
human chr7p12.3	human chr7p12.3	0.00618969846715443	-5.08486890637127	15	3	0.00442477876106195	678	26250	256979,7378,3364	SUN3,UPP1,HUS1
human chr3q21	human chr3q21	0.00890288459876083	-4.72137994253674	17	3	0.00442477876106195	678	26250	4171,8607,55764	MCM2,RUVBL1,IFT122
