TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Bipolar disorder and schizophrenia(PMID:22688191)	Bipolar disorder and schizophrenia(PMID:22688191)	0.002766285167508	-5.89024995361774	5	3	0.0185185185185185	162	2389	51397,4482,84166	COMMD10,MSRA,NLRC5
Tonometry(PMID:17903302)	Tonometry(PMID:17903302)	0.00309848420697777	-5.77684225256469	10	4	0.0246913580246914	162	2389	285195,7048,60412,4208	SLC9A9,TGFBR2,EXOC4,MEF2C
Kawasaki disease(PMID:19132087)	Kawasaki disease(PMID:19132087)	0.00457183363446027	-5.38784092162496	2	2	0.0123456790123457	162	2389	463,254827	ZFHX3,NAALADL2
Attention deficit hyperactivity disorder(PMID:18839057)	Attention deficit hyperactivity disorder(PMID:18839057)	0.0199578887915157	-3.91413078566122	24	5	0.0308641975308642	162	2389	8464,9586,9914,7093,4131	SUPT3H,CREB5,ATP2C2,TLL2,MAP1B
Multiple sclerosis (severity)(PMID:19010793)	Multiple sclerosis (severity)(PMID:19010793)	0.0250406751663433	-3.68725376960163	4	2	0.0123456790123457	162	2389	389170,4233	LEKR1,MET
Diastolic blood pressure(PMID:21909115)	Diastolic blood pressure(PMID:21909115)	0.0337130241684765	-3.38987104244357	11	3	0.0185185185185185	162	2389	10019,64116,2122	SH2B3,SLC39A8,MECOM
Self-rated health(PMID:20707712)	Self-rated health(PMID:20707712)	0.0398902684991829	-3.22162288209768	5	2	0.0123456790123457	162	2389	3749,89795	KCNC4,NAV3
Diastolic blood pressure(PMID:19430479)	Diastolic blood pressure(PMID:19430479)	0.0398902684991829	-3.22162288209768	5	2	0.0123456790123457	162	2389	10019,54986	SH2B3,ULK4
Type 2 diabetes(PMID:21490949)	Type 2 diabetes(PMID:21490949)	0.0427640891158426	-3.15205656793439	12	3	0.0185185185185185	162	2389	80003,5357,390928	PCNXL2,PLS1,PAPL
Celiac disease(PMID:20190752)	Celiac disease(PMID:20190752)	0.0571006972504421	-2.86293895135371	22	4	0.0246913580246914	162	2389	55892,2113,4026,4774	MYNN,ETS1,LPP,NFIA
Alzheimer&#39;s disease(PMID:22005930)	Alzheimer&#39;s disease(PMID:22005930)	0.0572064889122328	-2.86108794450895	6	2	0.0123456790123457	162	2389	22982,143098	DIP2C,MPP7
Body mass index(PMID:19851299)	Body mass index(PMID:19851299)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	4026	LPP
Neuroticism(PMID:17667963)	Neuroticism(PMID:17667963)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	5144	PDE4D
Alzheimer&#39;s disease(PMID:19118814)	Alzheimer&#39;s disease(PMID:19118814)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	27185	DISC1
Osteoporosis(PMID:21573128)	Osteoporosis(PMID:21573128)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	348751	FTCDNL1
Atrial fibrillation(PMID:19597491)	Atrial fibrillation(PMID:19597491)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	463	ZFHX3
Schizophrenia(PMID:21679298)	Schizophrenia(PMID:21679298)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	4482	MSRA
Osteoarthritis(PMID:21871595)	Osteoarthritis(PMID:21871595)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	23263	MCF2L
Asthma(PMID:19426955)	Asthma(PMID:19426955)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	5144	PDE4D
Gaucher disease severity(PMID:22388998)	Gaucher disease severity(PMID:22388998)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	4916	NTRK3
Blood pressure(PMID:19114657)	Blood pressure(PMID:19114657)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	27347	STK39
Mammographic density(PMID:21278746)	Mammographic density(PMID:21278746)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	22891	ZNF365
Response to tamoxifen in breast cancer(PMID:22180457)	Response to tamoxifen in breast cancer(PMID:22180457)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	83938	C10orf11
Neuranatomic and neurocognitive phenotypes(PMID:21483430)	Neuranatomic and neurocognitive phenotypes(PMID:21483430)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	27185	DISC1
White blood cell count(PMID:21738479)	White blood cell count(PMID:21738479)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	1021	CDK6
Height(PMID:18952825)	Height(PMID:18952825)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	221895	JAZF1
Bone mineral density(PMID:19874204)	Bone mineral density(PMID:19874204)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	50615	IL21R
Hearing impairment(PMID:20068591)	Hearing impairment(PMID:20068591)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	5796	PTPRK
Alzheimer&#39;s disease(PMID:18976728)	Alzheimer&#39;s disease(PMID:18976728)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	945	CD33
Glioblastoma(PMID:22472174)	Glioblastoma(PMID:22472174)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	23635	SSBP2
Sleep duration(PMID:17903308)	Sleep duration(PMID:17903308)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	25924	MYRIP
Testicular cancer(PMID:21551455)	Testicular cancer(PMID:21551455)	0.0678107994974494	-2.69103381209709	1	1	0.00617283950617284	162	2389	1761	DMRT1
QT interval(PMID:20031603)	QT interval(PMID:20031603)	0.0765907732487719	-2.5692786631621	7	2	0.0123456790123457	162	2389	7273,93109	TTN,TMEM44
Atrial fibrillation(PMID:22544366)	Atrial fibrillation(PMID:22544366)	0.0765907732487719	-2.5692786631621	7	2	0.0123456790123457	162	2389	857,463	CAV1,ZFHX3
Systolic blood pressure(PMID:19430479)	Systolic blood pressure(PMID:19430479)	0.0765907732487719	-2.5692786631621	7	2	0.0123456790123457	162	2389	10019,2122	SH2B3,MECOM
Cognitive performance(PMID:19734545)	Cognitive performance(PMID:19734545)	0.0844751663735121	-2.47129767688373	25	4	0.0246913580246914	162	2389	83943,1962,23236,348487	IMMP2L,EHHADH,PLCB1,FAM131C
Cognitive test performance(PMID:20125193)	Cognitive test performance(PMID:20125193)	0.0893375940942052	-2.41533289319238	16	3	0.0185185185185185	162	2389	84632,23236,257068	AFAP1L2,PLCB1,PLCXD2
Non-alcoholic fatty liver disease histology (lobular)(PMID:20708005)	Non-alcoholic fatty liver disease histology (lobular)(PMID:20708005)	0.0976867121358348	-2.32598973598117	8	2	0.0123456790123457	162	2389	285195,10160	SLC9A9,FARP1
White blood cell types(PMID:21738478)	White blood cell types(PMID:21738478)	0.0976867121358348	-2.32598973598117	8	2	0.0123456790123457	162	2389	1021,55289	CDK6,ACOXL
Type 2 diabetes(PMID:18372903)	Type 2 diabetes(PMID:18372903)	0.0976867121358348	-2.32598973598117	8	2	0.0123456790123457	162	2389	10644,221895	IGF2BP2,JAZF1
Amyotrophic lateral sclerosis(PMID:19451621)	Amyotrophic lateral sclerosis(PMID:19451621)	0.0976867121358348	-2.32598973598117	8	2	0.0123456790123457	162	2389	6310,27185	ATXN1,DISC1
Total ventricular volume(PMID:21116278)	Total ventricular volume(PMID:21116278)	0.12017622087395	-2.11879610611954	9	2	0.0123456790123457	162	2389	10160,5062	FARP1,PAK2
Coronary heart disease(PMID:21971053)	Coronary heart disease(PMID:21971053)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	217	ALDH2
Systemic lupus erythematosus(PMID:20169177)	Systemic lupus erythematosus(PMID:20169177)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	2113	ETS1
Alcoholism (alcohol dependence factor score)(PMID:21529783)	Alcoholism (alcohol dependence factor score)(PMID:21529783)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	10150	MBNL2
Gambling(PMID:22780124)	Gambling(PMID:22780124)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	6310	ATXN1
Coronary heart disease(PMID:19198612)	Coronary heart disease(PMID:19198612)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	22808	MRAS
Breast cancer(PMID:21908515)	Breast cancer(PMID:21908515)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	22891	ZNF365
Caudate nucleus volume(PMID:21502949)	Caudate nucleus volume(PMID:21502949)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	2762	GMDS
Ovarian cancer(PMID:20852632)	Ovarian cancer(PMID:20852632)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	8631	SKAP1
Non-small cell lung cancer(PMID:20876614)	Non-small cell lung cancer(PMID:20876614)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	152002	XXYLT1
Type 2 diabetes(PMID:21573907)	Type 2 diabetes(PMID:21573907)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	10644	IGF2BP2
Optic disc size (disc)(PMID:20395239)	Optic disc size (disc)(PMID:20395239)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	84665	MYPN
Response to irinotecan in non-small-cell lung cancer(PMID:22664479)	Response to irinotecan in non-small-cell lung cancer(PMID:22664479)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	23236	PLCB1
Sleepiness(PMID:17903308)	Sleepiness(PMID:17903308)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	5144	PDE4D
Interleukin-18 levels(PMID:20150558)	Interleukin-18 levels(PMID:20150558)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	3606	IL18
Epirubicin-induced leukopenia(PMID:21799462)	Epirubicin-induced leukopenia(PMID:21799462)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	80216	ALPK1
Drinking behavior(PMID:21372407)	Drinking behavior(PMID:21372407)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	217	ALDH2
Personality dimensions(PMID:18957941)	Personality dimensions(PMID:18957941)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	9575	CLOCK
Esophageal cancer(PMID:19698717)	Esophageal cancer(PMID:19698717)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	217	ALDH2
Colorectal cancer(PMID:20972440)	Colorectal cancer(PMID:20972440)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	55892	MYNN
Femoral neck bone geometry(PMID:22087292)	Femoral neck bone geometry(PMID:22087292)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	3099	HK2
Myopia (pathological)(PMID:22685421)	Myopia (pathological)(PMID:22685421)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	79668	PARP8
Diabetes (gestational)(PMID:22233651)	Diabetes (gestational)(PMID:22233651)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	10644	IGF2BP2
Stroke(PMID:17434096)	Stroke(PMID:17434096)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	202	AIM1
Prostate cancer(PMID:19767754)	Prostate cancer(PMID:19767754)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	60678	EEFSEC
Obesity(PMID:22484627)	Obesity(PMID:22484627)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	80216	ALPK1
Atrial fibrillation(PMID:19597492)	Atrial fibrillation(PMID:19597492)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	463	ZFHX3
Schizophrenia(PMID:18677311)	Schizophrenia(PMID:18677311)	0.131049765358525	-2.03217813968724	2	1	0.00617283950617284	162	2389	91752	ZNF804A
Rheumatoid arthritis(PMID:22446963)	Rheumatoid arthritis(PMID:22446963)	0.143776030989375	-1.93949853055513	10	2	0.0123456790123457	162	2389	306,84159	ANXA3,ARID5B
Immune reponse to smallpox (secreted IFN-alpha)(PMID:22610502)	Immune reponse to smallpox (secreted IFN-alpha)(PMID:22610502)	0.149726707574037	-1.89894359616105	20	3	0.0185185185185185	162	2389	152485,22982,4026	ZNF827,DIP2C,LPP
Blood pressure(PMID:21909110)	Blood pressure(PMID:21909110)	0.149726707574037	-1.89894359616105	20	3	0.0185185185185185	162	2389	64116,54986,2122	SLC39A8,ULK4,MECOM
Adiponectin levels(PMID:22479202)	Adiponectin levels(PMID:22479202)	0.168234476950115	-1.78239657652578	11	2	0.0123456790123457	162	2389	5140,80790	PDE3B,CMIP
Longevity(PMID:20834067)	Longevity(PMID:20834067)	0.183746351267282	-1.69419899813515	22	3	0.0185185185185185	162	2389	833,9658,25771	CARS,ZNF516,TBC1D22A
Coronary heart disease(PMID:21347282)	Coronary heart disease(PMID:21347282)	0.183746351267282	-1.69419899813515	22	3	0.0185185185185185	162	2389	463,114818,84166	ZFHX3,KLHL29,NLRC5
Bipolar disorder and schizophrenia(PMID:21057379)	Bipolar disorder and schizophrenia(PMID:21057379)	0.190023346428486	-1.66060833843088	3	1	0.00617283950617284	162	2389	5799	PTPRN2
Gamma glutamyl transpeptidase(PMID:21909109)	Gamma glutamyl transpeptidase(PMID:21909109)	0.190023346428486	-1.66060833843088	3	1	0.00617283950617284	162	2389	152485	ZNF827
Hippocampal volume(PMID:22504421)	Hippocampal volume(PMID:22504421)	0.190023346428486	-1.66060833843088	3	1	0.00617283950617284	162	2389	1803	DPP4
Triglycerides(PMID:22171074)	Triglycerides(PMID:22171074)	0.190023346428486	-1.66060833843088	3	1	0.00617283950617284	162	2389	217	ALDH2
