TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
rhoa_reg_pathway	Regulation of RhoA activity	0.00274911815484773	-5.89647508969405	46	8	0.0661157024793388	121	2227	10160,64411,23263,1894,57522,4983,84033,29	FARP1,ARAP3,MCF2L,ECT2,SRGAP1,OPHN1,OBSCN,ABR
myc_pathway	C-MYC pathway	0.0283275175399708	-3.56392159552447	22	4	0.0330578512396694	121	2227	8464,8607,86,5062	SUPT3H,RUVBL1,ACTL6A,PAK2
myc_activpathway	Validated targets of C-MYC transcriptional activation	0.0289987510194449	-3.54050251821813	81	9	0.0743801652892562	121	2227	8464,11235,8607,91942,5366,5292,23089,86,7037	SUPT3H,PDCD10,RUVBL1,NDUFAF2,PMAIP1,PIM1,PEG10,ACTL6A,TFRC
circadianpathway	Circadian rhythm pathway	0.0366879404068815	-3.30530717718972	14	3	0.0247933884297521	121	2227	545,9575,406	ATR,CLOCK,ARNTL
glypican_1pathway	Glypican 1 network	0.0490197875346209	-3.01553123515062	26	4	0.0330578512396694	121	2227	2534,7422,2247,7048	FYN,VEGFA,FGF2,TGFBR2
nephrin_neph1_pathway	Nephrin/Neph1 signaling in the kidney podocyte	0.0490197875346209	-3.01553123515062	26	4	0.0330578512396694	121	2227	5599,2534,4868,5291	MAPK8,FYN,NPHS1,PIK3CB
trkrpathway	Neurotrophic factor-mediated Trk receptor signaling	0.0799859736076401	-2.52590398958484	56	6	0.0495867768595041	121	2227	4916,627,23263,9500,4914,5584	NTRK3,BDNF,MCF2L,MAGED1,NTRK1,PRKCI
botulinumtoxinpathway	Effects of Botulinum toxin	0.082057435589328	-2.50033584289111	9	2	0.0165289256198347	121	2227	6857,6812	SYT1,STXBP1
alphasynuclein_pathway	Alpha-synuclein signaling	0.092099545598374	-2.38488526951835	32	4	0.0330578512396694	121	2227	5337,2534,5330,4129	PLD1,FYN,PLCB2,MAOB
avb3_integrin_pathway	Integrins in angiogenesis	0.100915419847153	-2.29347254023487	46	5	0.0413223140495868	121	2227	6696,3480,7422,2247,7048	SPP1,IGF1R,VEGFA,FGF2,TGFBR2
arf6_pathway	Arf6 signaling events	0.109464954494472	-2.2121508312314	34	4	0.0330578512396694	121	2227	51454,23527,4233,9922	GULP1,ACAP2,MET,IQSEC1
anthraxpathway	Cellular roles of Anthrax toxin	0.113583582831125	-2.17521630047037	22	3	0.0247933884297521	121	2227	118429,3606,84168	ANTXR2,IL18,ANTXR1
nfat_tfpathway	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	0.115869464071536	-2.1552910312403	48	5	0.0413223140495868	121	2227	2625,1960,1958,55509,5796	GATA3,EGR3,EGR1,BATF3,PTPRK
angiopoietinreceptor_pathway	Angiopoietin receptor Tie2-mediated signaling	0.115869464071536	-2.1552910312403	48	5	0.0413223140495868	121	2227	5599,2534,2247,2113,285	MAPK8,FYN,FGF2,ETS1,ANGPT2
vegfr1_2_pathway	Signaling events mediated by VEGFR1 and VEGFR2	0.123683957353467	-2.09002569794188	63	6	0.0495867768595041	121	2227	2887,2534,857,8829,7422,9175	GRB10,FYN,CAV1,NRP1,VEGFA,MAP3K13
tcptp_pathway	Signaling events mediated by TCPTP	0.128185200562692	-2.05427918138792	36	4	0.0330578512396694	121	2227	545,4233,7422,5291	ATR,MET,VEGFA,PIK3CB
ar_tf_pathway	Regulation of Androgen receptor activity	0.13182179704703	-2.02630429086795	50	5	0.0413223140495868	121	2227	5599,5585,1958,2624,7182	MAPK8,PKN1,EGR1,GATA2,NR2C2
tgfbrpathway	TGF-beta receptor signaling	0.140154441749865	-1.9650103090454	51	5	0.0413223140495868	121	2227	6498,83939,857,1490,7048	SKIL,EIF2A,CAV1,CTGF,TGFBR2
ephrinarevpathway	Ephrin A  reverse signaling	0.154369165985245	-1.8684083635027	3	1	0.00826446280991736	121	2227	2534	FYN
pi3kcibpathway	Class IB PI3K non-lipid kinase events	0.154369165985245	-1.8684083635027	3	1	0.00826446280991736	121	2227	5140	PDE3B
er_nongenomic_pathway	Plasma membrane estrogen receptor signaling	0.164515654659326	-1.80474954820233	26	3	0.0247933884297521	121	2227	3480,23236,5330	IGF1R,PLCB1,PLCB2
ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction	0.169233364224006	-1.77647666316389	40	4	0.0330578512396694	121	2227	3480,4233,60412,4026	IGF1R,MET,EXOC4,LPP
ephrinbrevpathway	Ephrin B reverse signaling	0.178178642574972	-1.72496862199809	27	3	0.0247933884297521	121	2227	5599,2534,2047	MAPK8,FYN,EPHB1
igf1_pathway	IGF1 pathway	0.19214320989679	-1.64951430010912	28	3	0.0247933884297521	121	2227	8660,2887,3480	IRS2,GRB10,IGF1R
il12_stat4pathway	IL12 signaling mediated by STAT4	0.19214320989679	-1.64951430010912	28	3	0.0247933884297521	121	2227	5599,3606,2119	MAPK8,IL18,ETV5
insulin_pathway	Insulin Pathway	0.202679449423529	-1.59612961485962	43	4	0.0330578512396694	121	2227	2887,857,60412,5584	GRB10,CAV1,EXOC4,PRKCI
reelinpathway	Reelin signaling pathway	0.206374983232732	-1.57806045798845	29	3	0.0247933884297521	121	2227	5599,2534,4131	MAPK8,FYN,MAP1B
vegfr1_pathway	VEGFR1 specific signals	0.206374983232732	-1.57806045798845	29	3	0.0247933884297521	121	2227	857,8829,7422	CAV1,NRP1,VEGFA
bard1pathway	BARD1 signaling events	0.206374983232732	-1.57806045798845	29	3	0.0247933884297521	121	2227	55120,545,11073	FANCL,ATR,TOPBP1
mapktrkpathway	Trk receptor signaling mediated by the MAPK pathway	0.206374983232732	-1.57806045798845	29	3	0.0247933884297521	121	2227	1958,9252,4208	EGR1,RPS6KA5,MEF2C
p75ntrpathway	p75(NTR)-mediated signaling	0.23448325941575	-1.45037108206305	61	5	0.0413223140495868	121	2227	5599,627,4316,9500,5584	MAPK8,BDNF,MMP7,MAGED1,PRKCI
syndecan_1_pathway	Syndecan-1-mediated signaling events	0.235099928396618	-1.4477446280018	17	2	0.0165289256198347	121	2227	4316,4233	MMP7,MET
cmyb_pathway	C-MYB transcription factor network	0.2470101876559	-1.39832569763429	78	6	0.0495867768595041	121	2227	2625,5292,2113,1021,4144,4602	GATA3,PIM1,ETS1,CDK6,MAT2A,MYB
epopathway	EPO signaling pathway	0.26531522654769	-1.32683662578886	33	3	0.0247933884297521	121	2227	8660,5599,10019	IRS2,MAPK8,SH2B3
syndecan_2_pathway	Syndecan-2-mediated signaling events	0.26531522654769	-1.32683662578886	33	3	0.0247933884297521	121	2227	5599,858,3673	MAPK8,CAV2,ITGA2
hif1_tfpathway	HIF-1-alpha transcription factor network	0.276448450567787	-1.28573091096056	65	5	0.0413223140495868	121	2227	7422,2113,2624,7037,3099	VEGFA,ETS1,GATA2,TFRC,HK2
ephrinb_ephbpathway	EphrinB-EPHB pathway	0.28507489682194	-1.25500333737182	6	1	0.00826446280991736	121	2227	2047	EPHB1
erbb2erbb3pathway	ErbB2/ErbB3 signaling events	0.295560175723827	-1.21888282251651	35	3	0.0247933884297521	121	2227	5599,9542,5291	MAPK8,NRG2,PIK3CB
