TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP481	Insulin Signaling	0.000472539120054158	-7.65739002069228	163	26	0.0726256983240224	358	4455	5599,5563,10580,2889,1958,2888,9175,9448,30849,2992,9252,115703,5291,2309,6009,8660,57761,6196,3480,53358,1978,30846,8773,5584,2887,6812	MAPK8,PRKAA2,SORBS1,RAPGEF1,EGR1,GRB14,MAP3K13,MAP4K4,PIK3R4,GYG1,RPS6KA5,ARHGAP33,PIK3CB,FOXO3,RHEB,IRS2,TRIB3,RPS6KA2,IGF1R,SHC3,EIF4EBP1,EHD2,SNAP23,PRKCI,GRB10,STXBP1
WP382	MAPK signaling pathway	0.00241983250166463	-6.02405695539712	163	24	0.0670391061452514	358	4455	5599,5530,627,468,9175,3164,5922,9448,4914,1950,51295,51701,22808,7042,7048,1847,6788,10000,4609,5062,409,51776,1649,4208	MAPK8,PPP3CA,BDNF,ATF4,MAP3K13,NR4A1,RASA2,MAP4K4,NTRK1,EGF,ECSIT,NLK,MRAS,TGFB2,TGFBR2,DUSP5,STK3,AKT3,MYC,PAK2,ARRB2,ZAK,DDIT3,MEF2C
WP170	Nuclear Receptors	0.00252967406062885	-5.97966481433295	38	9	0.0251396648044693	358	4455	7068,5467,9975,3164,5465,4919,2100,3172,7182	THRB,PPARD,NR1D2,NR4A1,PPARA,ROR1,ESR2,HNF4A,NR2C2
WP306	Focal Adhesion	0.00291990571062675	-5.83620395410456	184	26	0.0726256983240224	358	4455	5599,10188,2889,3684,1950,7148,30849,10319,857,5291,329,3914,6696,2534,55359,3480,53358,10000,7060,3673,4638,5062,3687,4233,1288,858	MAPK8,TNK2,RAPGEF1,ITGAM,EGF,TNXB,PIK3R4,LAMC3,CAV1,PIK3CB,BIRC2,LAMB3,SPP1,FYN,STYK1,IGF1R,SHC3,AKT3,THBS4,ITGA2,MYLK,PAK2,ITGAX,MET,COL4A6,CAV2
WP516	Hypertrophy Model	0.00379179628752886	-5.57491541767565	20	6	0.0167597765363128	358	4455	467,3475,3606,7422,3491,1978	ATF3,IFRD1,IL18,VEGFA,CYR61,EIF4EBP1
WP2380	BDNF signaling pathway	0.0049817782442627	-5.30196837452127	144	21	0.058659217877095	358	4455	5563,5599,627,1958,4914,4916,1795,9252,10048,2309,140885,84894,8660,6696,8894,2534,53358,1978,1739,2185,4208	PRKAA2,MAPK8,BDNF,EGR1,NTRK1,NTRK3,DOCK3,RPS6KA5,RANBP9,FOXO3,SIRPA,LINGO1,IRS2,SPP1,EIF2S2,FYN,SHC3,EIF4EBP1,DLG1,PTK2B,MEF2C
WP2291	Deregulation of Rab and Rab Effector Genes in Bladder Cancer	0.00677305105736995	-4.99480362040927	16	5	0.0139664804469274	358	4455	23086,25924,94120,54843,5873	EXPH5,MYRIP,SYTL3,SYTL2,RAB27A
WP366	TGF-beta Receptor Signaling Pathway	0.00861971592897087	-4.75370314972533	151	21	0.058659217877095	358	4455	5599,57559,5520,467,857,7042,2113,7048,2309,9372,6498,94,4609,2354,9063,7029,409,3172,1021,56288,4208	MAPK8,STAMBPL1,PPP2R2A,ATF3,CAV1,TGFB2,ETS1,TGFBR2,FOXO3,ZFYVE9,SKIL,ACVRL1,MYC,FOSB,PIAS2,TFDP2,ARRB2,HNF4A,CDK6,PARD3,MEF2C
WP236	Adipogenesis	0.0162624129236804	-4.11889878958181	131	18	0.0502793296089385	358	4455	5465,6695,2625,4209,4154,23175,8660,57761,5467,2624,25937,4616,1869,28999,652,5106,1649,4208	PPARA,SPOCK1,GATA3,MEF2D,MBNL1,LPIN1,IRS2,TRIB3,PPARD,GATA2,WWTR1,GADD45B,E2F1,KLF15,BMP4,PCK2,DDIT3,MEF2C
WP53	Id Signaling Pathway	0.021063181177565	-3.86022873061791	52	9	0.0251396648044693	358	4455	3480,94,7015,5076,1950,467,7422,654,6934	IGF1R,ACVRL1,TERT,PAX2,EGF,ATF3,VEGFA,BMP6,TCF7L2
