TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0098590	plasma membrane region	5.9812258450444e-05	-9.72429992720533	906	8	0.285714285714286	28	17570	23043,30061,23025,64084,960,3691,10611,4907	TNIK,SLC40A1,UNC13A,CLSTN2,CD44,ITGB4,PDLIM5,NT5E
GO:0005886	plasma membrane	0.000217831639450533	-8.43178808964792	4806	17	0.607142857142857	28	17570	1948,23043,30061,29091,64084,7431,54894,58480,817,23025,114788,81796,3691,960,10611,4325,4907	EFNB2,TNIK,SLC40A1,STXBP6,CLSTN2,VIM,RNF43,RHOU,CAMK2D,UNC13A,CSMD3,SLCO5A1,ITGB4,CD44,PDLIM5,MMP16,NT5E
GO:0098589	membrane region	0.000227285320930828	-8.3893044093459	1097	8	0.285714285714286	28	17570	23043,30061,23025,64084,960,3691,10611,4907	TNIK,SLC40A1,UNC13A,CLSTN2,CD44,ITGB4,PDLIM5,NT5E
GO:0044459	plasma membrane part	0.000283989800374203	-8.16657223462334	2566	12	0.428571428571429	28	17570	1948,23043,30061,23025,64084,81796,54894,3691,960,10611,4325,4907	EFNB2,TNIK,SLC40A1,UNC13A,CLSTN2,SLCO5A1,RNF43,ITGB4,CD44,PDLIM5,MMP16,NT5E
GO:0071944	cell periphery	0.000286688164215171	-8.15711546874828	4907	17	0.607142857142857	28	17570	1948,30061,23043,29091,64084,7431,54894,58480,817,23025,81796,114788,3691,960,10611,4325,4907	EFNB2,SLC40A1,TNIK,STXBP6,CLSTN2,VIM,RNF43,RHOU,CAMK2D,UNC13A,SLCO5A1,CSMD3,ITGB4,CD44,PDLIM5,MMP16,NT5E
GO:0030055	cell-substrate junction	0.000376166643955639	-7.8854783107497	399	5	0.178571428571429	28	17570	1948,58480,7431,3691,960	EFNB2,RHOU,VIM,ITGB4,CD44
GO:0097060	synaptic membrane	0.000654864165129615	-7.33108272531704	253	4	0.142857142857143	28	17570	64084,10611,23025,4907	CLSTN2,PDLIM5,UNC13A,NT5E
GO:0044456	synapse part	0.00140131733562468	-6.57034253076302	534	5	0.178571428571429	28	17570	64084,30061,10611,23025,4907	CLSTN2,SLC40A1,PDLIM5,UNC13A,NT5E
GO:0030054	cell junction	0.00174389639305089	-6.35163336291436	1147	7	0.25	28	17570	1948,58480,7431,3691,960,10611,23025	EFNB2,RHOU,VIM,ITGB4,CD44,PDLIM5,UNC13A
GO:0005578	proteinaceous extracellular matrix	0.00233337420124971	-6.06043990392701	357	4	0.142857142857143	28	17570	3910,51384,3691,4325	LAMA4,WNT16,ITGB4,MMP16
GO:0098805	whole membrane	0.00235571528707144	-6.05091086639022	1942	9	0.321428571428571	28	17570	23043,30061,817,23025,64084,3691,960,10611,4907	TNIK,SLC40A1,CAMK2D,UNC13A,CLSTN2,ITGB4,CD44,PDLIM5,NT5E
GO:0035692	macrophage migration inhibitory factor receptor complex	0.00318480191587633	-5.74936518470954	2	1	0.0357142857142857	28	17570	960	CD44
GO:0005925	focal adhesion	0.00321016074931214	-5.74143426542672	390	4	0.142857142857143	28	17570	1948,58480,7431,960	EFNB2,RHOU,VIM,CD44
GO:0005924	cell-substrate adherens junction	0.00336022697844082	-5.69574675418125	395	4	0.142857142857143	28	17570	1948,58480,7431,960	EFNB2,RHOU,VIM,CD44
GO:0045202	synapse	0.00398643367622156	-5.52485826325493	679	5	0.178571428571429	28	17570	64084,30061,10611,23025,4907	CLSTN2,SLC40A1,PDLIM5,UNC13A,NT5E
GO:0031012	extracellular matrix	0.00425442045189683	-5.45979673025295	422	4	0.142857142857143	28	17570	3910,51384,3691,4325	LAMA4,WNT16,ITGB4,MMP16
GO:0016323	basolateral plasma membrane	0.00430720668037573	-5.44746568697636	208	3	0.107142857142857	28	17570	30061,3691,960	SLC40A1,ITGB4,CD44
GO:0009986	cell surface	0.00508266722877033	-5.28191911014613	719	5	0.178571428571429	28	17570	64084,3691,960,4325,4907	CLSTN2,ITGB4,CD44,MMP16,NT5E
GO:0005912	adherens junction	0.00626715183609363	-5.07243328015793	471	4	0.142857142857143	28	17570	1948,58480,7431,960	EFNB2,RHOU,VIM,CD44
GO:0070161	anchoring junction	0.00724521953367614	-4.927413402264	491	4	0.142857142857143	28	17570	1948,58480,7431,960	EFNB2,RHOU,VIM,CD44
GO:0005604	basement membrane	0.00977891008575539	-4.62752724431996	94	2	0.0714285714285714	28	17570	3910,3691	LAMA4,ITGB4
GO:0097458	neuron part	0.0101641217750383	-4.58889123258081	1197	6	0.214285714285714	28	17570	64084,7431,30061,10611,10846,23025	CLSTN2,VIM,SLC40A1,PDLIM5,PDE10A,UNC13A
GO:0030056	hemidesmosome	0.0111040744831135	-4.50044316746699	7	1	0.0357142857142857	28	17570	3691	ITGB4
GO:0005887	integral component of plasma membrane	0.012503007836563	-4.38178603669486	1640	7	0.25	28	17570	81796,1948,54894,30061,3691,960,4325	SLCO5A1,EFNB2,RNF43,SLC40A1,ITGB4,CD44,MMP16
GO:0030018	Z disc	0.0127507114779447	-4.36216820674285	108	2	0.0714285714285714	28	17570	10529,10611	NEBL,PDLIM5
