TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Burkitt_lymphoma	Burkitt_lymphoma	1.5542151683199e-05	-11.0719547616573	2204	13	0.448275862068966	29	17775	1948,3910,30061,5468,10846,29091,10010,64084,114788,3691,10611,4325,7025	EFNB2,LAMA4,SLC40A1,PPARG,PDE10A,STXBP6,TANK,CLSTN2,CSMD3,ITGB4,PDLIM5,MMP16,NR2F1
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	1.5542151683199e-05	-11.0719547616573	2204	13	0.448275862068966	29	17775	1948,3910,30061,5468,10846,29091,10010,64084,114788,3691,10611,4325,7025	EFNB2,LAMA4,SLC40A1,PPARG,PDE10A,STXBP6,TANK,CLSTN2,CSMD3,ITGB4,PDLIM5,MMP16,NR2F1
follicular_lymphoma	follicular_lymphoma	0.000126761323692802	-8.97320458068423	1269	9	0.310344827586207	29	17775	23043,10846,400793,114788,54894,960,3691,10611,4325	TNIK,PDE10A,C1orf226,CSMD3,RNF43,CD44,ITGB4,PDLIM5,MMP16
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	0.000265273309685531	-8.2347499061577	7542	22	0.758620689655172	29	17775	1948,3910,23043,5468,29091,57822,64084,54894,58480,817,10529,10846,23025,10010,114788,81796,960,3691,10611,4325,5570,4907	EFNB2,LAMA4,TNIK,PPARG,STXBP6,GRHL3,CLSTN2,RNF43,RHOU,CAMK2D,NEBL,PDE10A,UNC13A,TANK,CSMD3,SLCO5A1,CD44,ITGB4,PDLIM5,MMP16,PKIB,NT5E
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.000283723241273708	-8.16751129749676	3776	15	0.517241379310345	29	17775	1948,3910,23043,817,10529,5468,29091,23025,10010,64084,81796,114788,10611,4325,5570	EFNB2,LAMA4,TNIK,CAMK2D,NEBL,PPARG,STXBP6,UNC13A,TANK,CLSTN2,SLCO5A1,CSMD3,PDLIM5,MMP16,PKIB
cervix-carcinoma-squamous_cell_carcinoma	cervix-carcinoma-squamous_cell_carcinoma	0.000374119567887193	-7.89093511140984	12377	28	0.96551724137931	29	17775	1948,3910,23043,30061,5468,57822,400793,64084,54894,7431,7546,7025,58480,817,10529,10846,23025,10010,81796,114788,51384,960,7026,3691,10611,4325,5570,4907	EFNB2,LAMA4,TNIK,SLC40A1,PPARG,GRHL3,C1orf226,CLSTN2,RNF43,VIM,ZIC2,NR2F1,RHOU,CAMK2D,NEBL,PDE10A,UNC13A,TANK,SLCO5A1,CSMD3,WNT16,CD44,NR2F2,ITGB4,PDLIM5,MMP16,PKIB,NT5E
cervix	cervix	0.000377273179530594	-7.88254101878283	12381	28	0.96551724137931	29	17775	1948,3910,23043,30061,5468,57822,400793,64084,54894,7431,7546,7025,58480,817,10529,10846,23025,10010,81796,114788,51384,960,7026,3691,10611,4325,5570,4907	EFNB2,LAMA4,TNIK,SLC40A1,PPARG,GRHL3,C1orf226,CLSTN2,RNF43,VIM,ZIC2,NR2F1,RHOU,CAMK2D,NEBL,PDE10A,UNC13A,TANK,SLCO5A1,CSMD3,WNT16,CD44,NR2F2,ITGB4,PDLIM5,MMP16,PKIB,NT5E
central_nervous_system-thalamus-glioma-oligoastrocytoma_Grade_III	central_nervous_system-thalamus-glioma-oligoastrocytoma_Grade_III	0.000581807124870856	-7.44937156572368	22	2	0.0689655172413793	29	17775	10846,57822	PDE10A,GRHL3
oesophagus-carcinoma-adenocarcinoma	oesophagus-carcinoma-adenocarcinoma	0.000612645302423044	-7.39772441523382	13776	29	1	29	17775	1948,3910,23043,30061,5468,29091,57822,400793,64084,54894,7431,7546,7025,58480,817,10529,10846,23025,10010,81796,114788,51384,960,7026,3691,10611,4325,5570,4907	EFNB2,LAMA4,TNIK,SLC40A1,PPARG,STXBP6,GRHL3,C1orf226,CLSTN2,RNF43,VIM,ZIC2,NR2F1,RHOU,CAMK2D,NEBL,PDE10A,UNC13A,TANK,SLCO5A1,CSMD3,WNT16,CD44,NR2F2,ITGB4,PDLIM5,MMP16,PKIB,NT5E
ovary-carcinoma-clear_cell_carcinoma	ovary-carcinoma-clear_cell_carcinoma	0.00072342204999616	-7.23151775785447	687	6	0.206896551724138	29	17775	114788,54894,23043,817,7026,10010	CSMD3,RNF43,TNIK,CAMK2D,NR2F2,TANK
