TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0009888	tissue development	1.07193757094446e-07	-16.0486278260648	1601	16	0.432432432432432	37	16441	1948,30061,2254,4487,5468,57822,7431,7546,817,4488,10529,51384,7026,960,3691,10611	EFNB2,SLC40A1,FGF9,MSX1,PPARG,GRHL3,VIM,ZIC2,CAMK2D,MSX2,NEBL,WNT16,NR2F2,CD44,ITGB4,PDLIM5
GO:0048513	organ development	2.62395422684105e-07	-15.1534132240679	2766	20	0.540540540540541	37	16441	1948,2254,30061,4487,5468,57822,7431,7546,7025,4488,817,10529,51384,3691,7026,960,10611,5631,4325,4907	EFNB2,FGF9,SLC40A1,MSX1,PPARG,GRHL3,VIM,ZIC2,NR2F1,MSX2,CAMK2D,NEBL,WNT16,ITGB4,NR2F2,CD44,PDLIM5,PRPS1,MMP16,NT5E
GO:0048518	positive regulation of biological process	4.58307870517258e-07	-14.5957246722922	5310	27	0.72972972972973	37	16441	1948,30061,23043,2254,4487,5468,9748,57822,7447,64084,7431,7546,51129,5139,7025,58480,4488,817,6281,23025,10010,51384,960,7026,4325,5570,4907	EFNB2,SLC40A1,TNIK,FGF9,MSX1,PPARG,SLK,GRHL3,VSNL1,CLSTN2,VIM,ZIC2,ANGPTL4,PDE3A,NR2F1,RHOU,MSX2,CAMK2D,S100A10,UNC13A,TANK,WNT16,CD44,NR2F2,MMP16,PKIB,NT5E
GO:0035878	nail development	5.83020793479456e-07	-14.3550429848864	8	3	0.0810810810810811	37	16441	4488,4487,3691	MSX2,MSX1,ITGB4
GO:0072359	circulatory system development	6.51390412146938e-07	-14.2441566630537	774	11	0.297297297297297	37	16441	1948,4488,2254,817,4487,10529,5468,51384,7026,10611,51129	EFNB2,MSX2,FGF9,CAMK2D,MSX1,NEBL,PPARG,WNT16,NR2F2,PDLIM5,ANGPTL4
GO:0072358	cardiovascular system development	6.51390412146938e-07	-14.2441566630537	774	11	0.297297297297297	37	16441	1948,4488,2254,817,4487,10529,5468,51384,7026,10611,51129	EFNB2,MSX2,FGF9,CAMK2D,MSX1,NEBL,PPARG,WNT16,NR2F2,PDLIM5,ANGPTL4
GO:0050793	regulation of developmental process	8.29120354737798e-07	-14.0029005117242	2113	17	0.459459459459459	37	16441	1948,3910,23043,2254,4487,5468,57822,64084,7431,7546,51129,5139,58480,4488,6281,23025,10611	EFNB2,LAMA4,TNIK,FGF9,MSX1,PPARG,GRHL3,CLSTN2,VIM,ZIC2,ANGPTL4,PDE3A,RHOU,MSX2,S100A10,UNC13A,PDLIM5
GO:0048731	system development	1.17122058549202e-06	-13.6574641174833	4011	23	0.621621621621622	37	16441	1948,23043,2254,30061,4487,5468,57822,7431,7546,51129,7025,4488,817,10529,23025,51384,3691,7026,960,10611,4325,5631,4907	EFNB2,TNIK,FGF9,SLC40A1,MSX1,PPARG,GRHL3,VIM,ZIC2,ANGPTL4,NR2F1,MSX2,CAMK2D,NEBL,UNC13A,WNT16,ITGB4,NR2F2,CD44,PDLIM5,MMP16,PRPS1,NT5E
GO:2000026	regulation of multicellular organismal development	3.20912408698923e-06	-12.649512528155	1553	14	0.378378378378378	37	16441	1948,3910,4488,23043,2254,4487,5468,23025,57822,64084,7431,7546,10611,51129	EFNB2,LAMA4,MSX2,TNIK,FGF9,MSX1,PPARG,UNC13A,GRHL3,CLSTN2,VIM,ZIC2,PDLIM5,ANGPTL4
GO:0048856	anatomical structure development	4.15094393829499e-06	-12.3921747945748	4662	24	0.648648648648649	37	16441	1948,23043,30061,2254,4487,5468,57822,7431,7546,51129,7025,5139,4488,817,10529,23025,51384,3691,7026,960,10611,4325,5631,4907	EFNB2,TNIK,SLC40A1,FGF9,MSX1,PPARG,GRHL3,VIM,ZIC2,ANGPTL4,NR2F1,PDE3A,MSX2,CAMK2D,NEBL,UNC13A,WNT16,ITGB4,NR2F2,CD44,PDLIM5,MMP16,PRPS1,NT5E
