TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa05202	Transcriptional misregulation in cancer	0.00145443307032911	-6.53313909667449	179	5	0.151515151515152	33	6908	5087,6935,51384,2115,5468	PBX1,ZEB1,WNT16,ETV1,PPARG
ko05202	Transcriptional misregulation in cancer	0.00145443307032911	-6.53313909667449	179	5	0.151515151515152	33	6908	5087,6935,51384,2115,5468	PBX1,ZEB1,WNT16,ETV1,PPARG
hsa04512	ECM-receptor interaction	0.00801524604482116	-4.82640979534798	87	3	0.0909090909090909	33	6908	3910,3691,960	LAMA4,ITGB4,CD44
ko04512	ECM-receptor interaction	0.00801524604482116	-4.82640979534798	87	3	0.0909090909090909	33	6908	3910,3691,960	LAMA4,ITGB4,CD44
ko00230	Purine metabolism	0.00899754597463459	-4.71080340831205	174	4	0.121212121212121	33	6908	5631,10846,5139,4907	PRPS1,PDE10A,PDE3A,NT5E
hsa00230	Purine metabolism	0.00899754597463459	-4.71080340831205	174	4	0.121212121212121	33	6908	10846,5631,5139,4907	PDE10A,PRPS1,PDE3A,NT5E
hsa05032	Morphine addiction	0.00906858015885482	-4.70293956968305	91	3	0.0909090909090909	33	6908	54331,10846,5139	GNG2,PDE10A,PDE3A
ko05032	Morphine addiction	0.00906858015885482	-4.70293956968305	91	3	0.0909090909090909	33	6908	54331,10846,5139	GNG2,PDE10A,PDE3A
ko04713	Circadian entrainment	0.010199709454946	-4.58539604390682	95	3	0.0909090909090909	33	6908	54331,6262,817	GNG2,RYR2,CAMK2D
hsa04713	Circadian entrainment	0.010199709454946	-4.58539604390682	95	3	0.0909090909090909	33	6908	54331,6262,817	GNG2,RYR2,CAMK2D
hsa04340	Hedgehog signaling pathway	0.024387771463476	-3.71367344184008	51	2	0.0606060606060606	33	6908	7546,51384	ZIC2,WNT16
ko04340	Hedgehog signaling pathway	0.024387771463476	-3.71367344184008	51	2	0.0606060606060606	33	6908	7546,51384	ZIC2,WNT16
hsa05200	Pathways in cancer	0.0384019454964577	-3.25964715670158	397	5	0.151515151515152	33	6908	3910,54331,2254,51384,5468	LAMA4,GNG2,FGF9,WNT16,PPARG
ko03320	PPAR signaling pathway	0.0425535801965127	-3.15699128657378	69	2	0.0606060606060606	33	6908	5468,51129	PPARG,ANGPTL4
hsa03320	PPAR signaling pathway	0.0425535801965127	-3.15699128657378	69	2	0.0606060606060606	33	6908	5468,51129	PPARG,ANGPTL4
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.048278153476259	-3.03077612962632	74	2	0.0606060606060606	33	6908	6262,3691	RYR2,ITGB4
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.048278153476259	-3.03077612962632	74	2	0.0606060606060606	33	6908	6262,3691	RYR2,ITGB4
ko05206	MicroRNAs in cancer	0.0514158087568717	-2.96780959044567	297	4	0.121212121212121	33	6908	6935,7431,960,4325	ZEB1,VIM,CD44,MMP16
hsa05206	MicroRNAs in cancer	0.0514158087568717	-2.96780959044567	297	4	0.121212121212121	33	6908	6935,7431,960,4325	ZEB1,VIM,CD44,MMP16
ko05410	Hypertrophic cardiomyopathy (HCM)	0.0592413031205944	-2.82613629251532	83	2	0.0606060606060606	33	6908	6262,3691	RYR2,ITGB4
hsa05410	Hypertrophic cardiomyopathy (HCM)	0.0592413031205944	-2.82613629251532	83	2	0.0606060606060606	33	6908	6262,3691	RYR2,ITGB4
hsa04911	Insulin secretion	0.0617856624500199	-2.78408394062508	85	2	0.0606060606060606	33	6908	6262,817	RYR2,CAMK2D
hsa05222	Small cell lung cancer	0.0630718944169708	-2.76348002202117	86	2	0.0606060606060606	33	6908	3910,317	LAMA4,APAF1
ko05222	Small cell lung cancer	0.0630718944169708	-2.76348002202117	86	2	0.0606060606060606	33	6908	3910,317	LAMA4,APAF1
