TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
lung-carcinoid-endocrine_tumour-typical	lung-carcinoid-endocrine_tumour-typical	0.00244444851840485	-6.01393573634126	330	3	0.2	15	17775	1287,26047,5352	COL4A5,CNTNAP2,PLOD2
typical	typical	0.00244444851840485	-6.01393573634126	330	3	0.2	15	17775	1287,26047,5352	COL4A5,CNTNAP2,PLOD2
upper_aerodigestive_tract-larynx-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-larynx-carcinoma-squamous_cell_carcinoma	0.00416874025466926	-5.4801413860136	2007	6	0.4	15	17775	1287,256979,26047,3164,54843,81831	COL4A5,SUN3,CNTNAP2,NR4A1,SYTL2,NETO2
larynx	larynx	0.00418981421233107	-5.47509888676361	2009	6	0.4	15	17775	1287,256979,26047,3164,54843,81831	COL4A5,SUN3,CNTNAP2,NR4A1,SYTL2,NETO2
oesophagus-carcinoma-squamous_cell_carcinoma	oesophagus-carcinoma-squamous_cell_carcinoma	0.00621968541588818	-5.08003594973384	6791	11	0.733333333333333	15	17775	9668,217,5352,84969,256979,1287,51313,26047,25924,54843,2122	ZNF432,ALDH2,PLOD2,TOX2,SUN3,COL4A5,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
chronic_myelomonocytic_leukaemia	chronic_myelomonocytic_leukaemia	0.00700077391664309	-4.96173457651764	151	2	0.133333333333333	15	17775	54843,2122	SYTL2,MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-chronic_myelomonocytic_leukaemia	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-chronic_myelomonocytic_leukaemia	0.00700077391664309	-4.96173457651764	151	2	0.133333333333333	15	17775	54843,2122	SYTL2,MECOM
skin-ear-carcinoma-squamous_cell_carcinoma	skin-ear-carcinoma-squamous_cell_carcinoma	0.00875824952006536	-4.73775922047836	521	3	0.2	15	17775	26047,84969,81831	CNTNAP2,TOX2,NETO2
soft_tissue	soft_tissue	0.0101852810921097	-4.586811631048	6065	10	0.666666666666667	15	17775	4241,5352,3164,84969,81831,1287,26047,25924,54843,2122	MFI2,PLOD2,NR4A1,TOX2,NETO2,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
upper_aerodigestive_tract-mouth-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-mouth-carcinoma-squamous_cell_carcinoma	0.0113002624448619	-4.48292932832452	7269	11	0.733333333333333	15	17775	9668,217,4241,5352,3164,81831,1287,51313,26047,25924,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,NETO2,COL4A5,FAM198B,CNTNAP2,MYRIP,MECOM
bone-femur-other-chondroblastoma	bone-femur-other-chondroblastoma	0.011557635411485	-4.46040898584044	196	2	0.133333333333333	15	17775	26047,5352	CNTNAP2,PLOD2
alveolar	alveolar	0.0126019090854513	-4.37390696178354	2511	6	0.4	15	17775	1287,26047,4241,5352,3164,84969	COL4A5,CNTNAP2,MFI2,PLOD2,NR4A1,TOX2
soft_tissue-striated_muscle-rhabdomyosarcoma-alveolar	soft_tissue-striated_muscle-rhabdomyosarcoma-alveolar	0.0126019090854513	-4.37390696178354	2511	6	0.4	15	17775	1287,26047,4241,5352,3164,84969	COL4A5,CNTNAP2,MFI2,PLOD2,NR4A1,TOX2
central_nervous_system-diencephalon-glioma-astrocytoma_Grade_I	central_nervous_system-diencephalon-glioma-astrocytoma_Grade_I	0.0142559224352089	-4.25058284912084	17	1	0.0666666666666667	15	17775	26047	CNTNAP2
rhabdomyosarcoma	rhabdomyosarcoma	0.0143220554833542	-4.24595458841005	4310	8	0.533333333333333	15	17775	4241,5352,3164,84969,81831,1287,26047,54843	MFI2,PLOD2,NR4A1,TOX2,NETO2,COL4A5,CNTNAP2,SYTL2
diencephalon	diencephalon	0.0150885703211782	-4.19381775415151	18	1	0.0666666666666667	15	17775	26047	CNTNAP2
ear	ear	0.0154249843312945	-4.17176672499059	642	3	0.2	15	17775	26047,84969,81831	CNTNAP2,TOX2,NETO2
striated_muscle	striated_muscle	0.0160720085709221	-4.13067611818679	4392	8	0.533333333333333	15	17775	4241,5352,3164,84969,81831,1287,26047,54843	MFI2,PLOD2,NR4A1,TOX2,NETO2,COL4A5,CNTNAP2,SYTL2
bone-tibia-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-tibia-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.0177724514069184	-4.03010569433692	677	3	0.2	15	17775	4241,3164,54843	MFI2,NR4A1,SYTL2
stomach-carcinoma-diffuse_adenocarcinoma	stomach-carcinoma-diffuse_adenocarcinoma	0.0202225536038818	-3.90095678237068	4562	8	0.533333333333333	15	17775	4241,5352,84969,1287,26047,25924,54843,2122	MFI2,PLOD2,TOX2,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
diffuse_adenocarcinoma	diffuse_adenocarcinoma	0.0202225536038818	-3.90095678237068	4562	8	0.533333333333333	15	17775	4241,5352,84969,1287,26047,25924,54843,2122	MFI2,PLOD2,TOX2,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
bone-humerus-chondrosarcoma-central	bone-humerus-chondrosarcoma-central	0.0208987510477935	-3.86806588027576	25	1	0.0666666666666667	15	17775	26047	CNTNAP2
skin-arm-malignant_melanoma	skin-arm-malignant_melanoma	0.0226846490484904	-3.7860668366277	1345	4	0.266666666666667	15	17775	1287,5352,81831,2122	COL4A5,PLOD2,NETO2,MECOM
large_intestine-colon	large_intestine-colon	0.0227406351748043	-3.7836018590004	1346	4	0.266666666666667	15	17775	26047,25924,54843,81831	CNTNAP2,MYRIP,SYTL2,NETO2
mucosal	mucosal	0.0235325791947661	-3.7493694692127	2071	5	0.333333333333333	15	17775	1287,26047,25924,84969,54843	COL4A5,CNTNAP2,MYRIP,TOX2,SYTL2
skin-mucosal-malignant_melanoma	skin-mucosal-malignant_melanoma	0.0235325791947661	-3.7493694692127	2071	5	0.333333333333333	15	17775	1287,26047,25924,84969,54843	COL4A5,CNTNAP2,MYRIP,TOX2,SYTL2
