TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0031223	auditory behavior	0.000144380175940892	-8.84306062665799	8	2	0.0526315789473684	38	16441	26047,6507	CNTNAP2,SLC1A3
GO:0022617	extracellular matrix disassembly	0.000169796378630983	-8.68091061157604	121	4	0.105263157894737	38	16441	1287,7077,3339,1303	COL4A5,TIMP2,HSPG2,COL12A1
GO:0030198	extracellular matrix organization	0.000184565411944283	-8.59750662103345	369	6	0.157894736842105	38	16441	1287,7077,3339,1490,5352,1303	COL4A5,TIMP2,HSPG2,CTGF,PLOD2,COL12A1
GO:0043062	extracellular structure organization	0.000187292841199438	-8.58283717028344	370	6	0.157894736842105	38	16441	1287,7077,3339,1490,5352,1303	COL4A5,TIMP2,HSPG2,CTGF,PLOD2,COL12A1
GO:0007638	mechanosensory behavior	0.000282364784631535	-8.17231076043418	11	2	0.0526315789473684	38	16441	26047,6507	CNTNAP2,SLC1A3
GO:0042127	regulation of cell proliferation	0.00036872911876547	-7.90544827899031	1479	11	0.289473684210526	38	16441	1604,7077,1490,4241,3480,3164,3606,5144,30812,9965,2122	CD55,TIMP2,CTGF,MFI2,IGF1R,NR4A1,IL18,PDE4D,SOX8,FGF19,MECOM
GO:0008284	positive regulation of cell proliferation	0.000403892677542928	-7.81436136494046	800	8	0.210526315789474	38	16441	1604,1490,3480,3164,3606,5144,30812,9965	CD55,CTGF,IGF1R,NR4A1,IL18,PDE4D,SOX8,FGF19
GO:0006828	manganese ion transport	0.000465144971760302	-7.67316143373976	14	2	0.0526315789473684	38	16441	7220,9914	TRPC1,ATP2C2
GO:0046328	regulation of JNK cascade	0.000469903135653119	-7.6629839788556	158	4	0.105263157894737	38	16441	1490,3480,9965,2122	CTGF,IGF1R,FGF19,MECOM
GO:0009653	anatomical structure morphogenesis	0.000482439896705959	-7.63665421135679	2356	14	0.368421052631579	38	16441	3480,1490,3339,4133,3164,80144,7220,3606,1287,6507,30812,9965,1303,2122	IGF1R,CTGF,HSPG2,MAP2,NR4A1,FRAS1,TRPC1,IL18,COL4A5,SLC1A3,SOX8,FGF19,COL12A1,MECOM
GO:0048731	system development	0.00055600869143823	-7.49472663175272	4011	19	0.5	38	16441	7077,3339,3164,3606,1287,26047,6507,9965,1303,2122,3480,27295,1490,4133,80144,84969,7220,5144,30812	TIMP2,HSPG2,NR4A1,IL18,COL4A5,CNTNAP2,SLC1A3,FGF19,COL12A1,MECOM,IGF1R,PDLIM3,CTGF,MAP2,FRAS1,TOX2,TRPC1,PDE4D,SOX8
GO:0046641	positive regulation of alpha-beta T cell proliferation	0.000777508343072082	-7.15941618332912	18	2	0.0526315789473684	38	16441	3606,1604	IL18,CD55
GO:0010996	response to auditory stimulus	0.000867714049669068	-7.04964833344497	19	2	0.0526315789473684	38	16441	26047,6507	CNTNAP2,SLC1A3
GO:0032872	regulation of stress-activated MAPK cascade	0.000956650926807782	-6.95207199082823	191	4	0.105263157894737	38	16441	1490,3480,9965,2122	CTGF,IGF1R,FGF19,MECOM
GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.000975395091101415	-6.93266794740407	192	4	0.105263157894737	38	16441	1490,3480,9965,2122	CTGF,IGF1R,FGF19,MECOM
GO:0048856	anatomical structure development	0.00137164804797947	-6.59174230738286	4662	20	0.526315789473684	38	16441	7077,3339,3164,3606,1287,6507,26047,9965,1303,2122,1490,3480,27295,4133,80144,84969,7220,8407,5144,30812	TIMP2,HSPG2,NR4A1,IL18,COL4A5,SLC1A3,CNTNAP2,FGF19,COL12A1,MECOM,CTGF,IGF1R,PDLIM3,MAP2,FRAS1,TOX2,TRPC1,TAGLN2,PDE4D,SOX8
GO:0046640	regulation of alpha-beta T cell proliferation	0.00139035397196273	-6.5781969081706	24	2	0.0526315789473684	38	16441	3606,1604	IL18,CD55
GO:0045662	negative regulation of myoblast differentiation	0.0016324300875748	-6.41768552310604	26	2	0.0526315789473684	38	16441	3606,30812	IL18,SOX8
GO:0072359	circulatory system development	0.00175366223256428	-6.34604897337981	774	7	0.184210526315789	38	16441	3606,1490,3339,27295,3164,9965,2122	IL18,CTGF,HSPG2,PDLIM3,NR4A1,FGF19,MECOM
GO:0072358	cardiovascular system development	0.00175366223256428	-6.34604897337981	774	7	0.184210526315789	38	16441	3606,1490,3339,27295,3164,9965,2122	IL18,CTGF,HSPG2,PDLIM3,NR4A1,FGF19,MECOM
GO:0009725	response to hormone	0.00176955556072592	-6.33702685956126	1003	8	0.210526315789474	38	16441	7077,1490,3480,5352,4133,3164,84969,9965	TIMP2,CTGF,IGF1R,PLOD2,MAP2,NR4A1,TOX2,FGF19
GO:0003338	metanephros morphogenesis	0.00189312073842034	-6.26952862726733	28	2	0.0526315789473684	38	16441	30812,80144	SOX8,FRAS1
GO:0030154	cell differentiation	0.00190875316143236	-6.26130504514866	3353	16	0.421052631578947	38	16441	7077,3339,3164,1287,26047,6507,9965,1303,2122,1490,3480,4133,7220,5144,8407,30812	TIMP2,HSPG2,NR4A1,COL4A5,CNTNAP2,SLC1A3,FGF19,COL12A1,MECOM,CTGF,IGF1R,MAP2,TRPC1,PDE4D,TAGLN2,SOX8
GO:0000041	transition metal ion transport	0.00196740352134198	-6.23104061504175	108	3	0.0789473684210526	38	16441	7220,4241,9914	TRPC1,MFI2,ATP2C2
GO:0042231	interleukin-13 biosynthetic process	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	3606	IL18
GO:0032616	interleukin-13 production	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	3606	IL18
GO:0042033	chemokine biosynthetic process	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	3606	IL18
GO:0042253	granulocyte macrophage colony-stimulating factor biosynthetic process	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	3606	IL18
GO:0032604	granulocyte macrophage colony-stimulating factor production	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	3606	IL18
GO:0086024	adrenergic receptor signaling pathway involved in positive regulation of heart rate	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	5144	PDE4D
GO:0051389	inactivation of MAPKK activity	0.0023112949333898	-6.06994733428813	1	1	0.0263157894736842	38	16441	3480	IGF1R
