TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	0.000717889593201369	-7.23919477065438	64	3	0.130434782608696	23	8202	1287,5352,1303	COL4A5,PLOD2,COL12A1
R-HSA-1474244	Extracellular matrix organization	0.000731706206515788	-7.2201314817872	267	5	0.217391304347826	23	8202	1287,7077,3339,5352,1303	COL4A5,TIMP2,HSPG2,PLOD2,COL12A1
R-HSA-1474290	Collagen formation	0.00169387437178113	-6.38073684619822	86	3	0.130434782608696	23	8202	1287,5352,1303	COL4A5,PLOD2,COL12A1
R-HSA-1474228	Degradation of the extracellular matrix	0.00186937476753685	-6.28215125293348	89	3	0.130434782608696	23	8202	7077,3339,1303	TIMP2,HSPG2,COL12A1
R-HSA-983712	Ion channel transport	0.0020350481177511	-6.19723581528058	198	4	0.173913043478261	23	8202	7220,10079,1831,9914	TRPC1,ATP9A,TSC22D3,ATP2C2
R-HSA-380612	Metabolism of serotonin	0.00560086566764675	-5.18483410967949	2	1	0.0434782608695652	23	8202	217	ALDH2
R-HSA-380615	Serotonin clearance from the synaptic cleft	0.00560086566764675	-5.18483410967949	2	1	0.0434782608695652	23	8202	217	ALDH2
R-HSA-936837	Ion transport by P-type ATPases	0.008165674349136	-4.80781596575136	49	2	0.0869565217391304	23	8202	10079,9914	ATP9A,ATP2C2
R-HSA-1307965	betaKlotho-mediated ligand binding	0.00839003397123413	-4.78071070949642	3	1	0.0434782608695652	23	8202	9965	FGF19
R-HSA-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism	0.0111717182276908	-4.4943698525124	4	1	0.0434782608695652	23	8202	6507	SLC1A3
R-HSA-112313	Neurotransmitter uptake and Metabolism In Glial Cells	0.0111717182276908	-4.4943698525124	4	1	0.0434782608695652	23	8202	6507	SLC1A3
R-HSA-983705	Signaling by the B Cell Receptor (BCR)	0.0171945141955259	-4.06316488815617	198	3	0.130434782608696	23	8202	7220,3164,9965	TRPC1,NR4A1,FGF19
R-HSA-448706	Interleukin-1 processing	0.0194720581915842	-3.93877475426648	7	1	0.0434782608695652	23	8202	3606	IL18
R-HSA-382551	Transmembrane transport of small molecules	0.0209701709459921	-3.86465428217058	586	5	0.217391304347826	23	8202	7220,6507,10079,1831,9914	TRPC1,SLC1A3,ATP9A,TSC22D3,ATP2C2
R-HSA-112311	Neurotransmitter Clearance In The Synaptic Cleft	0.0222239975036479	-3.80658260529701	8	1	0.0434782608695652	23	8202	217	ALDH2
R-HSA-2219528	PI3K/AKT Signaling in Cancer	0.0233214955849964	-3.75837978640893	85	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-2428933	SHC-related events triggered by IGF1R	0.0249685481573042	-3.69013831986086	9	1	0.0434782608695652	23	8202	3480	IGF1R
R-HSA-198693	AKT phosphorylates targets in the nucleus	0.0249685481573042	-3.69013831986086	9	1	0.0434782608695652	23	8202	3164	NR4A1
R-HSA-418890	Role of second messengers in netrin-1 signaling	0.0277057290912861	-3.58611606077425	10	1	0.0434782608695652	23	8202	7220	TRPC1
R-HSA-1250342	PI3K events in ERBB4 signaling	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-5654720	PI-3K cascade:FGFR4	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-5654689	PI-3K cascade:FGFR1	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-5654695	PI-3K cascade:FGFR2	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-5654710	PI-3K cascade:FGFR3	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-1257604	PIP3 activates AKT signaling	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-1963642	PI3K events in ERBB2 signaling	0.0303752168668463	-3.49412823769765	98	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-2672351	Stimuli-sensing channels	0.0309492386410775	-3.47540687979619	99	2	0.0869565217391304	23	8202	7220,1831	TRPC1,TSC22D3
R-HSA-198203	PI3K/AKT activation	0.0321103191705394	-3.4385778310192	101	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-180292	GAB1 signalosome	0.0326973248037499	-3.42046201470845	102	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
R-HSA-3656237	Defective EXT2 causes exostoses 2	0.0331580573225826	-3.40646953539555	12	1	0.0434782608695652	23	8202	3339	HSPG2
R-HSA-71384	Ethanol oxidation	0.0331580573225826	-3.40646953539555	12	1	0.0434782608695652	23	8202	217	ALDH2
R-HSA-3656253	Defective EXT1 causes exostoses 1, TRPS2 and CHDS	0.0331580573225826	-3.40646953539555	12	1	0.0434782608695652	23	8202	3339	HSPG2
R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	0.0338841347735001	-3.38480837492399	104	2	0.0869565217391304	23	8202	3164,9965	NR4A1,FGF19
