"mESc.2i.RNA.DMSO.REP1"	"mESc.2i.RNA.DMSO.REP2"	"mESc.2i.RNA.DMSO.REP3"	"mESc.2i.RNA.RA.REP1"	"mESc.2i.RNA.RA.REP2"	"mESc.2i.RNA.RA.REP3"
"ENSMUSG00000078967"	0.826112481212945	1.3055097063199	0.678893389225026	0.577596091708637	0.133990156253365	0.322477312941043
"ENSMUSG00000096887"	15.9359061348261	26.93899428867	20.4388671154546	14.2575300736398	2.30083296257026	9.88833876258836
"ENSMUSG00000020620"	0.015466347365738	0.0271822345963393	0.0190652021743589	0.00789904273495334	0.00172462299479898	0.009339055649221
"ENSMUSG00000025776"	0.051668816254998	0.0744478585557277	0.0607965283917721	0.0301045630496147	0.0125705268729302	0.0218499577135667
"ENSMUSG00000004709"	0.0459270775623699	0.0469627474498538	0.0275810922101174	0.00452847480613128	0.0147071539749381	0.0151697396311927
"ENSMUSG00000028525"	0.00657102595489403	0.00738507176044159	0.00357569065056912	0.000455289831908465	0.00042247069600157	0.00139805919813089
"ENSMUSG00000037709"	0.0183014680115854	0.0231375215093684	0.0139461974525382	0.00799744029749255	0.00534308572470428	0.00714407343003355
"ENSMUSG00000066964"	0.0846668288877381	0.101854226141177	0.055253594630205	0.0167579224907912	0.00888568201998575	0.0133658646163679
"ENSMUSG00000021322"	0.585291339372514	0.722480313057158	0.59821406630049	0.395339703440839	0.200117328466153	0.465840810406235
"ENSMUSG00000061576"	0.119070395423247	0.151338973211205	0.10028151768675	0.0518250345742166	0.0349137189406489	0.0908485821462535
"ENSMUSG00000030020"	0.14756698457781	0.185146253730095	0.137672561158534	0.0628160917863097	0.0404414302814586	0.112403925751515
"ENSMUSG00000037833"	0.94453927946599	1.17088178975182	0.93098165068126	0.49495942463333	0.305266298848489	0.762533524271217
"ENSMUSG00000021219"	0.00821517655397741	0.013939846210968	0.00770514416946145	0.00337658422386622	0.00191177472275128	0.00677386218704149
"ENSMUSG00000048834"	0.0123365431419626	0.0209627231051155	0.0125235153155562	0.007325235980602	0.00291308712404935	0.00915324534870668
"ENSMUSG00000037738"	0.0275138195278886	0.0330271803212648	0.0221191259916852	0.00575017170112494	0.00853708164057109	0.0134835740271384
"ENSMUSG00000022485"	0.0363138307628055	0.0597899711812834	0.0356591976112018	0.00828391911391863	0.00988300370308596	0.0218035228841997
"ENSMUSG00000051331"	0.0104733445519123	0.0143909198246046	0.00907761137485218	0.00204520351239431	0.00145982842777523	0.00456742517868139
"ENSMUSG00000059146"	0.0269372740782481	0.035531056341117	0.0239706839731531	0.00957711535002424	0.004976584518844	0.0138594065946926
"ENSMUSG00000055373"	1.20801187191924	1.54060559053013	1.05186800211192	0.558824614556688	0.391602203747598	0.781073773780249
"ENSMUSG00000036218"	0.0140330478015426	0.0184613416781806	0.0109252983287422	0.0031557576662084	0.00161055282661763	0.00643089517903014
"ENSMUSG00000039542"	0.351258849157055	0.462245129724854	0.298189685475708	0.125816974677307	0.0814344633608133	0.181862825074338
"ENSMUSG00000054423"	0.0357846876024261	0.0513958961307253	0.033336099539942	0.017332357189205	0.00901621082047112	0.0230190961953759
"ENSMUSG00000040037"	0.0095807225076779	0.01367379070696	0.00869421063295987	0.00376261162342333	0.00261854049869957	0.00573316408381997
"ENSMUSG00000052942"	0.247532651858333	0.346025345603003	0.21617563374202	0.0921260649328636	0.0655473752662255	0.162850875886524
"ENSMUSG00000041272"	0.00322578531778121	0.00515394965668254	0.0042249157663265	0.00106602141235796	0.000899252972239347	0.00216425363064466
"ENSMUSG00000081131"	3.80461226889617	4.77876821762368	4.76376192002854	1.69920765197521	0.641378391569176	2.6048599501759
"ENSMUSG00000016982"	0.146623184260338	0.166588425201779	0.160658526556923	0.0274085428082771	0.0217995634147982	0.0961868059670363
"ENSMUSG00000042129"	0.141666196122641	0.146401885397086	0.143048319270688	0.0565055031792898	0.0430214215805134	0.0897891869220899
"ENSMUSG00000045312"	0.222452652635689	0.251473298569125	0.228742179887476	0.0784503947027916	0.0514553591024285	0.131758769132557
"ENSMUSG00000046999"	0.537040115352304	0.366100358021985	0.41191338088038	0.240935763041573	0.170337628172109	0.102488910681288
"ENSMUSG00000028023"	0.216928780466871	0.164370654470613	0.136588576301075	0.0855194680017271	0.0445501070739267	0.0519345944749112
"ENSMUSG00000038840"	0.48727908746717	0.428888379862911	0.364960257501301	0.249050680481626	0.143060727510025	0.112562124085759
"ENSMUSG00000026185"	0.0925551823489651	0.0668063509453674	0.0626386300896371	0.0174469021389999	0.0129514069907301	0.00779261522256712
"ENSMUSG00000033268"	0.0838192616873129	0.0662300002710815	0.0575321884103227	0.0164824369998587	0.00509810538482975	0.00817982142151515
"ENSMUSG00000021803"	0.354846927639597	0.26906163705343	0.259484091464573	0.0693837940289234	0.0375563585914606	0.0581064340149362
"ENSMUSG00000026959"	0.669002634407548	0.488634894248574	0.456345835124818	0.0802623530872543	0.0607573221349063	0.0966979048201414
"ENSMUSG00000038600"	0.0436609718504649	0.0396849247547851	0.0294018941461062	0.0136027102631744	0.00649140263463363	0.0160569865484162
"ENSMUSG00000061126"	0.0909491479851732	0.0851409179139868	0.0631617177539237	0.0357129762133045	0.0182833876853899	0.0371275872100182
"ENSMUSG00000029660"	0.0597116574425895	0.0498641753475154	0.0441635556626999	0.0181781313514049	0.0159800001975144	0.0224346783376338
"ENSMUSG00000084850"	0.0556254411449905	0.046451846587972	0.0331416304868005	0.00802144273989689	0.0016540499210047	0.00995210373863832
"ENSMUSG00000050967"	0.064767482482024	0.0451118324639146	0.0404976315674718	0.017145465745147	0.0117228271272305	0.0292212372256249
"ENSMUSG00000028927"	0.0638708004182308	0.0496636541585317	0.042646964472847	0.0223865376785379	0.00356105577136833	0.0228546081989802
"ENSMUSG00000029650"	0.0939203599038227	0.074909868726716	0.0602028078062721	0.0379224859345	0.0201079311356476	0.0383121056153524
"ENSMUSG00000003271"	0.0799532644377879	0.0552120031443303	0.0435189138191589	0.0289488445052699	0.0129679076864406	0.0300955244552892
"ENSMUSG00000025855"	0.0364014721248206	0.0289243635084812	0.0197206870316264	0.0135968056683776	0.00661859295574389	0.0146846629631312
"ENSMUSG00000070737"	0.759601180736018	0.491400880288898	0.611495386098921	0.327868725386676	0.129069232364539	0.260710685077447
"ENSMUSG00000023456"	44.1391757724588	26.4330311888418	32.3659151166971	20.6828934638263	10.117394142837	12.3617824003572
"ENSMUSG00000083391"	3.63872218669922	2.29901637649139	2.80794222476101	1.76328794054546	1.00282183931806	1.23851443001419
"ENSMUSG00000003541"	2.50597546873122	1.44615546263168	1.77393249892736	1.12109150018031	0.354137423732013	0.719137410975982
"ENSMUSG00000063229"	24.444889577268	15.0576950504513	18.012781595786	13.2266991732526	5.70127972849142	8.0741608193299
"ENSMUSG00000028859"	0.242839965063355	0.148673322876651	0.179226415061198	0.104089353161593	0.0248364439246975	0.106265712829465
"ENSMUSG00000005125"	0.540243886410821	0.36282252495537	0.378125800520538	0.143780647481754	0.076237917608975	0.1539951804515
"ENSMUSG00000044197"	0.187821205456332	0.138145998508471	0.140133677109816	0.068107664530288	0.0382128579211741	0.0725130721938979
