"mESc.2i.RNA.DMSO.REP1"	"mESc.2i.RNA.DMSO.REP2"	"mESc.2i.RNA.DMSO.REP3"	"mESc.2i.RNA.RA.REP1"	"mESc.2i.RNA.RA.REP2"	"mESc.2i.RNA.RA.REP3"
"ENSMUSG00000074305"	0.376283158594512	0.418850853766088	0.309459950962834	0.389970113135095	0.546078862548962	0.500612876745548
"ENSMUSG00000052372"	0.000962306989926833	0.00102977509388512	0.00082759926181451	0.00105421459686238	0.00347368819285919	0.00182579264658055
"ENSMUSG00000022748"	0.873927563039675	1.83384663648417	0.809610519175939	1.01590411366138	69.3648501156297	19.5200112082405
"ENSMUSG00000073867"	0.322499281942288	0.423992238535794	0.295316498669941	0.292322610205491	1.66038375816851	0.652825815161718
"ENSMUSG00000028132"	0.0680857369189427	0.055696873174989	0.0466269805322771	0.0901826677895833	0.33135347110975	0.064967521142974
"ENSMUSG00000022905"	2.6723403467298	2.35216125164757	3.85088020118249	2.92474142273185	36.8129558213919	2.91168911481075
"ENSMUSG00000029635"	5.37902604417765	5.66499198975212	3.19834726213868	4.3909382409837	476.910361150435	16.0278812542074
"ENSMUSG00000043719"	0.00621234797917515	0.00317621917941993	0.00109398505579022	0.0125845449132722	0.787333845700631	0.0140521388093637
"ENSMUSG00000098178"	1190.17865067441	1119.09738724153	1206.38568206023	1403.49655559229	164542.744503727	3706.84009379307
"ENSMUSG00000098343"	11.3073209776381	5.10892528109199	2.2690442220291	14.409664890479	2094.31424127055	38.954983781643
"ENSMUSG00000074194"	0.277147316060102	0.198377951982727	0.239145587608512	0.195388889095412	6.16984592752605	0.17520105372369
"ENSMUSG00000021665"	5.21573845504843	4.31924623973723	4.67309909181796	4.94707931966639	237.603123094793	4.09801741847972
"ENSMUSG00000089855"	107.972759594278	51.2465285643596	26.4762599384474	139.331585937035	24078.9838976186	160.980911238742
"ENSMUSG00000035202"	2.30768324001643	0.664205932669609	0.41322797516462	3.62441170427758	850.8469857153	3.21075728338806
"ENSMUSG00000050377"	0.248352263655064	0.016857672844624	0.00589993744193199	0.38548754308281	142.050560577255	0.400756920641379
"ENSMUSG00000097625"	0.0249615559685117	0.0172198421139821	0.0144279655970655	0.0363401605824921	7.23357789832727	0.0328855729883215
"ENSMUSG00000086324"	0.214705966514281	0.0801826210433248	0.117373513240641	0.280000387075335	41.8871355077164	0.218456739481031
"ENSMUSG00000098973"	88.0470234719315	21.4850310922431	6.1667403943648	135.384258451112	24426.6288019156	71.9613804322609
"ENSMUSG00000039145"	0.473999703421487	0.677159284120426	0.390280197530544	0.832134754138341	9.35224521830001	2.03593830764483
"ENSMUSG00000076258"	340.589794294608	483.493970369049	275.458556457758	199.779425974647	124770.815457969	11711.2765658231
"ENSMUSG00000087943"	1.07952391218576	0.551933756129051	3.99215299214142	0	366.90500979814	37.6624271115427
"ENSMUSG00000064363"	81.0912040625346	121.59445105455	79.8416113112638	100.23803630368	158.021618136037	220.787516773889
"ENSMUSG00000031543"	0.0047291473603046	0.00752234171822417	0.0049659297754842	0.00740899871699389	0.00874990845068678	0.0167340771093571
"ENSMUSG00000064345"	165.688200452673	214.372027991083	205.849715412703	255.684971069287	272.922931408037	400.556407436061
"ENSMUSG00000020193"	0.00875275292483054	0.0139415490064603	0.0105819366390338	0.0178000724990131	0.0195200568110821	0.0337890209939515
"ENSMUSG00000059401"	0.00407113393032315	0.00654176170533199	0.00501844356815918	0.011461962184158	0.0119327786656518	0.0240364737853373
"ENSMUSG00000031284"	0.00661155523103964	0.00664797039412477	0.00475416312646226	0.0114409976332694	0.00904350132593587	0.00981800273548829
"ENSMUSG00000029135"	0.0374497761671185	0.0412399941377325	0.0301841155538783	0.0609279148237287	0.0513963489498708	0.0603022007123015
"ENSMUSG00000067878"	0.0251472732823526	0.0282857873303294	0.0185992660551768	0.0471425720157592	0.0358927954086964	0.0499407783023691
"ENSMUSG00000047454"	0.131295932613155	0.164885078708863	0.110354059841094	0.192982614602905	0.244793156461611	0.288879370872361
"ENSMUSG00000075015"	0.516382986689833	0.64725961871983	0.225868970048066	0.976849878165151	1.01045166381576	1.25170200470664
"ENSMUSG00000085454"	0.0177409938284478	0.029025694013937	0.00583176925773168	0.0397962811620584	0.037982678361293	0.0495158192909222
"ENSMUSG00000087366"	0.0116916956935782	0.0138573341025794	0.00622346258221295	0.0143054200370497	0.0123260682958933	0.0239605503582657
"ENSMUSG00000074284"	0.194584589896169	0.203075059388162	0.123640390641402	0.215994400337719	0.153897498153085	0.400536713364438
"ENSMUSG00000022840"	0.0159072368391364	0.0202281685633631	0.00905016089852491	0.0215665457049013	0.0123710185075514	0.0324007107013919
"ENSMUSG00000004508"	0.0157089046775216	0.0189711285778941	0.00918130172276022	0.0205699275716666	0.0120804834452357	0.0341624063328298
"ENSMUSG00000057716"	0.00886222757070903	0.0126045204964949	0.00546218691315045	0.0120826604656291	0.00733072256887389	0.0214483836907594
"ENSMUSG00000063446"	0.00722661361138209	0.0129877396303932	0.00526391855704498	0.0158948197341273	0.00918153199930143	0.0232728068931123
"ENSMUSG00000026824"	0.0313021729297402	0.0490790048905945	0.0278285871991903	0.0434065490621711	0.0358775519923846	0.063538625059923
"ENSMUSG00000032878"	0.0794561989433747	0.115774384900469	0.0654874674028032	0.101997317959267	0.0845586891240906	0.168926119062212
"ENSMUSG00000019838"	0.0359394481250586	0.0454309711515717	0.045348684191452	0.0563152204895421	0.0388762891118614	0.0874888780583977
"ENSMUSG00000087059"	0.00302878829467358	0.0103236280433668	0.00995614712222708	0.0339706196058485	0.00720500107350029	0.0585240132316216
"ENSMUSG00000074607"	0.00279588541934667	0.00571786701077136	0.00438640143379219	0.00952969610440338	0.00408127245928125	0.0155522853594631
"ENSMUSG00000030653"	0.0205921978662806	0.0241632636627011	0.0220547628517233	0.0331025004226197	0.0222844021231645	0.0485590679795043
"ENSMUSG00000071757"	0.0144115984942791	0.02318844917738	0.0180262747993628	0.0395268978919178	0.019662239426324	0.0668872357825105
"ENSMUSG00000002688"	0.0417553917325036	0.0635347536788154	0.0437137726052116	0.0712570676334036	0.0466943105127618	0.105195694347505
"ENSMUSG00000052430"	0.0032406184429423	0.00568062068061439	0.00479361113444409	0.00783303897580333	0.00363420089357538	0.0109331477365403
"ENSMUSG00000001300"	0.169662601011844	0.22430109014077	0.193390060152305	0.253874405837648	0.17098120885077	0.336824105870649
"ENSMUSG00000020014"	0.00170924619429412	0.00257027974667941	0.00198303024446241	0.0033830740583942	0.00179383335550529	0.00485691933338899
"ENSMUSG00000002771"	0.029942232159432	0.0306174388100068	0.0359381697673951	0.0462081064634286	0.0196813555677526	0.0727430831881852
"ENSMUSG00000052760"	0.0369830888192163	0.0378170689779623	0.0418922829863608	0.0533313036627631	0.0267497119987307	0.0751090334040434
"ENSMUSG00000041132"	0.0820151344375715	0.101737385104765	0.0944697305967129	0.126671234245167	0.0695646427337061	0.181855896728912
"ENSMUSG00000095564"	0.0221637650130589	0.0270219426574934	0.0280215772249132	0.0368782635095199	0.0187575906266737	0.0527700753063847
"ENSMUSG00000034764"	0.132640215077532	0.162133959679535	0.150348675620787	0.197868879162204	0.0979230339159877	0.324051347397172
"ENSMUSG00000074852"	0.0170934600595613	0.0176363906757712	0.0177172957364814	0.0229963772817079	0.0139205287314511	0.0337232829708635
"ENSMUSG00000050315"	0.0107931427094266	0.0124160978648221	0.0116415183632367	0.0159347811820836	0.00859659162043431	0.0273103018439398
