TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR001650	Helicase_C	2.69655341379871e-08	-17.4287062997872	108	36	0.0153780435711235	2341	18293	57634,546,8886,164045,55308,6597,6596,60625,26038,91351,55636,54606,57647,56919,1106,64794,6499,80205,55794,57062,51428,23517,56916,1974,9704,55601,54555,90957,25788,84083,1654,10847,10973,79009,1107,1662	EP400,ATRX,DDX18,HFM1,DDX19A,SMARCA4,HLTF,DHX35,CHD5,DDX60L,CHD7,DDX56,DHX37,DHX33,CHD2,DDX31,SKIV2L,CHD9,DDX28,DDX24,DDX41,SKIV2L2,SMARCAD1,EIF4A2,DHX34,DDX60,DDX49,DHX57,RAD54B,ZRANB3,DDX3X,SRCAP,ASCC3,DDX50,CHD3,DDX10
IPR014001	Helicase_ATP-bd	4.61284096789911e-08	-16.8918368147381	110	36	0.0153780435711235	2341	18293	57634,546,8886,164045,55308,6597,6596,60625,26038,91351,55636,54606,57647,56919,1106,64794,6499,80205,55794,57062,51428,23517,56916,1974,9704,55601,54555,90957,25788,84083,1654,10847,10973,79009,1107,1662	EP400,ATRX,DDX18,HFM1,DDX19A,SMARCA4,HLTF,DHX35,CHD5,DDX60L,CHD7,DDX56,DHX37,DHX33,CHD2,DDX31,SKIV2L,CHD9,DDX28,DDX24,DDX41,SKIV2L2,SMARCAD1,EIF4A2,DHX34,DDX60,DDX49,DHX57,RAD54B,ZRANB3,DDX3X,SRCAP,ASCC3,DDX50,CHD3,DDX10
IPR015943	WD40/YVTN_repeat-like_dom	1.1989743831976e-07	-15.9366291402808	327	76	0.0324647586501495	2341	18293	23312,2784,57448,5048,54663,64743,5356,5520,348995,84940,65065,22898,54475,57556,5364,55626,55746,26960,55003,11151,4233,84916,81929,1130,27339,134430,6468,54468,9639,11169,6405,10025,8021,25929,54554,55250,84942,9895,7260,23335,9742,10512,9128,144406,8816,84128,30849,23162,80232,22884,9723,5191,253769,223117,55112,80349,23001,7090,57418,84135,79446,83939,11137,22872,9043,79954,79728,57539,8925,54828,6907,317,55339,254065,10391,29945	DMXL2,GNB3,BIRC6,PAFAH1B1,WDR74,WDR13,PLRG1,PPP2R2A,NUP43,CORO6,NBEAL1,DENND3,NLE1,SEMA6A,PLXNB1,AMBRA1,NUP133,NBEA,PAK1IP1,CORO1A,MET,UTP4,SEH1L,LYST,PRPF19,WDR36,FBXW4,MIOS,ARHGEF10,WDHD1,SEMA3F,MED16,NUP214,GEMIN5,WDR5B,ELP2,WDR73,TECPR2,TSSC1,WDR7,IFT140,SEMA3C,PRPF4,WDR66,DCAF5,WDR75,PIK3R4,MAPK8IP3,WDR26,WDR37,SEMA3E,PEX7,WDR27,SEMA3D,WDR60,WDR61,WDFY3,TLE3,WDR18,UTP15,WDR25,EIF2A,PWP1,SEC31A,SPAG9,NOL10,PALB2,WDR35,HERC1,BCAS3,TBL1X,APAF1,WDR33,BRWD3,CORO2B,ANAPC4
IPR017986	WD40_repeat_dom	2.43445278670456e-07	-15.2283736479317	298	70	0.0299017513882956	2341	18293	23312,2784,5048,54663,64743,5356,5520,348995,84940,65065,22898,54475,55626,26960,55003,11151,84916,81929,1130,27339,134430,6468,54468,51057,9639,11169,10025,6651,23352,25929,54554,55250,84942,9895,7260,23335,9742,9128,144406,8816,84128,30849,23162,80232,22884,5191,253769,55112,55714,80349,23001,7090,57418,84135,79446,83939,11137,22872,9043,79954,79728,57539,8925,54828,317,6907,55339,254065,10391,29945	DMXL2,GNB3,PAFAH1B1,WDR74,WDR13,PLRG1,PPP2R2A,NUP43,CORO6,NBEAL1,DENND3,NLE1,AMBRA1,NBEA,PAK1IP1,CORO1A,UTP4,SEH1L,LYST,PRPF19,WDR36,FBXW4,MIOS,WDPCP,ARHGEF10,WDHD1,MED16,SON,UBR4,GEMIN5,WDR5B,ELP2,WDR73,TECPR2,TSSC1,WDR7,IFT140,PRPF4,WDR66,DCAF5,WDR75,PIK3R4,MAPK8IP3,WDR26,WDR37,PEX7,WDR27,WDR60,TENM3,WDR61,WDFY3,TLE3,WDR18,UTP15,WDR25,EIF2A,PWP1,SEC31A,SPAG9,NOL10,PALB2,WDR35,HERC1,BCAS3,APAF1,TBL1X,WDR33,BRWD3,CORO2B,ANAPC4
IPR001680	WD40_repeat	4.21156060349823e-06	-12.3776772892914	268	61	0.0260572404955147	2341	18293	23312,84128,2784,5048,54663,64743,5356,30849,5520,80232,22884,348995,84940,65065,22898,54475,55626,5191,253769,26960,55003,55112,11151,84916,81929,1130,27339,134430,6468,80349,54468,23001,7090,57418,84135,11169,79446,10025,8021,25929,22872,11137,79954,54554,55250,57539,8925,84942,9895,54828,23335,7260,9742,9128,6907,317,144406,55339,254065,8816,10391	DMXL2,WDR75,GNB3,PAFAH1B1,WDR74,WDR13,PLRG1,PIK3R4,PPP2R2A,WDR26,WDR37,NUP43,CORO6,NBEAL1,DENND3,NLE1,AMBRA1,PEX7,WDR27,NBEA,PAK1IP1,WDR60,CORO1A,UTP4,SEH1L,LYST,PRPF19,WDR36,FBXW4,WDR61,MIOS,WDFY3,TLE3,WDR18,UTP15,WDHD1,WDR25,MED16,NUP214,GEMIN5,SEC31A,PWP1,NOL10,WDR5B,ELP2,WDR35,HERC1,WDR73,TECPR2,BCAS3,WDR7,TSSC1,IFT140,PRPF4,TBL1X,APAF1,WDR66,WDR33,BRWD3,DCAF5,CORO2B
IPR001965	Znf_PHD	5.45649683951859e-06	-12.1187035786075	91	28	0.0119607005553182	2341	18293	8110,55870,23469,8085,10765,55904,11176,5927,5977,51773,58508,26038,9866,84295,8028,11177,64324,29994,22992,23030,83860,1107,57117,8242,4297,54620,23081,7994	DPF3,ASH1L,PHF3,KMT2D,KDM5B,KMT2E,BAZ2A,KDM5A,DPF2,RSF1,KMT2C,CHD5,TRIM66,PHF6,MLLT10,BAZ1A,NSD1,BAZ2B,KDM2A,KDM4B,TAF3,CHD3,INTS12,KDM5C,KMT2A,FBXL19,KDM4C,KAT6A
IPR019787	Znf_PHD-finger	5.93540848203478e-06	-12.0345747063174	77	25	0.0106791969243913	2341	18293	8110,23469,8085,10765,55904,11176,5927,5977,4799,51773,58508,26038,9866,8028,11177,64324,29994,22992,83860,1107,57117,8242,54620,4297,7994	DPF3,PHF3,KMT2D,KDM5B,KMT2E,BAZ2A,KDM5A,DPF2,NFX1,RSF1,KMT2C,CHD5,TRIM66,MLLT10,BAZ1A,NSD1,BAZ2B,KDM2A,TAF3,CHD3,INTS12,KDM5C,FBXL19,KMT2A,KAT6A
IPR016024	ARM-type_fold	9.3500561140346e-06	-11.5801282131807	340	72	0.0307560871422469	2341	18293	25914,9820,4763,196528,162,65065,9675,8729,27043,9875,93436,63892,79798,752,23047,26960,9576,51194,1130,91010,339541,10717,133015,79591,23352,9933,55130,6873,8295,3839,10153,55127,23049,57409,3728,30849,23041,23039,28969,55374,89970,56259,25896,23534,26046,26019,64318,114793,64434,3475,26953,10274,23001,79613,57510,5910,57169,8289,8189,5291,55697,23154,219681,9811,64423,3836,10514,23287,64374,472,23214,79711	RTTN,CUL7,NF1,ARID2,AP1B1,NBEAL1,TTI1,GBF1,PELP1,URB1,ARMC6,THADA,ARMC5,FMNL1,PDS5B,NBEA,SPAG6,IPO11,LYST,FMNL3,C1orf228,AP4B1,PACRGL,C10orf76,UBR4,PUM3,ARMC4,TAF2,TRRAP,KPNA3,CEBPZ,HEATR1,SMG1,MIF4GD,JUP,PIK3R4,MON2,XPO7,BZW2,TMCO6,RSPRY1,CTNNBL1,INTS7,TNPO3,LTN1,UPF2,NOC3L,FMNL2,NOM1,IFRD1,RANBP6,STAG1,WDFY3,TANGO6,XPO5,RAP1GDS1,ZNFX1,ARID1A,SYMPK,PIK3CB,VAC14,NCDN,ARMC3,CTIF,INF2,KPNA1,MYBBP1A,AGTPBP1,SIL1,ATM,XPO6,IPO4
IPR006195	aa-tRNA-synth_II	9.53956033249059e-06	-11.5600631603071	17	10	0.00427167876975651	2341	18293	79731,2193,2058,6301,2617,4677,3035,10667,23438,6897	NARS2,FARSA,EPRS,SARS,GARS,NARS,HARS,FARS2,HARS2,TARS
IPR027417	P-loop_NTPase	1.04278046235379e-05	-11.4710347978244	853	152	0.064929517300299	2341	18293	546,3798,55308,6596,5881,58477,84319,5906,56252,56919,7516,4621,1106,5901,9319,9361,80205,4893,10257,23517,84056,26354,56992,1244,25902,4171,55601,55341,2770,5189,55614,58480,1654,55345,1107,10124,60678,5890,8714,146754,148252,9223,57634,204,4175,9886,102157402,26038,25981,10347,54606,89796,57647,23461,4174,783,55728,4522,55794,4651,1974,5908,617,57169,116987,23,127602,1778,10973,79915,4905,10670,11321,1662,10443,9653,26052,21,8886,523,164045,4647,29789,6597,4627,60625,254394,220869,91351,55636,80224,26154,4931,22989,4438,51727,6499,5984,5983,51678,51428,7879,4528,1742,2794,221079,10890,90957,25788,200894,55871,23195,5413,27314,23078,6819,54622,56652,3800,4976,84340,9258,10788,644019,64794,79659,89795,5210,57062,84125,53349,56916,10061,25830,9704,9790,9669,89941,60558,54555,166785,9927,84083,10847,782,79009,9931,143098,5001,4437,317,23095	ATRX,KIF5A,DDX19A,HLTF,RAC3,SRPRB,CMSS1,RAP1A,YLPM1,DHX33,XRCC2,MYH3,CHD2,RAN,TRIP13,LONP1,CHD9,NRAS,ABCC4,SKIV2L2,KATNAL1,GNL3,KIF15,ABCC2,MTHFD1L,MCM2,DDX60,LSG1,GNAI1,PEX1,KIF16B,RHOU,DDX3X,ZGRF1,CHD3,ARL4A,EEFSEC,RAD51B,ABCC3,DNAH2,DIRAS1,MAGI1,EP400,AK2,MCM6,RHOBTB1,AK6,CHD5,DNAH1,ABCA7,DDX56,NAV1,DHX37,ABCA5,MCM5,CACNB2,N4BP2,MTHFD1,DDX28,MYO10,EIF4A2,RAP1B,BCS1L,ZNFX1,AGAP1,ABCF1,DNAH14,DYNC1H1,ASCC3,ATAD5,NSF,RRAGA,GPN1,DDX10,N4BP2L2,HS2ST1,DNM3,ABCA3,DDX18,ATP6V1A,HFM1,MYO7A,OLA1,SMARCA4,MYH9,DHX35,MCM9,CBWD5,DDX60L,CHD7,NUBPL,ABCA12,NVL,MYH15,MSH4,CMPK1,SKIV2L,RFC4,RFC3,MPP6,DDX41,RAB7A,MTIF2,DLG4,GNL1,ARL5B,RAB10,DHX57,RAD54B,ARL13B,CBWD1,MDN1,SEPT5,RAB30,VWA8,SULT1C2,ARL15,C10orf2,KIF5C,OPA1,GFM2,MFHAS1,IQGAP2,CBWD6,DDX31,DYNC2H1,NAV3,PFKFB4,DDX24,LRRIQ1,ZFYVE1,SMARCAD1,ABCF2,SULT4A1,DHX34,BMS1,EIF5B,RHOT2,GUF1,DDX49,MMAA,MFN2,ZRANB3,SRCAP,CACNB1,DDX50,HELZ,MPP7,ORC5,MSH3,APAF1,KIF1B
