TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR001791	Laminin_G	0.000254901187518409	-8.27463458783116	58	3	0.0769230769230769	39	18293	26047,3339,1303	CNTNAP2,HSPG2,COL12A1
IPR010911	Rab_BD	0.000288395632714898	-8.15117729582036	12	2	0.0512820512820513	39	18293	25924,54843	MYRIP,SYTL2
IPR006212	Furin_repeat	0.000663170790655582	-7.31847799815355	18	2	0.0512820512820513	39	18293	3480,80144	IGF1R,FRAS1
IPR000772	Ricin_B_lectin	0.00198056710821171	-6.22437205699684	31	2	0.0512820512820513	39	18293	2591,202	GALNT3,AIM1
IPR015613	TIMP2	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	7077	TIMP2
IPR027006	SYTL2	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	54843	SYTL2
IPR030274	SUN3	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	256979	SUN3
IPR030334	ATP2C2	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	9914	ATP2C2
IPR005457	TRPC1_channel	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	7220	TRPC1
IPR026710	MDS1	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	2122	MECOM
IPR031265	SOX-8	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	30812	SOX8
IPR028303	FGF15/FGF19	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	9965	FGF19
IPR030797	MAP2	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	4133	MAP2
IPR028868	NETO2	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	81831	NETO2
IPR013588	MAP2_projctn	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	4133	MAP2
IPR015529	IL-18	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	3606	IL18
IPR030356	ATP9A	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	10079	ATP9A
IPR003071	Nuc_orp_HMR_rcpt	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	3164	NR4A1
IPR029831	Caspr2	0.00213196304599955	-6.15071210584961	1	1	0.0256410256410256	39	18293	26047	CNTNAP2
IPR008996	Cytokine_IL1-like	0.0022428635319273	-6.10000186705724	33	2	0.0512820512820513	39	18293	3606,9965	IL18,FGF19
IPR009030	Growth_fac_rcpt_N_dom	0.00248840591798751	-5.99611296709625	127	3	0.0769230769230769	39	18293	1490,3480,80144	CTGF,IGF1R,FRAS1
IPR023299	ATPase_P-typ_cyto_domN	0.00252068464259231	-5.98322473078973	35	2	0.0512820512820513	39	18293	10079,9914	ATP9A,ATP2C2
IPR001757	P_typ_ATPase	0.00266537625894218	-5.92741004598589	36	2	0.0512820512820513	39	18293	10079,9914	ATP9A,ATP2C2
IPR008250	ATPase_P-typ_transduc_dom_A	0.00266537625894218	-5.92741004598589	36	2	0.0512820512820513	39	18293	10079,9914	ATP9A,ATP2C2
IPR018303	ATPase_P-typ_P_site	0.00266537625894218	-5.92741004598589	36	2	0.0512820512820513	39	18293	10079,9914	ATP9A,ATP2C2
IPR001007	VWF_dom	0.00312238117487954	-5.76915937117077	39	2	0.0512820512820513	39	18293	1490,80144	CTGF,FRAS1
IPR023415	LDLR_class-A_CS	0.00328230584683447	-5.71920910149262	40	2	0.0512820512820513	39	18293	3339,81831	HSPG2,NETO2
IPR029207	FAM198	0.00425949712875171	-5.45860417056267	2	1	0.0256410256410256	39	18293	51313	FAM198B
IPR030413	Evi1/Prdm16	0.00425949712875171	-5.45860417056267	2	1	0.0256410256410256	39	18293	2122	MECOM
IPR006788	Myrip/Melanophilin	0.00425949712875171	-5.45860417056267	2	1	0.0256410256410256	39	18293	25924	MYRIP
IPR006413	P-type_ATPase_IIA_PMR1	0.00425949712875171	-5.45860417056267	2	1	0.0256410256410256	39	18293	9914	ATP2C2
IPR002172	LDrepeatLR_classA_rpt	0.00469602238801058	-5.36103942900378	48	2	0.0512820512820513	39	18293	3339,81831	HSPG2,NETO2
IPR009071	HMG_box_dom	0.00590971292421463	-5.13115802332689	54	2	0.0512820512820513	39	18293	30812,84969	SOX8,TOX2
IPR027324	MAP2/MAP4/Tau	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	4133	MAP2
IPR001156	Transferrin-like_dom	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	4241	MFI2
IPR016357	Transferrin	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	4241	MFI2
IPR003070	Nuc_orph_rcpt	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	3164	NR4A1
IPR009114	Angiomotin	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	51421	AMOTL2
IPR016246	Tyr_kinase_insulin-like_rcpt	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	3480	IGF1R
IPR022151	Sox_N	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	30812	SOX8
IPR018195	Transferrin_Fe_BS	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	4241	MFI2
IPR001084	MAP_tubulin-bd_rpt	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	4133	MAP2
IPR024646	Angiomotin_C	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	51421	AMOTL2
IPR006643	ZASP	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	27295	PDLIM3
IPR001006	Procol_lys_dOase	0.00638261120705537	-5.05417798525497	3	1	0.0256410256410256	39	18293	5352	PLOD2
IPR027465	TIMP_C	0.008501314223598	-4.76753451289652	4	1	0.0256410256410256	39	18293	7077	TIMP2
IPR000580	TSC-22_Dip_Bun	0.008501314223598	-4.76753451289652	4	1	0.0256410256410256	39	18293	1831	TSC22D3
IPR001820	TIMP	0.008501314223598	-4.76753451289652	4	1	0.0256410256410256	39	18293	7077	TIMP2
IPR030490	TIMP_CS	0.008501314223598	-4.76753451289652	4	1	0.0256410256410256	39	18293	7077	TIMP2
IPR015660	Achaete-scute-rel	0.0106156151006303	-4.54542923914396	5	1	0.0256410256410256	39	18293	647219	ASCL5
IPR012395	IGFBP_CNN	0.0106156151006303	-4.54542923914396	5	1	0.0256410256410256	39	18293	1490	CTGF
IPR013320	ConA-like_dom	0.0114049691697676	-4.47370612647017	220	3	0.0769230769230769	39	18293	26047,3339,1303	CNTNAP2,HSPG2,COL12A1
IPR008160	Collagen	0.0114283359627738	-4.47165939683311	76	2	0.0512820512820513	39	18293	1287,1303	COL4A5,COL12A1
IPR000742	EGF-like_dom	0.011971380320293	-4.42523645108198	224	3	0.0769230769230769	39	18293	26047,3339,80144	CNTNAP2,HSPG2,FRAS1
IPR023214	HAD-like_dom	0.0126038745126475	-4.37375101128968	80	2	0.0512820512820513	39	18293	10079,9914	ATP9A,ATP2C2
IPR000557	Calponin_repeat	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	8407	TAGLN2
IPR018459	RII_binding_1	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	4133	MAP2
IPR031847	DUF4749	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	27295	PDLIM3
IPR013555	TRP_dom	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	7220	TRPC1
IPR003111	LON_substr-bd_dom	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	79836	LONRF3
IPR001442	Collagen_VI_NC	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	1287	COL4A5
IPR002153	TRPC_channel	0.0127255227459793	-4.36414563715519	6	1	0.0256410256410256	39	18293	7220	TRPC1
IPR000494	Rcpt_L-dom	0.0148310460472295	-4.21103258943113	7	1	0.0256410256410256	39	18293	3480	IGF1R
IPR006211	Furin-like_Cys-rich_dom	0.0148310460472295	-4.21103258943113	7	1	0.0256410256410256	39	18293	3480	IGF1R
IPR001991	Na-dicarboxylate_symporter	0.0148310460472295	-4.21103258943113	7	1	0.0256410256410256	39	18293	6507	SLC1A3
IPR012919	SUN_dom	0.0148310460472295	-4.21103258943113	7	1	0.0256410256410256	39	18293	256979	SUN3
IPR018107	Na-dicarboxylate_symporter_CS	0.0148310460472295	-4.21103258943113	7	1	0.0256410256410256	39	18293	6507	SLC1A3
IPR029044	Nucleotide-diphossugar_trans	0.0154326912838105	-4.17126720890438	89	2	0.0512820512820513	39	18293	2591,5352	GALNT3,PLOD2
IPR000034	Laminin_IV	0.0169321938763362	-4.07853850609748	8	1	0.0256410256410256	39	18293	3339	HSPG2
IPR003644	Calx_beta	0.0190289750871577	-3.96179245686709	9	1	0.0256410256410256	39	18293	80144	FRAS1
IPR000975	IL-1_fam	0.0190289750871577	-3.96179245686709	9	1	0.0256410256410256	39	18293	3606	IL18
IPR004729	TRP_channel	0.0232094729828935	-3.76319476542091	11	1	0.0256410256410256	39	18293	7220	TRPC1
