TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR000738	WHEP-TRS_dom	3.41013727021066e-06	-12.5887580122853	5	5	0.003385240352065	1477	18293	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
IPR027417	P-loop_NTPase	1.31404583958524e-05	-11.2398146599872	853	104	0.0704129993229519	1477	18293	21,26052,546,8886,3798,164045,55308,4647,29789,6596,60625,5881,91351,254394,58477,80224,55636,84319,5906,26154,56919,7516,1106,22989,51727,4438,9361,5984,80205,51678,5983,4893,10257,23517,7879,84056,56992,1742,1244,25902,4171,55601,2770,55614,58480,1654,55345,1107,10124,60678,200894,5890,55871,8714,146754,23195,5413,9223,27314,57634,204,4175,6819,54622,56652,102157402,3800,25981,26038,10347,10788,644019,23461,4174,783,79659,55728,4522,89795,1974,10061,617,9704,5908,57169,9669,60558,54555,23,127602,84083,1778,10973,79915,9931,143098,4905,5001,10670,11321,317,1662,23095,9653	ABCA3,DNM3,ATRX,DDX18,KIF5A,HFM1,DDX19A,MYO7A,OLA1,HLTF,DHX35,RAC3,DDX60L,MCM9,SRPRB,NUBPL,CHD7,CMSS1,RAP1A,ABCA12,DHX33,XRCC2,CHD2,MYH15,CMPK1,MSH4,LONP1,RFC4,CHD9,MPP6,RFC3,NRAS,ABCC4,SKIV2L2,RAB7A,KATNAL1,KIF15,DLG4,ABCC2,MTHFD1L,MCM2,DDX60,GNAI1,KIF16B,RHOU,DDX3X,ZGRF1,CHD3,ARL4A,EEFSEC,ARL13B,RAD51B,CBWD1,ABCC3,DNAH2,MDN1,SEPT5,MAGI1,RAB30,EP400,AK2,MCM6,SULT1C2,ARL15,C10orf2,AK6,KIF5C,DNAH1,CHD5,ABCA7,IQGAP2,CBWD6,ABCA5,MCM5,CACNB2,DYNC2H1,N4BP2,MTHFD1,NAV3,EIF4A2,ABCF2,BCS1L,DHX34,RAP1B,ZNFX1,EIF5B,GUF1,DDX49,ABCF1,DNAH14,ZRANB3,DYNC1H1,ASCC3,ATAD5,HELZ,MPP7,NSF,ORC5,RRAGA,GPN1,APAF1,DDX10,KIF1B,HS2ST1
IPR001650	Helicase_C	1.38422775853469e-05	-11.1877830558989	108	23	0.015572105619499	1477	18293	80205,57634,546,23517,8886,164045,55308,1974,9704,6596,55601,60625,26038,91351,54555,84083,55636,1654,10973,56919,1107,1106,1662	CHD9,EP400,ATRX,SKIV2L2,DDX18,HFM1,DDX19A,EIF4A2,DHX34,HLTF,DDX60,DHX35,CHD5,DDX60L,DDX49,ZRANB3,CHD7,DDX3X,ASCC3,DHX33,CHD3,CHD2,DDX10
IPR014001	Helicase_ATP-bd	1.89655486311378e-05	-10.8728864546292	110	23	0.015572105619499	1477	18293	80205,57634,546,23517,8886,164045,55308,1974,9704,6596,55601,60625,26038,91351,54555,84083,55636,1654,10973,56919,1107,1106,1662	CHD9,EP400,ATRX,SKIV2L2,DDX18,HFM1,DDX19A,EIF4A2,DHX34,HLTF,DDX60,DHX35,CHD5,DDX60L,DDX49,ZRANB3,CHD7,DDX3X,ASCC3,DHX33,CHD3,CHD2,DDX10
IPR002305	aa-tRNA-synth_Ic	4.23408014496591e-05	-10.0697593635359	4	4	0.002708192281652	1477	18293	10352,8565,51067,7453	WARS2,YARS,YARS2,WARS
IPR009068	S15_NS1_RNA-bd	6.23372100266349e-05	-9.68295203877103	7	5	0.003385240352065	1477	18293	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
IPR002004	PABP_HYD	0.000198063458162751	-8.52692308284607	5	4	0.002708192281652	1477	18293	80336,51366,26986,8761	PABPC1L,UBR5,PABPC1,PABPC4
IPR006195	aa-tRNA-synth_II	0.000207904747617046	-8.47843052730022	17	7	0.004739336492891	1477	18293	79731,10667,23438,2058,2617,3035,6897	NARS2,FARS2,HARS2,EPRS,GARS,HARS,TARS
IPR003593	AAA+_ATPase	0.000209573457822576	-8.47043624606184	144	25	0.016926201760325	1477	18293	5984,5983,21,10257,84056,10061,617,1244,23,254394,10347,1778,10973,79915,26154,4905,23461,5890,11321,8714,146754,79659,23195,9361,89795	RFC4,RFC3,ABCA3,ABCC4,KATNAL1,ABCF2,BCS1L,ABCC2,ABCF1,MCM9,ABCA7,DYNC1H1,ASCC3,ATAD5,ABCA12,NSF,ABCA5,RAD51B,GPN1,ABCC3,DNAH2,DYNC2H1,MDN1,LONP1,NAV3
IPR017986	WD40_repeat_dom	0.000279890564246556	-8.18111187317024	298	42	0.028436018957346	1477	18293	23312,5048,54663,30849,5520,80232,22884,348995,84940,5191,253769,55003,55714,11151,84916,81929,27339,54468,7090,51057,9639,11169,79446,83939,6651,23352,11137,25929,79954,57539,8925,84942,23335,7260,54828,9742,9128,6907,317,55339,8816,10391	DMXL2,PAFAH1B1,WDR74,PIK3R4,PPP2R2A,WDR26,WDR37,NUP43,CORO6,PEX7,WDR27,PAK1IP1,TENM3,CORO1A,UTP4,SEH1L,PRPF19,MIOS,TLE3,WDPCP,ARHGEF10,WDHD1,WDR25,EIF2A,SON,UBR4,PWP1,GEMIN5,NOL10,WDR35,HERC1,WDR73,WDR7,TSSC1,BCAS3,IFT140,PRPF4,TBL1X,APAF1,WDR33,DCAF5,CORO2B
IPR015943	WD40/YVTN_repeat-like_dom	0.000297302202586186	-8.12076141935603	327	45	0.030467163168585	1477	18293	23312,5048,54663,30849,5520,80232,22884,9723,348995,84940,57556,5364,5191,253769,223117,55003,11151,4233,84916,81929,27339,54468,7090,9639,11169,79446,6405,83939,11137,25929,79954,57539,8925,84942,23335,7260,54828,9742,9128,10512,6907,317,55339,8816,10391	DMXL2,PAFAH1B1,WDR74,PIK3R4,PPP2R2A,WDR26,WDR37,SEMA3E,NUP43,CORO6,SEMA6A,PLXNB1,PEX7,WDR27,SEMA3D,PAK1IP1,CORO1A,MET,UTP4,SEH1L,PRPF19,MIOS,TLE3,ARHGEF10,WDHD1,WDR25,SEMA3F,EIF2A,PWP1,GEMIN5,NOL10,WDR35,HERC1,WDR73,WDR7,TSSC1,BCAS3,IFT140,PRPF4,SEMA3C,TBL1X,APAF1,WDR33,DCAF5,CORO2B
IPR004154	Anticodon-bd	0.000466922096859909	-7.66934813035654	14	6	0.004062288422478	1477	18293	23438,2058,2617,11232,3035,6897	HARS2,EPRS,GARS,POLG2,HARS,TARS
IPR004895	Prenylated_rab_accept_PRA1	0.000525382129252992	-7.5513846948943	3	3	0.002031144211239	1477	18293	10567,10550,11230	RABAC1,ARL6IP5,PRAF2
IPR018935	RIO_kinase_CS	0.000525382129252992	-7.5513846948943	3	3	0.002031144211239	1477	18293	83732,55781,8780	RIOK1,RIOK2,RIOK3
IPR017877	Myb-like_dom	0.000556013544675286	-7.49471790308364	6	4	0.002708192281652	1477	18293	57634,54856,9988,6621	EP400,GON4L,DMTF1,SNAPC4
IPR003347	JmjC_dom	0.000723979587509393	-7.23074736002382	32	9	0.00609343263371699	1477	18293	23135,51780,55806,10765,5927,84864,23210,8242,23081	KDM6B,KDM3B,HR,KDM5B,KDM5A,MINA,JMJD6,KDM5C,KDM4C
IPR000330	SNF2_N	0.000723979587509393	-7.23074736002382	32	9	0.00609343263371699	1477	18293	55636,80205,57634,1107,546,1106,6596,26038,84083	CHD7,CHD9,EP400,CHD3,ATRX,CHD2,HLTF,CHD5,ZRANB3
IPR001606	ARID_dom	0.000725222344732353	-7.22903226773758	15	6	0.004062288422478	1477	18293	8242,10765,10620,5927,57492,84159	KDM5C,KDM5B,ARID3B,KDM5A,ARID1B,ARID5B
IPR001965	Znf_PHD	0.000886794038209572	-7.02789780305756	91	17	0.011509817197021	1477	18293	55870,23469,10765,55904,5927,58508,26038,84295,9866,8028,11177,83860,1107,8242,4297,23081,7994	ASH1L,PHF3,KDM5B,KMT2E,KDM5A,KMT2C,CHD5,PHF6,TRIM66,MLLT10,BAZ1A,TAF3,CHD3,KDM5C,KMT2A,KDM4C,KAT6A
IPR002073	PDEase_catalytic_dom	0.000932529825251317	-6.97760942277407	21	7	0.004739336492891	1477	18293	5138,5141,5140,5152,10846,5139,5142	PDE2A,PDE4A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
IPR023174	PDEase_CS	0.000932529825251317	-6.97760942277407	21	7	0.004739336492891	1477	18293	5138,5141,5140,5152,10846,5139,5142	PDE2A,PDE4A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
IPR019787	Znf_PHD-finger	0.00111868345230563	-6.79560277411707	77	15	0.010155721056195	1477	18293	11177,23469,10765,55904,1107,83860,5927,4799,8242,58508,4297,26038,9866,7994,8028	BAZ1A,PHF3,KDM5B,KMT2E,CHD3,TAF3,KDM5A,NFX1,KDM5C,KMT2C,KMT2A,CHD5,TRIM66,KAT6A,MLLT10
IPR004939	APC_su10/DOC_dom	0.00121424865752602	-6.71362978233836	7	4	0.002708192281652	1477	18293	8924,23077,23140,10393	HERC2,MYCBP2,ZZEF1,ANAPC10
IPR001005	SANT/Myb	0.00151953488770927	-6.48935098587806	49	11	0.00744752877454299	1477	18293	55636,57634,6599,54856,55809,64215,9988,6621,473,57585,4602	CHD7,EP400,SMARCC1,GON4L,TRERF1,DNAJC1,DMTF1,SNAPC4,RERE,CRAMP1,MYB
IPR014729	Rossmann-like_a/b/a_fold	0.00153290637791256	-6.48058975211683	42	10	0.00677048070412999	1477	18293	80308,833,2058,440,10352,4141,89978,8565,51067,7453	FLAD1,CARS,EPRS,ASNS,WARS2,MARS,DPH6,YARS,YARS2,WARS
IPR001680	WD40_repeat	0.00175165232852095	-6.34719574878531	268	36	0.024373730534868	1477	18293	23312,5048,54663,30849,5520,80232,22884,348995,84940,5191,253769,55003,11151,84916,81929,27339,54468,7090,11169,79446,11137,25929,79954,57539,8925,84942,23335,7260,54828,9742,9128,317,6907,55339,8816,10391	DMXL2,PAFAH1B1,WDR74,PIK3R4,PPP2R2A,WDR26,WDR37,NUP43,CORO6,PEX7,WDR27,PAK1IP1,CORO1A,UTP4,SEH1L,PRPF19,MIOS,TLE3,WDHD1,WDR25,PWP1,GEMIN5,NOL10,WDR35,HERC1,WDR73,WDR7,TSSC1,BCAS3,IFT140,PRPF4,APAF1,TBL1X,WDR33,DCAF5,CORO2B
