TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00458	WHEP-TRS	3.93844527853318e-06	-12.4447245118863	5	5	0.00361794500723589	1382	16629	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
PF00271	Helicase_C	1.58635417044608e-05	-11.051487056192	106	23	0.0166425470332851	1382	16629	57634,80205,23517,546,8886,1974,55308,164045,9704,6596,55601,54555,26038,60625,91351,84083,55636,1654,10973,56919,1107,1106,1662	EP400,CHD9,SKIV2L2,ATRX,DDX18,EIF4A2,DDX19A,HFM1,DHX34,HLTF,DDX60,DDX49,CHD5,DHX35,DDX60L,ZRANB3,CHD7,DDX3X,ASCC3,DHX33,CHD3,CHD2,DDX10
PF03129	HGTP_anticodon	2.1982212112453e-05	-10.725276971994	9	6	0.00434153400868307	1382	16629	23438,2058,2617,3035,11232,6897	HARS2,EPRS,GARS,HARS,POLG2,TARS
PF00579	tRNA-synt_1b	4.75157131761326e-05	-9.95445009791911	4	4	0.00289435600578871	1382	16629	10352,8565,51067,7453	WARS2,YARS,YARS2,WARS
PF00658	PABP	0.000221824784762581	-8.41362274554615	5	4	0.00289435600578871	1382	16629	80336,26986,51366,8761	PABPC1L,PABPC1,UBR5,PABPC4
PF00628	PHD	0.000307031990180528	-8.08855861326335	53	13	0.00940665701881331	1382	16629	11177,23469,10765,55904,1107,83860,5927,8242,58508,4297,26038,9866,7994	BAZ1A,PHF3,KDM5B,KMT2E,CHD3,TAF3,KDM5A,KDM5C,KMT2C,KMT2A,CHD5,TRIM66,KAT6A
PF02373	JmjC	0.000351508082235434	-7.95327785342048	23	8	0.00578871201157742	1382	16629	23135,51780,55806,10765,5927,23210,8242,23081	KDM6B,KDM3B,HR,KDM5B,KDM5A,JMJD6,KDM5C,KDM4C
PF03208	PRA1	0.000572876176404316	-7.46484096162749	3	3	0.00217076700434153	1382	16629	10567,10550,11230	RABAC1,ARL6IP5,PRAF2
PF01388	ARID	0.000845616600990997	-7.07544449139779	15	6	0.00434153400868307	1382	16629	8242,10765,10620,5927,57492,84159	KDM5C,KDM5B,ARID3B,KDM5A,ARID1B,ARID5B
PF00176	SNF2_N	0.000891039656505924	-7.02312162362092	32	9	0.0065123010130246	1382	16629	55636,80205,57634,546,1107,1106,6596,26038,84083	CHD7,CHD9,EP400,ATRX,CHD3,CHD2,HLTF,CHD5,ZRANB3
PF00233	PDEase_I	0.00110656655530804	-6.80649325088483	21	7	0.00506512301013025	1382	16629	5138,5141,5140,5152,10846,5139,5142	PDE2A,PDE4A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
PF03256	ANAPC10	0.00135451653732474	-6.60431068734072	7	4	0.00289435600578871	1382	16629	8924,23077,23140,10393	HERC2,MYCBP2,ZZEF1,ANAPC10
PF08313	SCA7	0.00214895756609715	-6.14277240739985	4	3	0.00217076700434153	1382	16629	222255,6314,127002	ATXN7L1,ATXN7,ATXN7L2
PF06650	SHR-BD	0.00214895756609715	-6.14277240739985	4	3	0.00217076700434153	1382	16629	55187,54832,157680	VPS13D,VPS13C,VPS13B
PF08429	PLU-1	0.00214895756609715	-6.14277240739985	4	3	0.00217076700434153	1382	16629	8242,10765,5927	KDM5C,KDM5B,KDM5A
PF16909	VPS13_C	0.00214895756609715	-6.14277240739985	4	3	0.00217076700434153	1382	16629	55187,54832,157680	VPS13D,VPS13C,VPS13B
PF12624	Chorein_N	0.00253098994192875	-5.97914477137855	8	4	0.00289435600578871	1382	16629	55187,55102,54832,157680	VPS13D,ATG2B,VPS13C,VPS13B
PF00102	Y_phosphatase	0.00270969013325886	-5.91092099259897	37	9	0.0065123010130246	1382	16629	5771,5786,5797,5775,5782,8073,5793,5784,5796	PTPN2,PTPRA,PTPRM,PTPN4,PTPN12,PTP4A2,PTPRG,PTPN14,PTPRK
PF07728	AAA_5	0.00287290923220472	-5.85243009286913	13	5	0.00361794500723589	1382	16629	1778,146754,79659,23195,25981	DYNC1H1,DNAH2,DYNC2H1,MDN1,DNAH1
