	chrom	start	end	gid	gname	tid	strand	biotype	byname.uniq	bygid.uniq
59602	chr2R	7924811	7926356	FBgn0010339	128up	FBtr0087976	+	protein_coding	TRUE	TRUE
184612	chr3R	9950148	9951266	FBgn0010340	140up	FBtr0082909	-	protein_coding	TRUE	TRUE
123344	chr3R	14068253	14075030	FBgn0020238	14-3-3epsilon	FBtr0083566	+	protein_coding	TRUE	TRUE
55017	chr2R	5987182	5997192	FBgn0004907	14-3-3zeta	FBtr0088412	+	protein_coding	TRUE	TRUE
66342	chr2R	15999016	16004437	FBgn0004364	18w	FBtr0086309	+	protein_coding	TRUE	TRUE
145864	chr3L	13987331	13989671	FBgn0250848	26-29-p	FBtr0075766	+	protein_coding	TRUE	TRUE
70845	chr3R	8947673	8981386	FBgn0260793	2mit	FBtr0330143	-	protein_coding	TRUE	TRUE
89489	chr3R	19889308	19934671	FBgn0053100	4EHP	FBtr0084587	-	protein_coding	TRUE	TRUE
122313	chr2R	14954660	15009463	FBgn0004168	5-HT1A	FBtr0086577	+	protein_coding	TRUE	TRUE
86960	chr2R	14909830	14920147	FBgn0263116	5-HT1B	FBtr0330056	-	protein_coding	TRUE	TRUE
99352	chr3R	438597	459026	FBgn0087012	5-HT2	FBtr0078854	+	protein_coding	TRUE	TRUE
64185	chr3R	26794864	26842569	FBgn0004573	5-HT7	FBtr0085746	-	protein_coding	TRUE	TRUE
163948	chr3R	20866149	20870857	FBgn0259178	5PtaseI	FBtr0299662	-	protein_coding	TRUE	TRUE
73090	chr3R	1202476	1203701	FBgn0041707	7B2	FBtr0078789	+	protein_coding	TRUE	TRUE
109097	chr3L	19464756	19465328	FBgn0052208	825-Oak	FBtr0273406	-	protein_coding	TRUE	TRUE
173232	chr2R	18024496	18060346	FBgn0000008	a	FBtr0071763	+	protein_coding	TRUE	TRUE
84363	chr3L	17016223	17016841	FBgn0011293	a10	FBtr0075290	-	protein_coding	TRUE	TRUE
23084	chr2L	13019575	13021307	FBgn0028965	A16	FBtr0080427	-	protein_coding	TRUE	TRUE
159880	chr3L	10474512	10586503	FBgn0052062	A2bp1	FBtr0305093	+	protein_coding	TRUE	TRUE
186672	chr2L	1329161	1329904	FBgn0011294	a5	FBtr0077922	+	protein_coding	TRUE	TRUE
190716	chrX	1587648	1589922	FBgn0023130	a6	FBtr0333116	-	protein_coding	TRUE	TRUE
16347	chr2L	17474912	17477888	FBgn0027885	Aac11	FBtr0081001	-	protein_coding	TRUE	TRUE
139817	chr2L	8378262	8381764	FBgn0027094	Aats-ala	FBtr0079721	-	protein_coding	TRUE	TRUE
68351	chr3L	5139198	5142952	FBgn0028962	Aats-ala-m	FBtr0077168	+	protein_coding	TRUE	TRUE
29819	chrX	15735796	15738169	FBgn0027093	Aats-arg	FBtr0074178	-	protein_coding	TRUE	TRUE
86910	chr2L	19129469	19131954	FBgn0086443	Aats-asn	FBtr0332578	-	protein_coding	TRUE	TRUE
119937	chr2R	8764509	8770673	FBgn0002069	Aats-asp	FBtr0332882	+	protein_coding	TRUE	TRUE
110863	chr2R	12030655	12033415	FBgn0027091	Aats-cys	FBtr0087234	+	protein_coding	TRUE	TRUE
152060	chr3R	21088989	21091457	FBgn0027090	Aats-gln	FBtr0084866	-	protein_coding	TRUE	TRUE
52731	chr3R	19777852	19784117	FBgn0005674	Aats-glupro	FBtr0084511	-	protein_coding	TRUE	TRUE
102242	chr3L	15088242	15090786	FBgn0027088	Aats-gly	FBtr0333934	+	protein_coding	TRUE	TRUE
20739	chrX	18409432	18414478	FBgn0027087	Aats-his	FBtr0074593	+	protein_coding	TRUE	TRUE
