TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS51185	WHEP_TRS_2	6.79995403108936e-07	-14.201179798933	5	5	0.00719424460431655	695	11866	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
PS00762	WHEP_TRS_1	6.79995403108936e-07	-14.201179798933	5	5	0.00719424460431655	695	11866	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
PS51192	HELICASE_ATP_BIND_1	1.4395322358343e-05	-11.1486072403792	108	19	0.0273381294964029	695	11866	57634,80205,8886,546,164045,9704,6596,55601,54555,91351,60625,26038,84083,55636,10973,56919,1107,1106,1662	EP400,CHD9,DDX18,ATRX,HFM1,DHX34,HLTF,DDX60,DDX49,DDX60L,DHX35,CHD5,ZRANB3,CHD7,ASCC3,DHX33,CHD3,CHD2,DDX10
PS51194	HELICASE_CTER	1.4395322358343e-05	-11.1486072403792	108	19	0.0273381294964029	695	11866	80205,57634,546,8886,164045,9704,6596,55601,60625,26038,91351,54555,84083,55636,10973,56919,1107,1106,1662	CHD9,EP400,ATRX,DDX18,HFM1,DHX34,HLTF,DDX60,DHX35,CHD5,DDX60L,DDX49,ZRANB3,CHD7,ASCC3,DHX33,CHD3,CHD2,DDX10
PS50862	AA_TRNA_LIGASE_II	2.65963067513304e-05	-10.5347381957513	17	7	0.0100719424460432	695	11866	79731,10667,23438,2058,2617,3035,6897	NARS2,FARS2,HARS2,EPRS,GARS,HARS,TARS
PS50016	ZF_PHD_2	8.42304375259284e-05	-9.3819542112313	74	14	0.0201438848920863	695	11866	11177,23469,10765,55904,1107,83860,4799,8242,58508,4297,26038,9866,7994,8028	BAZ1A,PHF3,KDM5B,KMT2E,CHD3,TAF3,NFX1,KDM5C,KMT2C,KMT2A,CHD5,TRIM66,KAT6A,MLLT10
PS00126	PDEASE_I	0.000129367163693828	-8.95285596626159	21	7	0.0100719424460432	695	11866	5138,5141,5140,5152,10846,5139,5142	PDE2A,PDE4A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
PS01359	ZF_PHD_1	0.000175185813338386	-8.64966335683653	79	14	0.0201438848920863	695	11866	11177,23469,10765,83860,1107,55904,4799,8242,58508,4297,26038,9866,7994,8028	BAZ1A,PHF3,KDM5B,TAF3,CHD3,KMT2E,NFX1,KDM5C,KMT2C,KMT2A,CHD5,TRIM66,KAT6A,MLLT10
PS51284	DOC	0.000354161644875579	-7.94575712510917	7	4	0.00575539568345324	695	11866	8924,23077,23140,10393	HERC2,MYCBP2,ZZEF1,ANAPC10
PS50051	MCM_2	0.000675510554728161	-7.3000417756259	8	4	0.00575539568345324	695	11866	4175,4171,254394,4174	MCM6,MCM2,MCM9,MCM5
PS51011	ARID	0.00124642865714785	-6.68747289117705	15	5	0.00719424460431655	695	11866	8242,10765,10620,57492,84159	KDM5C,KDM5B,ARID3B,ARID1B,ARID5B
PS50229	WH1	0.00276382517999181	-5.89113962399459	11	4	0.00575539568345324	695	11866	55740,200734,51466,9455	ENAH,SPRED2,EVL,HOMER2
PS00721	FTHFS_1	0.00342588033004605	-5.67639680962429	2	2	0.00287769784172662	695	11866	25902,4522	MTHFD1L,MTHFD1
PS00722	FTHFS_2	0.00342588033004605	-5.67639680962429	2	2	0.00287769784172662	695	11866	25902,4522	MTHFD1L,MTHFD1
PS00847	MCM_1	0.00350104580824207	-5.65469355276443	6	3	0.00431654676258993	695	11866	4175,4171,4174	MCM6,MCM2,MCM5
PS50055	TYR_PHOSPHATASE_PTP	0.00431344429990755	-5.44601855250017	36	7	0.0100719424460432	695	11866	5782,5771,5775,5793,5786,5797,5796	PTPN12,PTPN2,PTPN4,PTPRG,PTPRA,PTPRM,PTPRK
PS51042	CUT	0.00586120893087922	-5.13939939447277	7	3	0.00431654676258993	695	11866	23314,9480,1523	SATB2,ONECUT2,CUX1
PS50056	TYR_PHOSPHATASE_2	0.00670042929035544	-5.00558368145044	80	11	0.0158273381294964	695	11866	5771,7803,85464,5786,5797,5775,5782,5793,8073,8776,5796	PTPN2,PTP4A1,SSH2,PTPRA,PTPRM,PTPN4,PTPN12,PTPRG,PTP4A2,MTMR1,PTPRK
PS51184	JMJC	0.00968081850494429	-4.63760882497244	32	6	0.00863309352517986	695	11866	23135,51780,55806,8242,10765,23081	KDM6B,KDM3B,HR,KDM5C,KDM5B,KDM4C
PS51675	SAM_MT_TRM10	0.00987741592818432	-4.61750434716174	3	2	0.00287769784172662	695	11866	158234,93587	TRMT10B,TRMT10A
PS01245	RIO1	0.00987741592818432	-4.61750434716174	3	2	0.00287769784172662	695	11866	83732,8780	RIOK1,RIOK3
PS50013	CHROMO_2	0.0113883924193003	-4.47516065114175	24	5	0.00719424460431655	695	11866	55636,1106,80205,1107,26038	CHD7,CHD2,CHD9,CHD3,CHD5
PS00626	RCC1_2	0.0120615357821357	-4.41773375067175	16	4	0.00575539568345324	695	11866	8924,23077,26297,8925	HERC2,MYCBP2,SERGEF,HERC1
PS01286	FA58C_2	0.0120615357821357	-4.41773375067175	16	4	0.00575539568345324	695	11866	8829,79937,728577,4240	NRP1,CNTNAP3,CNTNAP3B,MFGE8
PS50025	LAM_G_DOMAIN	0.0149507546834042	-4.20299349992428	35	6	0.00863309352517986	695	11866	3910,1951,79937,2195,3911,728577	LAMA4,CELSR3,CNTNAP3,FAT1,LAMA5,CNTNAP3B
PS00740	MAM_1	0.0176085508596984	-4.03937065062112	10	3	0.00431654676258993	695	11866	8829,5797,5796	NRP1,PTPRM,PTPRK
PS51183	JMJN	0.0176085508596984	-4.03937065062112	10	3	0.00431654676258993	695	11866	8242,10765,23081	KDM5C,KDM5B,KDM4C
PS51263	ADF_H	0.0176085508596984	-4.03937065062112	10	3	0.00431654676258993	695	11866	1627,23406,2764	DBN1,COTL1,GMFB
PS50255	CYTOCHROME_B5_2	0.0176085508596984	-4.03937065062112	10	3	0.00431654676258993	695	11866	3992,8924,80777	FADS1,HERC2,CYB5B
PS01285	FA58C_1	0.0184804066338124	-3.99104420901651	18	4	0.00575539568345324	695	11866	8829,79937,728577,4240	NRP1,CNTNAP3,CNTNAP3B,MFGE8
PS00354	HMGI_Y	0.0189894010034059	-3.9638742973934	4	2	0.00287769784172662	695	11866	8091,58508	HMGA2,KMT2C
PS00103	PUR_PYR_PR_TRANSFER	0.0189894010034059	-3.9638742973934	4	2	0.00287769784172662	695	11866	353,3251	APRT,HPRT1
PS00383	TYR_PHOSPHATASE_1	0.0222054411735963	-3.80741792222575	71	9	0.0129496402877698	695	11866	5771,85464,5786,5797,5775,5782,5793,8776,5796	PTPN2,SSH2,PTPRA,PTPRM,PTPN4,PTPN12,PTPRG,MTMR1,PTPRK
PS50194	FILAMIN_REPEAT	0.0231753229901324	-3.76466723062055	11	3	0.00431654676258993	695	11866	2318,23077,2317	FLNC,MYCBP2,FLNB
PS50012	RCC1_3	0.0266768318407693	-3.6239598115835	20	4	0.00575539568345324	695	11866	8924,23077,26297,8925	HERC2,MYCBP2,SERGEF,HERC1
PS50280	SET	0.0281319738092636	-3.57084849153127	51	7	0.0100719424460432	695	11866	639,58508,10919,55904,4297,63976,79813	PRDM1,KMT2C,EHMT2,KMT2E,KMT2A,PRDM16,EHMT1
PS51542	FYRN	0.0304289290529382	-3.49236150948363	5	2	0.00287769784172662	695	11866	58508,4297	KMT2C,KMT2A
PS51543	FYRC	0.0304289290529382	-3.49236150948363	5	2	0.00287769784172662	695	11866	58508,4297	KMT2C,KMT2A
PS01354	HEMATOPO_REC_L_F3	0.0304289290529382	-3.49236150948363	5	2	0.00287769784172662	695	11866	3570,3590	IL6R,IL11RA
PS51259	MHD2	0.0304289290529382	-3.49236150948363	5	2	0.00287769784172662	695	11866	201294,23025	UNC13D,UNC13A
PS50275	SAC	0.0304289290529382	-3.49236150948363	5	2	0.00287769784172662	695	11866	8871,8867	SYNJ2,SYNJ1
PS51309	PABC	0.0304289290529382	-3.49236150948363	5	2	0.00287769784172662	695	11866	51366,26986	UBR5,PABPC1
PS50022	FA58C_3	0.0314704413282278	-3.45870654422825	21	4	0.00575539568345324	695	11866	8829,79937,728577,4240	NRP1,CNTNAP3,CNTNAP3B,MFGE8
PS00690	DEAH_ATP_HELICASE	0.0367367343009349	-3.30397808989228	22	4	0.00575539568345324	695	11866	1107,56919,60625,26038	CHD3,DHX33,DHX35,CHD5
PS00028	ZINC_FINGER_C2H2_1	0.0379258488993345	-3.27212237036365	754	56	0.0805755395683453	695	11866	9534,51123,9658,84614,51427,55892,7546,23567,23126,7675,8411,84622,79149,91752,152485,49854,57507,54807,93134,7586,221895,7701,6935,7639,374655,10794,85460,7551,10196,7709,10194,171392,10780,7678,7748,6239,340252,63976,147657,57677,57473,639,7644,342892,7562,64375,23394,7776,347344,221527,80818,79670,80264,84307,55205,22847	ZNF254,ZNF706,ZNF516,ZBTB37,ZNF107,MYNN,ZIC2,ZNF346,POGZ,ZNF121,EEA1,ZNF594,ZSCAN5A,ZNF804A,ZNF827,ZBTB21,ZNF608,ZNF586,ZNF561,ZKSCAN1,JAZF1,ZNF142,ZEB1,ZNF85,ZNF710,ZNF460,ZNF518B,ZNF3,PRMT3,ZBTB17,TSHZ1,ZNF675,ZNF234,ZNF124,ZNF195,RREB1,ZNF680,PRDM16,ZNF480,ZFP14,ZNF512B,PRDM1,ZNF91,ZNF850,ZNF708,IKZF4,ADNP,ZNF236,ZNF81,ZBTB12,ZNF436,ZCCHC6,ZNF430,ZNF397,ZNF532,ZNF507
PS50294	WD_REPEATS_REGION	0.0411504589046363	-3.19052019992522	239	21	0.0302158273381295	695	11866	23312,7090,11169,79446,80232,348995,84940,25929,57539,8925,253769,23335,55003,6907,11151,317,55339,84916,8816,10391,27339	DMXL2,TLE3,WDHD1,WDR25,WDR26,NUP43,CORO6,GEMIN5,WDR35,HERC1,WDR27,WDR7,PAK1IP1,TBL1X,CORO1A,APAF1,WDR33,UTP4,DCAF5,CORO2B,PRPF19
PS00350	MADS_BOX_1	0.0438928706762894	-3.12600337126255	6	2	0.00287769784172662	695	11866	4209,4208	MEF2D,MEF2C
PS50066	MADS_BOX_2	0.0438928706762894	-3.12600337126255	6	2	0.00287769784172662	695	11866	4209,4208	MEF2D,MEF2C
PS50082	WD_REPEATS_2	0.0444048558917569	-3.11440644859262	227	20	0.0287769784172662	695	11866	23312,7090,11169,79446,80232,348995,84940,25929,57539,8925,253769,23335,55003,6907,11151,317,55339,8816,10391,27339	DMXL2,TLE3,WDHD1,WDR25,WDR26,NUP43,CORO6,GEMIN5,WDR35,HERC1,WDR27,WDR7,PAK1IP1,TBL1X,CORO1A,APAF1,WDR33,DCAF5,CORO2B,PRPF19
PS00178	AA_TRNA_LIGASE_I	0.0537270210047348	-2.92383921957645	15	3	0.00431654676258993	695	11866	4141,2058,7453	MARS,EPRS,WARS
PS00546	CYSTEINE_SWITCH	0.0537270210047348	-2.92383921957645	15	3	0.00431654676258993	695	11866	4316,4325,4323	MMP7,MMP16,MMP14
