	chrom	start	end	gid	gname	tid	strand	biotype	byname.uniq	bygid.uniq
8715	chrXIII	387315	388244	YMR056C	AAC1	YMR056C	-	protein_coding	TRUE	TRUE
2281	chrII	415983	416906	YBR085W	AAC3	YBR085W	+	protein_coding	TRUE	TRUE
7230	chrX	727405	728271	YJR155W	AAD10	YJR155W	+	protein_coding	TRUE	TRUE
9648	chrXIV	16118	17248	YNL331C	AAD14	YNL331C	-	protein_coding	TRUE	TRUE
2253	chrXV	1647	2078	YOL165C	AAD15	YOL165C	-	protein_coding	TRUE	TRUE
9052	chrVI	14305	14763	YFL057C	AAD16	YFL057C	-	protein_coding	TRUE	TRUE
11029	chrIII	313890	314981	YCR107W	AAD3	YCR107W	+	protein_coding	TRUE	TRUE
675	chrIV	17577	18566	YDL243C	AAD4	YDL243C	-	protein_coding	TRUE	TRUE
11714	chrVI	14793	15431	YFL056C	AAD6	YFL056C	-	protein_coding	TRUE	TRUE
6004	chrXIV	359596	360639	YNL141W	AAH1	YNL141W	+	protein_coding	TRUE	TRUE
10390	chrVIII	198740	201310	YHR047C	AAP1	YHR047C	-	protein_coding	TRUE	TRUE
11826	chrII	86722	87789	YBL074C	AAR2	YBL074C	-	protein_coding	TRUE	TRUE
2289	chrXI	237536	238891	YKL106W	AAT1	YKL106W	+	protein_coding	TRUE	TRUE
4130	chrXII	196829	198085	YLR027C	AAT2	YLR027C	-	protein_coding	TRUE	TRUE
13593	chrII	690383	691693	YBR236C	ABD1	YBR236C	-	protein_coding	TRUE	TRUE
12847	chrXI	226570	228765	YKL112W	ABF1	YKL112W	+	protein_coding	TRUE	TRUE
6554	chrXIII	411569	412120	YMR072W	ABF2	YMR072W	+	protein_coding	TRUE	TRUE
11249	chrX	628712	629083	YJR108W	ABM1	YJR108W	+	protein_coding	TRUE	TRUE
10959	chrIII	265068	266846	YCR088W	ABP1	YCR088W	+	protein_coding	TRUE	TRUE
5840	chrXV	784857	786744	YOR239W	ABP140	YOR239W	+	protein_coding	TRUE	TRUE
5295	chrXIV	687635	689998	YNR033W	ABZ1	YNR033W	+	protein_coding	TRUE	TRUE
13060	chrXIII	848685	849809	YMR289W	ABZ2	YMR289W	+	protein_coding	TRUE	TRUE
11259	chrV	240032	241501	YER045C	ACA1	YER045C	-	protein_coding	TRUE	TRUE
8799	chrVII	559731	559994	YGR037C	ACB1	YGR037C	-	protein_coding	TRUE	TRUE
331	chrXIV	654673	661374	YNR016C	ACC1	YNR016C	-	protein_coding	TRUE	TRUE
6817	chrXII	404510	406822	YLR131C	ACE2	YLR131C	-	protein_coding	TRUE	TRUE
12734	chrXII	429677	432016	YLR144C	ACF2	YLR144C	-	protein_coding	TRUE	TRUE
8357	chrX	582608	583537	YJR083C	ACF4	YJR083C	-	protein_coding	TRUE	TRUE
7894	chrII	194122	195702	YBL015W	ACH1	YBL015W	+	protein_coding	TRUE	TRUE
94	chrIV	96082	97953	YDL203C	ACK1	YDL203C	-	protein_coding	TRUE	TRUE
3154	chrXVI	38169	38798	YPL267W	ACM1	YPL267W	+	protein_coding	TRUE	TRUE
12553	chrIV	1470017	1470418	YDR511W	ACN9	YDR511W	+	protein_coding	TRUE	TRUE
9807	chrXII	735212	737548	YLR304C	ACO1	YLR304C	-	protein_coding	TRUE	TRUE
50	chrX	56444	58813	YJL200C	ACO2	YJL200C	-	protein_coding	TRUE	TRUE
11403	chrXI	80160	80537	YKL192C	ACP1	YKL192C	-	protein_coding	TRUE	TRUE
7896	chrI	42881	45022	YAL054C	ACS1	YAL054C	-	protein_coding	TRUE	TRUE
6240	chrXII	445524	447575	YLR153C	ACS2	YLR153C	-	protein_coding	TRUE	TRUE
13331	chrVI	53260	54696	YFL039C	ACT1	YFL039C	-	protein_coding	TRUE	TRUE
1198	chrIV	1356065	1357369	YDR448W	ADA2	YDR448W	+	protein_coding	TRUE	TRUE
6513	chrXIII	628189	628785	YMR184W	ADD37	YMR184W	+	protein_coding	TRUE	TRUE
9873	chrXI	49006	49809	YKL206C	ADD66	YKL206C	-	protein_coding	TRUE	TRUE
12169	chrI	169375	170295	YAR015W	ADE1	YAR015W	+	protein_coding	TRUE	TRUE
5900	chrXIV	234413	235714	YNL220W	ADE12	YNL220W	+	protein_coding	TRUE	TRUE
3018	chrXII	844282	845730	YLR359W	ADE13	YLR359W	+	protein_coding	TRUE	TRUE
2520	chrXII	199540	201315	YLR028C	ADE16	YLR028C	-	protein_coding	TRUE	TRUE
10461	chrXIII	507502	509280	YMR120C	ADE17	YMR120C	-	protein_coding	TRUE	TRUE
11962	chrXV	564476	566191	YOR128C	ADE2	YOR128C	-	protein_coding	TRUE	TRUE
8192	chrVII	905934	908774	YGR204W	ADE3	YGR204W	+	protein_coding	TRUE	TRUE
2608	chrXIII	865559	867091	YMR300C	ADE4	YMR300C	-	protein_coding	TRUE	TRUE
9569	chrVII	56482	58890	YGL234W	ADE5,7	YGL234W	+	protein_coding	TRUE	TRUE
5113	chrVII	611889	615965	YGR061C	ADE6	YGR061C	-	protein_coding	TRUE	TRUE
12841	chrIV	1288215	1288859	YDR408C	ADE8	YDR408C	-	protein_coding	TRUE	TRUE
9702	chrIII	23584	23925	YCL058W-A	ADF1	YCL058W-A	+	protein_coding	TRUE	TRUE
10854	chrXV	159548	160594	YOL086C	ADH1	YOL086C	-	protein_coding	TRUE	TRUE
10101	chrXIII	873291	874337	YMR303C	ADH2	YMR303C	-	protein_coding	TRUE	TRUE
2759	chrXIII	434788	435915	YMR083W	ADH3	YMR083W	+	protein_coding	TRUE	TRUE
11898	chrVII	15159	16307	YGL256W	ADH4	YGL256W	+	protein_coding	TRUE	TRUE
10829	chrII	533762	534817	YBR145W	ADH5	YBR145W	+	protein_coding	TRUE	TRUE
8407	chrXIII	911061	912143	YMR318C	ADH6	YMR318C	-	protein_coding	TRUE	TRUE
2405	chrIII	309070	310155	YCR105W	ADH7	YCR105W	+	protein_coding	TRUE	TRUE
10427	chrXIII	284102	284641	YMR009W	ADI1	YMR009W	+	protein_coding	TRUE	TRUE
