TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
myc_activpathway	Validated targets of C-MYC transcriptional activation	0.00060931515317464	-7.40317493121005	81	23	0.0721003134796238	319	2227	389421,8886,91942,1019,6513,3939,84864,3398,4953,7343,790,4088,661,3658,654364,8295,5366,4609,1965,6883,57678,23089,648	LIN28B,DDX18,NDUFAF2,CDK4,SLC2A1,LDHA,MINA,ID2,ODC1,UBTF,CAD,SMAD3,POLR3D,IREB2,NME1-NME2,TRRAP,PMAIP1,MYC,EIF2S1,TAF12,GPAM,PEG10,BMI1
hdac_classi_pathway	Signaling events mediated by HDAC Class I	0.00151925436933012	-6.48953561097459	66	19	0.0595611285266458	319	2227	57459,9612,7024,5468,51548,51547,4092,5905,55869,22933,2287,5903,1107,8932,7132,5901,9611,10419,8819	GATAD2B,NCOR2,TFCP2,PPARG,SIRT6,SIRT7,SMAD7,RANGAP1,HDAC8,SIRT2,FKBP3,RANBP2,CHD3,MBD2,TNFRSF1A,RAN,NCOR1,PRMT5,SAP30
hes_heypathway	Notch-mediated HES/HEY network	0.0055123921275576	-5.20075660709768	48	14	0.0438871473354232	319	2227	9612,817,5932,3397,2627,3091,23013,6929,55502,1827,3516,9611,23028,4602	NCOR2,CAMK2D,RBBP8,ID1,GATA6,HIF1A,SPEN,TCF3,HES6,RCAN1,RBPJ,NCOR1,KDM1A,MYB
nfkappabcanonicalpathway	Canonical NF-kappaB pathway	0.0112095005640207	-4.49099359560951	23	8	0.0250783699059561	319	2227	1540,3551,7132,472,5901,5578,329,23085	CYLD,IKBKB,TNFRSF1A,ATM,RAN,PRKCA,BIRC2,ERC1
circadianpathway	Circadian rhythm pathway	0.0387308995935076	-3.25111755842061	14	5	0.0156739811912226	319	2227	8914,8553,4862,5187,406	TIMELESS,BHLHE40,NPAS2,PER1,ARNTL
myc_represspathway	Validated targets of C-MYC transcriptional repression	0.0506872402420088	-2.9820810718149	62	14	0.0438871473354232	319	2227	7709,1647,728340,4609,84233,3956,3398,677,672,1191,3691,2309,1649,22943	ZBTB17,GADD45A,GTF2H2C,MYC,TMEM126A,LGALS1,ID2,ZFP36L1,BRCA1,CLU,ITGB4,FOXO3,DDIT3,DKK1
smad2_3nuclearpathway	Regulation of nuclear SMAD2/3 signaling	0.0671575181999505	-2.70071440100011	76	16	0.0501567398119122	319	2227	7709,3915,2308,1019,6929,4092,2309,6497,6498,7421,4088,4609,51586,9611,4208,8819	ZBTB17,LAMC1,FOXO1,CDK4,TCF3,SMAD7,FOXO3,SKI,SKIL,VDR,SMAD3,MYC,MED15,NCOR1,MEF2C,SAP30
tgfbrpathway	TGF-beta receptor signaling	0.102115126185157	-2.2816544140976	51	11	0.0344827586206897	319	2227	4088,2280,6498,6464,4092,54778,5520,6198,857,83939,7048	SMAD3,FKBP1A,SKIL,SHC1,SMAD7,RNF111,PPP2R2A,RPS6KB1,CAV1,EIF2A,TGFBR2
botulinumtoxinpathway	Effects of Botulinum toxin	0.126321169748289	-2.06892764887901	9	3	0.00940438871473354	319	2227	6616,6804,6857	SNAP25,STX1A,SYT1
rxr_vdr_pathway	RXR and RAR heterodimerization with other nuclear receptor	0.128395543219077	-2.05263959846049	14	4	0.0125391849529781	319	2227	84498,7421,9612,6198	FAM120B,VDR,NCOR2,RPS6KB1
trail_pathway	TRAIL signaling pathway	0.136394800594504	-1.99220165310794	25	6	0.0188087774294671	319	2227	8737,8793,6416,5291,843,3551	RIPK1,TNFRSF10D,MAP2K4,PIK3CB,CASP10,IKBKB
telomerasepathway	Regulation of Telomerase	0.139480159052959	-1.96983291684727	66	13	0.0407523510971787	319	2227	25,4088,54386,7337,65057,10038,4609,472,6198,7026,1736,7014,8819	ABL1,SMAD3,TERF2IP,UBE3A,ACD,PARP2,MYC,ATM,RPS6KB1,NR2F2,DKC1,TERF2,SAP30
insulin_pathway	Insulin Pathway	0.15149196560487	-1.88722268775007	43	9	0.0282131661442006	319	2227	3667,55763,6464,5786,60412,6198,857,2309,54536	IRS1,EXOC1,SHC1,PTPRA,EXOC4,RPS6KB1,CAV1,FOXO3,EXOC6
caspase_pathway	Caspase cascade in apoptosis	0.16822036395371	-1.78248046889229	50	10	0.0313479623824451	319	2227	8738,7132,8737,7431,317,5551,329,843,6709,7150	CRADD,TNFRSF1A,RIPK1,VIM,APAF1,PRF1,BIRC2,CASP10,SPTAN1,TOP1
nfat_3pathway	Role of Calcineurin-dependent NFAT signaling in lymphocytes	0.184343592676689	-1.69095391120278	51	10	0.0313479623824451	319	2227	5583,2280,5581,1457,1827,5901,4209,5578,1452,8021	PRKCH,FKBP1A,PRKCE,CSNK2A1,RCAN1,RAN,MEF2D,PRKCA,CSNK1A1,NUP214
ranbp2pathway	Sumoylation by RanBP2 regulates transcriptional repression	0.200585979304387	-1.60651229969366	11	3	0.00940438871473354	319	2227	5905,5903,5901	RANGAP1,RANBP2,RAN
